Year,Sex,Age,Region,Value
2021,,,14_reg_Donetsk,51.0
2022,,,14_reg_Donetsk,101.0
2023,,,14_reg_Donetsk,23.0
2024,,,14_reg_Donetsk,100.0
2017,,,15_reg_Zhytomyr,18.0
2018,,,15_reg_Zhytomyr,7.0
2019,,,15_reg_Zhytomyr,7.0
2020,,,15_reg_Zhytomyr,4.0
2021,,,15_reg_Zhytomyr,10.0
2022,,,15_reg_Zhytomyr,4.0
2023,,,15_reg_Zhytomyr,5.0
2024,,,15_reg_Zhytomyr,17.0
2017,,,16_reg_Zakarpattya,21.0
2018,,,16_reg_Zakarpattya,16.0
2019,,,16_reg_Zakarpattya,11.0
2020,,,16_reg_Zakarpattya,7.0
2021,,,16_reg_Zakarpattya,2.0
2022,,,16_reg_Zakarpattya,4.0
2023,,,16_reg_Zakarpattya,1.0
2024,,,16_reg_Zakarpattya,7.0
2017,,,17_reg_Zaporizhzhya,34.0
2018,,,17_reg_Zaporizhzhya,37.0
2019,,,17_reg_Zaporizhzhya,47.0
2020,,,17_reg_Zaporizhzhya,0.0
2021,,,17_reg_Zaporizhzhya,22.0
2022,,,17_reg_Zaporizhzhya,
2023,,,17_reg_Zaporizhzhya,
2024,,,17_reg_Zaporizhzhya,59.0
2017,,,18_reg_Ivano-Frankivsk,0.0
2018,,,18_reg_Ivano-Frankivsk,0.0
2019,,,18_reg_Ivano-Frankivsk,0.0
2020,,,18_reg_Ivano-Frankivsk,1.0
2021,,,18_reg_Ivano-Frankivsk,0.0
2022,,,18_reg_Ivano-Frankivsk,6.0
2023,,,18_reg_Ivano-Frankivsk,16.0
2024,,,18_reg_Ivano-Frankivsk,19.0
2017,,,19_reg_Kyiv,25.0
2018,,,19_reg_Kyiv,21.0
2019,,,19_reg_Kyiv,7.0
2020,,,19_reg_Kyiv,2.0
2021,,,19_reg_Kyiv,7.0
2022,,,19_reg_Kyiv,7.0
2023,,,19_reg_Kyiv,18.0
2024,,,19_reg_Kyiv,11.0
2017,,,20_reg_Kirovohrad,7.0
2018,,,20_reg_Kirovohrad,11.0
2019,,,20_reg_Kirovohrad,3.0
2020,,,20_reg_Kirovohrad,5.0
2021,,,20_reg_Kirovohrad,1.0
2022,,,20_reg_Kirovohrad,4.0
2023,,,20_reg_Kirovohrad,9.0
2024,,,20_reg_Kirovohrad,25.0
2017,,,21_reg_Luhansk,6.0
2018,,,21_reg_Luhansk,3.0
2019,,,21_reg_Luhansk,9.0
2020,,,21_reg_Luhansk,10.0
2021,,,21_reg_Luhansk,7.0
2022,,,21_reg_Luhansk,
2023,,,21_reg_Luhansk,
2024,,,21_reg_Luhansk,
2017,,,22_reg_Lviv,22.0
2018,,,22_reg_Lviv,21.0
2019,,,22_reg_Lviv,23.0
2020,,,22_reg_Lviv,12.0
2021,,,22_reg_Lviv,13.0
2022,,,22_reg_Lviv,25.0
2023,,,22_reg_Lviv,42.0
2024,,,22_reg_Lviv,58.0
2017,,,23_reg_Mykolayiv,48.0
2018,,,23_reg_Mykolayiv,23.0
2019,,,23_reg_Mykolayiv,51.0
2020,,,23_reg_Mykolayiv,8.0
2021,,,23_reg_Mykolayiv,9.0
2022,,,23_reg_Mykolayiv,33.0
2023,,,23_reg_Mykolayiv,8.0
2024,,,23_reg_Mykolayiv,19.0
2017,,,24_reg_Odesa,16.0
2018,,,24_reg_Odesa,9.0
2019,,,24_reg_Odesa,10.0
2020,,,24_reg_Odesa,10.0
2021,,,24_reg_Odesa,15.0
2022,,,24_reg_Odesa,8.0
2023,,,24_reg_Odesa,12.0
2024,,,24_reg_Odesa,20.0
2017,,,25_reg_Poltava,0.0
2018,,,25_reg_Poltava,0.0
2019,,,25_reg_Poltava,0.0
2020,,,25_reg_Poltava,10.0
2021,,,25_reg_Poltava,14.0
2022,,,25_reg_Poltava,12.0
2023,,,25_reg_Poltava,12.0
2024,,,25_reg_Poltava,14.0
2017,,,26_reg_Rivne,87.0
2018,,,26_reg_Rivne,52.0
2019,,,26_reg_Rivne,62.0
2020,,,26_reg_Rivne,49.0
2021,,,26_reg_Rivne,11.0
2022,,,26_reg_Rivne,48.0
2023,,,26_reg_Rivne,46.0
2024,,,26_reg_Rivne,45.0
2017,,,27_reg_Sumy,0.0
2018,,,27_reg_Sumy,0.0
2019,,,27_reg_Sumy,0.0
2020,,,27_reg_Sumy,0.0
2021,,,27_reg_Sumy,0.0
2022,,,27_reg_Sumy,11.0
2023,,,27_reg_Sumy,25.0
2024,,,27_reg_Sumy,50.0
2017,,,28_reg_Ternopil,3.0
2018,,,28_reg_Ternopil,1.0
2019,,,28_reg_Ternopil,15.0
2020,,,28_reg_Ternopil,5.0
2021,,,28_reg_Ternopil,10.0
2022,,,28_reg_Ternopil,30.0
2023,,,28_reg_Ternopil,222.0
2024,,,28_reg_Ternopil,24.0
2017,,,29_reg_Kharkiv,34.0
2018,,,29_reg_Kharkiv,45.0
2019,,,29_reg_Kharkiv,67.0
2020,,,29_reg_Kharkiv,38.0
2021,,,29_reg_Kharkiv,41.0
2022,,,29_reg_Kharkiv,53.0
2023,,,29_reg_Kharkiv,58.0
2024,,,29_reg_Kharkiv,66.0
2017,,,30_reg_Kherson,5.0
2018,,,30_reg_Kherson,4.0
2019,,,30_reg_Kherson,0.0
2020,,,30_reg_Kherson,0.0
2021,,,30_reg_Kherson,18.0
2022,,,30_reg_Kherson,
2023,,,30_reg_Kherson,
2024,,,30_reg_Kherson,
2017,,,31_reg_Khmelnytskiy,33.0
2018,,,31_reg_Khmelnytskiy,22.0
2019,,,31_reg_Khmelnytskiy,8.0
2020,,,31_reg_Khmelnytskiy,7.0
2021,,,31_reg_Khmelnytskiy,8.0
2022,,,31_reg_Khmelnytskiy,5.0
2023,,,31_reg_Khmelnytskiy,225.0
2024,,,31_reg_Khmelnytskiy,6.0
2017,,,32_reg_Cherkasy,12.0
2018,,,32_reg_Cherkasy,7.0
2019,,,32_reg_Cherkasy,3.0
2020,,,32_reg_Cherkasy,5.0
2021,,,32_reg_Cherkasy,6.0
2022,,,32_reg_Cherkasy,15.0
2023,,,32_reg_Cherkasy,8.0
2024,,,32_reg_Cherkasy,16.0
2017,,,33_reg_Chernivtsi,23.0
2018,,,33_reg_Chernivtsi,21.0
2019,,,33_reg_Chernivtsi,17.0
2020,,,33_reg_Chernivtsi,10.0
2021,,,33_reg_Chernivtsi,9.0
2022,,,33_reg_Chernivtsi,3.0
2023,,,33_reg_Chernivtsi,7.0
2024,,,33_reg_Chernivtsi,15.0
2017,,,34_reg_Chernihiv,22.0
2018,,,34_reg_Chernihiv,29.0
2019,,,34_reg_Chernihiv,28.0
2020,,,34_reg_Chernihiv,13.0
2021,,,34_reg_Chernihiv,8.0
2022,,,34_reg_Chernihiv,8.0
2023,,,34_reg_Chernihiv,24.0
2024,,,34_reg_Chernihiv,48.0
2017,,,35_reg_Kyiv_city,25.0
2017,,,autonomous_Republic_of_Crimea,
2017,,,city_Sevastopol,
2018,,,35_reg_Kyiv_city,21.0
2018,,,autonomous_Republic_of_Crimea,
2018,,,city_Sevastopol,
2019,,,35_reg_Kyiv_city,7.0
2019,,,autonomous_Republic_of_Crimea,
2019,,,city_Sevastopol,
2020,,,35_reg_Kyiv_city,2.0
2020,,,autonomous_Republic_of_Crimea,
2020,,,city_Sevastopol,
2021,,,35_reg_Kyiv_city,7.0
2021,,,autonomous_Republic_of_Crimea,
2021,,,city_Sevastopol,
2022,,,35_reg_Kyiv_city,7.0
2022,,,autonomous_Republic_of_Crimea,
2022,,,city_Sevastopol,
2023,,,35_reg_Kyiv_city,18.0
2023,,,autonomous_Republic_of_Crimea,
2023,,,city_Sevastopol,
2024,,,35_reg_Kyiv_city,11.0
2024,,,autonomous_Republic_of_Crimea,
2024,,,city_Sevastopol,
