Year,Область,Value
2015,,
2015,Автономна Республіка Крим,
2015,Вінницька,
2015,Волинська,
2015,Дніпропетровська,
2015,Донецька,
2015,Житомирська,
2015,Закарпатська,
2015,Запорізька,
2015,Івано-Франківська,
2015,Київська,
2015,Кіровоградська,
2015,Луганська,
2015,Львівська,
2015,Миколаївська,
2015,Одеська,
2015,Полтавська,
2015,Рівненська,
2015,Сумська,
2015,Тернопільська,
2015,Харківська,
2015,Херсонська,
2015,Хмельницька,
2015,Черкаська,
2015,Чернівецька,
2015,Чернігівська,
2015,м. Київ,
2015,м. Севастополь,
2016,,
2016,Автономна Республіка Крим,
2016,Вінницька,
2016,Волинська,
2016,Дніпропетровська,
2016,Донецька,
2016,Житомирська,
2016,Закарпатська,
2016,Запорізька,
2016,Івано-Франківська,
2016,Київська,
2016,Кіровоградська,
2016,Луганська,
2016,Львівська,
2016,Миколаївська,
2016,Одеська,
2016,Полтавська,
2016,Рівненська,
2016,Сумська,
2016,Тернопільська,
2016,Харківська,
2016,Херсонська,
2016,Хмельницька,
2016,Черкаська,
2016,Чернівецька,
2016,Чернігівська,
2016,м. Київ,
2016,м. Севастополь,
2017,,
2017,Автономна Республіка Крим,
2017,Вінницька,
2017,Волинська,
2017,Дніпропетровська,
2017,Донецька,
2017,Житомирська,
2017,Закарпатська,
2017,Запорізька,
2017,Івано-Франківська,
2017,Київська,
2017,Кіровоградська,
2017,Луганська,
2017,Львівська,
2017,Миколаївська,
2017,Одеська,
2017,Полтавська,
2017,Рівненська,
2017,Сумська,
2017,Тернопільська,
2017,Харківська,
2017,Херсонська,
2017,Хмельницька,
2017,Черкаська,
2017,Чернівецька,
2017,Чернігівська,
2017,м. Київ,
2017,м. Севастополь,
2018,,
2018,Автономна Республіка Крим,
2018,Вінницька,
2018,Волинська,
2018,Дніпропетровська,
2018,Донецька,
2018,Житомирська,
2018,Закарпатська,
2018,Запорізька,
2018,Івано-Франківська,
2018,Київська,
2018,Кіровоградська,
2018,Луганська,
2018,Львівська,
2018,Миколаївська,
2018,Одеська,
2018,Полтавська,
2018,Рівненська,
2018,Сумська,
2018,Тернопільська,
2018,Харківська,
2018,Херсонська,
2018,Хмельницька,
2018,Черкаська,
2018,Чернівецька,
2018,Чернігівська,
2018,м. Київ,
2018,м. Севастополь,
2019,,
2019,Автономна Республіка Крим,
2019,Вінницька,
2019,Волинська,
2019,Дніпропетровська,
2019,Донецька,
2019,Житомирська,
2019,Закарпатська,
2019,Запорізька,
2019,Івано-Франківська,
2019,Київська,
2019,Кіровоградська,
2019,Луганська,
2019,Львівська,
2019,Миколаївська,
2019,Одеська,
2019,Полтавська,
2019,Рівненська,
2019,Сумська,
2019,Тернопільська,
2019,Харківська,
2019,Херсонська,
2019,Хмельницька,
2019,Черкаська,
2019,Чернівецька,
2019,Чернігівська,
2019,м. Київ,
2019,м. Севастополь,
2020,,1.7
2020,Автономна Республіка Крим,
2020,Вінницька,0.5
2020,Волинська,0.8
2020,Дніпропетровська,1.5
2020,Донецька,3.2
2020,Житомирська,0.6
2020,Закарпатська,0.7
2020,Запорізька,1.4
2020,Івано-Франківська,1.0
2020,Київська,1.2
2020,Кіровоградська,1.3
2020,Луганська,2.2
2020,Львівська,0.9
2020,Миколаївська,1.6
2020,Одеська,2.7
2020,Полтавська,1.0
2020,Рівненська,0.7
2020,Сумська,0.9
2020,Тернопільська,2.3
2020,Харківська,1.8
2020,Херсонська,1.5
2020,Хмельницька,1.0
2020,Черкаська,1.1
2020,Чернівецька,1.8
2020,Чернігівська,0.9
2020,м. Київ,4.7
2020,м. Севастополь,
2021,,1.8
2021,Автономна Республіка Крим,
2021,Вінницька,0.6
2021,Волинська,0.9
2021,Дніпропетровська,2.8
2021,Донецька,3.3
2021,Житомирська,0.7
2021,Закарпатська,0.8
2021,Запорізька,1.5
2021,Івано-Франківська,1.0
2021,Київська,1.4
2021,Кіровоградська,1.4
2021,Луганська,2.3
2021,Львівська,0.9
2021,Миколаївська,1.4
2021,Одеська,2.7
2021,Полтавська,1.1
2021,Рівненська,0.9
2021,Сумська,1.0
2021,Тернопільська,1.9
2021,Харківська,2.1
2021,Херсонська,1.7
2021,Хмельницька,0.9
2021,Черкаська,1.2
2021,Чернівецька,2.0
2021,Чернігівська,0.8
2021,м. Київ,4.7
2021,м. Севастополь,
2022,,1.9
2022,Автономна Республіка Крим,
2022,Вінницька,0.8
2022,Волинська,0.9
2022,Дніпропетровська,1.6
2022,Донецька,3.3
2022,Житомирська,1.2
2022,Закарпатська,1.1
2022,Запорізька,1.7
2022,Івано-Франківська,1.4
2022,Київська,2.2
2022,Кіровоградська,1.5
2022,Луганська,0.01
2022,Львівська,0.8
2022,Миколаївська,1.4
2022,Одеська,2.9
2022,Полтавська,1.3
2022,Рівненська,1.5
2022,Сумська,1.2
2022,Тернопільська,2.3
2022,Харківська,2.1
2022,Херсонська,
2022,Хмельницька,0.7
2022,Черкаська,1.4
2022,Чернівецька,2.8
2022,Чернігівська,0.9
2022,м. Київ,4.8
2022,м. Севастополь,
2023,,1.8
2023,Автономна Республіка Крим,
2023,Вінницька,1.0
2023,Волинська,0.8
2023,Дніпропетровська,1.5
2023,Донецька,3.3
2023,Житомирська,1.2
2023,Закарпатська,1.2
2023,Запорізька,1.5
2023,Івано-Франківська,1.4
2023,Київська,2.2
2023,Кіровоградська,1.8
2023,Луганська,0.1
2023,Львівська,0.0
2023,Миколаївська,1.6
2023,Одеська,2.7
2023,Полтавська,1.4
2023,Рівненська,2.0
2023,Сумська,1.4
2023,Тернопільська,2.1
2023,Харківська,2.4
2023,Херсонська,0.8
2023,Хмельницька,1.7
2023,Черкаська,1.7
2023,Чернівецька,2.8
2023,Чернігівська,1.1
2023,м. Київ,3.9
2023,м. Севастополь,
2024,,1.7
2024,Автономна Республіка Крим,
2024,Вінницька,1.0
2024,Волинська,0.8
2024,Дніпропетровська,1.8
2024,Донецька,2.6
2024,Житомирська,1.0
2024,Закарпатська,0.3
2024,Запорізька,2.9
2024,Івано-Франківська,1.5
2024,Київська,1.5
2024,Кіровоградська,1.4
2024,Луганська,
2024,Львівська,0.4
2024,Миколаївська,1.6
2024,Одеська,4.4
2024,Полтавська,2.1
2024,Рівненська,2.4
2024,Сумська,0.7
2024,Тернопільська,2.1
2024,Харківська,2.3
2024,Херсонська,1.4
2024,Хмельницька,1.5
2024,Черкаська,0.5
2024,Чернівецька,3.3
2024,Чернігівська,1.3
2024,м. Київ,3.8
2024,м. Севастополь,
