Year,Область,Категорія,Value
2015,Україна,,29.6
2015,Автономна Республіка Крим,,
2015,Вінницька,,18.9
2015,Волинська,,16.5
2015,Дніпропетровська,,31.5
2015,Донецька,,16.1
2015,Житомирська,,15.4
2015,Закарпатська,,0.7
2015,Запорізька,,48.0
2015,Івано-Франківська,,27.1
2015,Київська,,7.7
2015,Кіровоградська,,25.8
2015,Луганська,,10.4
2015,Львівська,,11.0
2015,Миколаївська,,3.3
2015,Одеська,,1.7
2015,Полтавська,,69.1
2015,Рівненська,,11.1
2015,Сумська,,22.4
2015,Тернопільська,,17.4
2015,Харківська,,16.6
2015,Херсонська,,15.8
2015,Хмельницька,,36.0
2015,Черкаська,,61.0
2015,Чернівецька,,17.3
2015,Чернігівська,,15.4
2015,м. Київ,,15.9
2015,м. Севастополь,,
2016,Україна,,28.6
2016,Автономна Республіка Крим,,
2016,Вінницька,,17.8
2016,Волинська,,17.4
2016,Дніпропетровська,,32.4
2016,Донецька,,18.6
2016,Житомирська,,13.9
2016,Закарпатська,,0.2
2016,Запорізька,,57.3
2016,Івано-Франківська,,35.2
2016,Київська,,3.5
2016,Кіровоградська,,8.9
2016,Луганська,,22.9
2016,Львівська,,17.4
2016,Миколаївська,,3.4
2016,Одеська,,1.6
2016,Полтавська,,66.7
2016,Рівненська,,9.1
2016,Сумська,,28.8
2016,Тернопільська,,9.6
2016,Харківська,,21.6
2016,Херсонська,,6.0
2016,Хмельницька,,34.6
2016,Черкаська,,57.2
2016,Чернівецька,,31.2
2016,Чернігівська,,14.5
2016,м. Київ,,0.1
2016,м. Севастополь,,
2017,Україна,,27.3
2017,Автономна Республіка Крим,,
2017,Вінницька,,15.0
2017,Волинська,,15.3
2017,Дніпропетровська,,34.5
2017,Донецька,,24.1
2017,Житомирська,,15.0
2017,Закарпатська,,0.1
2017,Запорізька,,52.7
2017,Івано-Франківська,,33.4
2017,Київська,,1.6
2017,Кіровоградська,,3.9
2017,Луганська,,14.0
2017,Львівська,,24.3
2017,Миколаївська,,2.6
2017,Одеська,,1.4
2017,Полтавська,,7.9
2017,Рівненська,,5.2
2017,Сумська,,39.4
2017,Тернопільська,,5.2
2017,Харківська,,6.7
2017,Херсонська,,7.8
2017,Хмельницька,,42.8
2017,Черкаська,,59.2
2017,Чернівецька,,30.3
2017,Чернігівська,,17.8
2017,м. Київ,,1.0
2017,м. Севастополь,,
2018,Україна,,29.4
2018,Автономна Республіка Крим,,
2018,Вінницька,,27.0
2018,Волинська,,21.3
2018,Дніпропетровська,,34.9
2018,Донецька,,27.7
2018,Житомирська,,10.0
2018,Закарпатська,,0.2
2018,Запорізька,,62.8
2018,Івано-Франківська,,28.1
2018,Київська,,2.4
2018,Кіровоградська,,4.9
2018,Луганська,,8.2
2018,Львівська,,16.6
2018,Миколаївська,,2.5
2018,Одеська,,1.3
2018,Полтавська,,14.0
2018,Рівненська,,4.8
2018,Сумська,,23.2
2018,Тернопільська,,14.6
2018,Харківська,,17.5
2018,Херсонська,,8.5
2018,Хмельницька,,55.6
2018,Черкаська,,53.0
2018,Чернівецька,,29.6
2018,Чернігівська,,15.3
2018,м. Київ,,0.2
2018,м. Севастополь,,
2019,Україна,,24.5
2019,Автономна Республіка Крим,,
2019,Вінницька,,7.7
2019,Волинська,,5.4
2019,Дніпропетровська,,35.9
2019,Донецька,,20.5
2019,Житомирська,,11.2
2019,Закарпатська,,0.1
2019,Запорізька,,70.1
2019,Івано-Франківська,,29.1
2019,Київська,,0.7
2019,Кіровоградська,,4.5
2019,Луганська,,9.5
2019,Львівська,,16.0
2019,Миколаївська,,2.6
2019,Одеська,,0.4
2019,Полтавська,,3.1
2019,Рівненська,,7.6
2019,Сумська,,18.2
2019,Тернопільська,,26.1
2019,Харківська,,11.1
2019,Херсонська,,7.5
2019,Хмельницька,,44.5
2019,Черкаська,,55.4
2019,Чернівецька,,36.7
2019,Чернігівська,,9.9
2019,м. Київ,,0.1
2019,м. Севастополь,,
2020,Україна,,21.7
2020,Автономна Республіка Крим,,
2020,Вінницька,,9.2
2020,Волинська,,5.6
2020,Дніпропетровська,,28.2
2020,Донецька,,17.3
2020,Житомирська,,8.4
2020,Закарпатська,,0.2
2020,Запорізька,,63.0
2020,Івано-Франківська,,30.4
2020,Київська,,0.8
2020,Кіровоградська,,15.7
2020,Луганська,,15.2
2020,Львівська,,12.9
2020,Миколаївська,,3.5
2020,Одеська,,0.4
2020,Полтавська,,2.1
