Year,Область,"У тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",Вік,Стать,Тип місцевості проживання,Вид правничої допомоги,Категорія питань звернення,Value
2016,,,,,,,медичне право,2265.0
2016,,,,,,,трудове право,14023.0
2016,,,,,,,адміністративне право і адміністративний процес,10217.0
2016,,,,,,,земельне право,23269.0
2016,,,,,,,договірне право,18617.0
2016,,,,,,,житлове право,21979.0
2016,,,,,,,цивільне право та цивільний процес,43639.0
2016,,,,,,,виконання судових рішень,7323.0
2016,,,,,,,неправове питання,3163.0
2016,,,,,,,інше,20545.0
2016,,,,,,,кримінальне право та кримінальний процес,
2016,,,,,,,пенсійне право,
2016,,,,,,,податкове право,
2016,,,,,,,виборче право,
2016,,,,,,,господарське право,
2016,,,,,,,питання пов’язані зі збройною агресією,
2016,Автономна Республіка Крим,,,,,,,
2016,Вінницька,,,,,,,20836.0
2016,Волинська,,,,,,,8859.0
2016,Дніпропетровська,,,,,,,28506.0
2016,Донецька,,,,,,,5703.0
2016,Житомирська,,,,,,,10343.0
2016,Закарпатська,,,,,,,4847.0
2016,Запорізька,,,,,,,14941.0
2016,Івано-Франківська,,,,,,,9858.0
2016,Київська,,,,,,,8040.0
2016,Кіровоградська,,,,,,,12539.0
2016,Луганська,,,,,,,3497.0
2016,Львівська,,,,,,,15887.0
2016,Миколаївська,,,,,,,9661.0
2016,Одеська,,,,,,,18664.0
2016,Полтавська,,,,,,,11465.0
2016,Рівненська,,,,,,,10194.0
2016,Сумська,,,,,,,12580.0
2016,Тернопільська,,,,,,,9833.0
2016,Харківська,,,,,,,9275.0
2016,Херсонська,,,,,,,7240.0
2016,Хмельницька,,,,,,,11274.0
2016,Черкаська,,,,,,,8859.0
2016,Чернівецька,,,,,,,5565.0
2016,Чернігівська,,,,,,,8233.0
2016,м. Київ,,,,,,,8340.0
2016,м. Севастополь,,,,,,,
2017,,,,,,,,393228.0
2017,,Кількість зареєстрованих звернень клієнтів для надання безоплатної правничої допомоги,,,,,,567340.0
2017,,"у тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",,,,,,
2017,,,до 18 років,,,,,1803.0
2017,,,18–35 років,,,,,88404.0
2017,,,36–60 років,,,,,196311.0
2017,,,61 рік і старші,,,,,106710.0
2017,,,,Чоловіча,,,,158462.0
2017,,,,жінки,,,,234766.0
2017,,,,,міська,,,
2017,,,,,сільська,,,
2017,,,,,,первинна правнича допомога,,501786.0
2017,,,,,,вторинна правнича допомога,,69457.0
2017,,,,,,,соціальне забезпечення,78751.0
2017,,,,,,,спадкове право,62946.0
2017,,,,,,,сімейне право,72398.0
2017,,,,,,,медичне право,4298.0
2017,,,,,,,трудове право,29338.0
2017,,,,,,,адміністративне право і адміністративний процес,25415.0
2017,,,,,,,земельне право,47308.0
2017,,,,,,,договірне право,34715.0
2017,,,,,,,житлове право,33562.0
2017,,,,,,,цивільне право та цивільний процес,104315.0
2017,,,,,,,виконання судових рішень,19861.0
2017,,,,,,,неправове питання,6163.0
2017,,,,,,,інше,48615.0
2017,,,,,,,кримінальне право та кримінальний процес,
2017,,,,,,,пенсійне право,
2017,,,,,,,податкове право,
2017,,,,,,,виборче право,
2017,,,,,,,господарське право,
2017,,,,,,,питання пов’язані зі збройною агресією,
2017,Автономна Республіка Крим,,,,,,,
2017,Вінницька,,,,,,,46086.0
2017,Волинська,,,,,,,17635.0
2017,Дніпропетровська,,,,,,,50773.0
2017,Донецька,,,,,,,18599.0
2017,Житомирська,,,,,,,23119.0
2017,Закарпатська,,,,,,,11230.0
2017,Запорізька,,,,,,,27930.0
2017,Івано-Франківська,,,,,,,17836.0
2017,Київська,,,,,,,23547.0
2017,Кіровоградська,,,,,,,25146.0
2017,Луганська,,,,,,,11100.0
2017,Львівська,,,,,,,30570.0
2017,Миколаївська,,,,,,,23511.0
2017,Одеська,,,,,,,27723.0
2017,Полтавська,,,,,,,28980.0
2017,Рівненська,,,,,,,16783.0
2017,Сумська,,,,,,,23526.0
2017,Тернопільська,,,,,,,19410.0
2017,Харківська,,,,,,,22247.0
2017,Херсонська,,,,,,,21013.0
2017,Хмельницька,,,,,,,23410.0
2017,Черкаська,,,,,,,17949.0
2017,Чернівецька,,,,,,,9072.0
2017,Чернігівська,,,,,,,16409.0
2017,м. Київ,,,,,,,13736.0
2017,м. Севастополь,,,,,,,
2018,,,,,,,,400478.0
2018,,Кількість зареєстрованих звернень клієнтів для надання безоплатної правничої допомоги,,,,,,623842.0
2018,,"у тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",,,,,,
2018,,,до 18 років,,,,,2051.0
2018,,,18–35 років,,,,,86792.0
2018,,,36–60 років,,,,,193433.0
2018,,,61 рік і старші,,,,,118202.0
2018,,,,Чоловіча,,,,151787.0
2018,,,,жінки,,,,248691.0
2018,,,,,міська,,,
2018,,,,,сільська,,,
2018,,,,,,первинна правнича допомога,,553301.0
2018,,,,,,вторинна правнича допомога,,72800.0
2018,,,,,,,соціальне забезпечення,73854.0
2018,,,,,,,спадкове право,60437.0
2018,,,,,,,сімейне право,104400.0
2018,,,,,,,медичне право,4059.0
2018,,,,,,,трудове право,25847.0
2018,,,,,,,адміністративне право і адміністративний процес,27771.0
2018,,,,,,,земельне право,36996.0
2018,,,,,,,договірне право,31099.0
2018,,,,,,,житлове право,50940.0
2018,,,,,,,цивільне право та цивільний процес,120281.0
2018,,,,,,,виконання судових рішень,27422.0
2018,,,,,,,неправове питання,5864.0
2018,,,,,,,інше,55540.0
2018,,,,,,,кримінальне право та кримінальний процес,
2018,,,,,,,пенсійне право,
2018,,,,,,,податкове право,
2018,,,,,,,виборче право,
2018,,,,,,,господарське право,
2018,,,,,,,питання пов’язані зі збройною агресією,
2018,Автономна Республіка Крим,,,,,,,
2018,Вінницька,,,,,,,42832.0
2018,Волинська,,,,,,,16375.0
2018,Дніпропетровська,,,,,,,54653.0
2018,Донецька,,,,,,,27060.0
2018,Житомирська,,,,,,,23062.0
2018,Закарпатська,,,,,,,13549.0
2018,Запорізька,,,,,,,36784.0
2018,Івано-Франківська,,,,,,,18607.0
2018,Київська,,,,,,,30849.0
2018,Кіровоградська,,,,,,,22179.0
2018,Луганська,,,,,,,13076.0
2018,Львівська,,,,,,,29252.0
2018,Миколаївська,,,,,,,24354.0
2018,Одеська,,,,,,,22542.0
2018,Полтавська,,,,,,,34488.0
2018,Рівненська,,,,,,,19637.0
2018,Сумська,,,,,,,30806.0
2018,Тернопільська,,,,,,,21801.0
2018,Харківська,,,,,,,31720.0
2018,Херсонська,,,,,,,22532.0
2018,Хмельницька,,,,,,,25215.0
2018,Черкаська,,,,,,,20996.0
2018,Чернівецька,,,,,,,8802.0
2018,Чернігівська,,,,,,,14357.0
2018,м. Київ,,,,,,,18314.0
2018,м. Севастополь,,,,,,,
2019,,,,,,,,404030.0
2019,,Кількість зареєстрованих звернень клієнтів для надання безоплатної правничої допомоги,,,,,,623977.0
2019,,"у тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",,,,,,
2019,,,до 18 років,,,,,1976.0
2019,,,18–35 років,,,,,70756.0
2019,,,36–60 років,,,,,185227.0
2019,,,61 рік і старші,,,,,146071.0
2019,,,,Чоловіча,,,,152578.0
2019,,,,жінки,,,,251452.0
2019,,,,,міська,,,
2019,,,,,сільська,,,
2019,,,,,,первинна правнича допомога,,558160.0
2019,,,,,,вторинна правнича допомога,,65817.0
2019,,,,,,,соціальне забезпечення,11746.0
2019,,,,,,,спадкове право,58186.0
2019,,,,,,,сімейне право,106065.0
2019,,,,,,,медичне право,
2019,,,,,,,трудове право,25310.0
2019,,,,,,,адміністративне право і адміністративний процес,35938.0
2019,,,,,,,земельне право,39436.0
2019,,,,,,,договірне право,
2019,,,,,,,житлове право,64778.0
2019,,,,,,,цивільне право та цивільний процес,122853.0
2019,,,,,,,виконання судових рішень,9642.0
2019,,,,,,,неправове питання,4354.0
2019,,,,,,,інше,96305.0
2019,,,,,,,кримінальне право та кримінальний процес,17708.0
2019,,,,,,,пенсійне право,27043.0
2019,,,,,,,податкове право,4613.0
2019,,,,,,,виборче право,
2019,,,,,,,господарське право,
2019,,,,,,,питання пов’язані зі збройною агресією,
2019,Автономна Республіка Крим,,,,,,,
2019,Вінницька,,,,,,,36888.0
2019,Волинська,,,,,,,17322.0
2019,Дніпропетровська,,,,,,,52595.0
2019,Донецька,,,,,,,31623.0
2019,Житомирська,,,,,,,20142.0
2019,Закарпатська,,,,,,,11231.0
2019,Запорізька,,,,,,,47164.0
2019,Івано-Франківська,,,,,,,17491.0
2019,Київська,,,,,,,37824.0
2019,Кіровоградська,,,,,,,18063.0
2019,Луганська,,,,,,,10329.0
2019,Львівська,,,,,,,27937.0
2019,Миколаївська,,,,,,,18515.0
2019,Одеська,,,,,,,22230.0
2019,Полтавська,,,,,,,33411.0
2019,Рівненська,,,,,,,19121.0
2019,Сумська,,,,,,,33409.0
2019,Тернопільська,,,,,,,21503.0
2019,Харківська,,,,,,,31263.0
2019,Херсонська,,,,,,,22129.0
2019,Хмельницька,,,,,,,23400.0
2019,Черкаська,,,,,,,19704.0
2019,Чернівецька,,,,,,,9295.0
2019,Чернігівська,,,,,,,26213.0
2019,м. Київ,,,,,,,15175.0
2019,м. Севастополь,,,,,,,
2020,,,,,,,,354018.0
2020,,Кількість зареєстрованих звернень клієнтів для надання безоплатної правничої допомоги,,,,,,568931.0
2020,,"у тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",,,,,,
2020,,,до 18 років,,,,,1893.0
2020,,,18–35 років,,,,,71945.0
2020,,,36–60 років,,,,,172036.0
2020,,,61 рік і старші,,,,,108144.0
2020,,,,Чоловіча,,,,137011.0
2020,,,,жінки,,,,217007.0
2020,,,,,міська,,,
2020,,,,,сільська,,,
2020,,,,,,первинна правнича допомога,,510118.0
2020,,,,,,вторинна правнича допомога,,58813.0
2020,,,,,,,соціальне забезпечення,31528.0
2020,,,,,,,спадкове право,47393.0
2020,,,,,,,сімейне право,85575.0
2020,,,,,,,медичне право,
2020,,,,,,,трудове право,26762.0
2020,,,,,,,адміністративне право і адміністративний процес,45275.0
2020,,,,,,,земельне право,51284.0
2020,,,,,,,договірне право,
2020,,,,,,,житлове право,47231.0
2020,,,,,,,цивільне право та цивільний процес,107386.0
2020,,,,,,,виконання судових рішень,24652.0
2020,,,,,,,неправове питання,556.0
2020,,,,,,,інше,51778.0
2020,,,,,,,кримінальне право та кримінальний процес,19608.0
2020,,,,,,,пенсійне право,24566.0
2020,,,,,,,податкове право,5337.0
2020,,,,,,,виборче право,
2020,,,,,,,господарське право,
2020,,,,,,,питання пов’язані зі збройною агресією,
2020,Автономна Республіка Крим,,,,,,,
2020,Вінницька,,,,,,,21950.0
2020,Волинська,,,,,,,15319.0
2020,Дніпропетровська,,,,,,,44215.0
2020,Донецька,,,,,,,33768.0
2020,Житомирська,,,,,,,21802.0
2020,Закарпатська,,,,,,,9396.0
2020,Запорізька,,,,,,,42345.0
2020,Івано-Франківська,,,,,,,11633.0
2020,Київська,,,,,,,36650.0
2020,Кіровоградська,,,,,,,18005.0
2020,Луганська,,,,,,,11242.0
2020,Львівська,,,,,,,30235.0
2020,Миколаївська,,,,,,,18329.0
2020,Одеська,,,,,,,24575.0
2020,Полтавська,,,,,,,30935.0
2020,Рівненська,,,,,,,17593.0
2020,Сумська,,,,,,,30514.0
2020,Тернопільська,,,,,,,18096.0
2020,Харківська,,,,,,,36544.0
2020,Херсонська,,,,,,,18543.0
2020,Хмельницька,,,,,,,20164.0
2020,Черкаська,,,,,,,17278.0
2020,Чернівецька,,,,,,,8396.0
2020,Чернігівська,,,,,,,21014.0
2020,м. Київ,,,,,,,10390.0
2020,м. Севастополь,,,,,,,
2021,,,,,,,,433810.0
2021,,Кількість зареєстрованих звернень клієнтів для надання безоплатної правничої допомоги,,,,,,713202.0
2021,,"у тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",,,,,,
2021,,,до 18 років,,,,,2972.0
2021,,,18–35 років,,,,,93881.0
2021,,,36–60 років,,,,,220951.0
2021,,,61 рік і старші,,,,,116006.0
2021,,,,Чоловіча,,,,179040.0
2021,,,,жінки,,,,254770.0
2021,,,,,міська,,,
2021,,,,,сільська,,,
2021,,,,,,первинна правнича допомога,,627281.0
2021,,,,,,вторинна правнича допомога,,85921.0
2021,,,,,,,соціальне забезпечення,49226.0
2021,,,,,,,спадкове право,60530.0
2021,,,,,,,сімейне право,98459.0
2021,,,,,,,медичне право,
2021,,,,,,,трудове право,32023.0
2021,,,,,,,адміністративне право і адміністративний процес,82730.0
2021,,,,,,,земельне право,51625.0
2021,,,,,,,договірне право,
2021,,,,,,,житлове право,65339.0
2021,,,,,,,цивільне право та цивільний процес,141747.0
2021,,,,,,,виконання судових рішень,32918.0
2021,,,,,,,неправове питання,176.0
2021,,,,,,,інше,36315.0
2021,,,,,,,кримінальне право та кримінальний процес,23039.0
2021,,,,,,,пенсійне право,32649.0
2021,,,,,,,податкове право,6426.0
2021,,,,,,,виборче право,
2021,,,,,,,господарське право,
2021,,,,,,,питання пов’язані зі збройною агресією,
2021,Автономна Республіка Крим,,,,,,,
2021,Вінницька,,,,,,,35167.0
2021,Волинська,,,,,,,20039.0
2021,Дніпропетровська,,,,,,,54352.0
2021,Донецька,,,,,,,35478.0
2021,Житомирська,,,,,,,31318.0
2021,Закарпатська,,,,,,,14638.0
2021,Запорізька,,,,,,,47366.0
2021,Івано-Франківська,,,,,,,19949.0
2021,Київська,,,,,,,42744.0
2021,Кіровоградська,,,,,,,18977.0
2021,Луганська,,,,,,,13120.0
2021,Львівська,,,,,,,38138.0
2021,Миколаївська,,,,,,,20155.0
2021,Одеська,,,,,,,28272.0
2021,Полтавська,,,,,,,37619.0
2021,Рівненська,,,,,,,22052.0
2021,Сумська,,,,,,,35493.0
2021,Тернопільська,,,,,,,25895.0
2021,Харківська,,,,,,,41621.0
2021,Херсонська,,,,,,,27880.0
2021,Хмельницька,,,,,,,27208.0
2021,Черкаська,,,,,,,20222.0
2021,Чернівецька,,,,,,,13566.0
2021,Чернігівська,,,,,,,27715.0
2021,м. Київ,,,,,,,14218.0
2021,м. Севастополь,,,,,,,
2022,,,,,,,,501004.0
2022,,Кількість зареєстрованих звернень клієнтів для надання безоплатної правничої допомоги,,,,,,556548.0
2022,,"у тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",,,,,,121832.0
2022,,,до 18 років,,,,,4601.0
2022,,,18–35 років,,,,,85801.0
2022,,,36–60 років,,,,,192322.0
2022,,,61 рік і старші,,,,,96448.0
2022,,,,Чоловіча,,,,153006.0
2022,,,,жінки,,,,226166.0
2022,,,,,міська,,,
2022,,,,,сільська,,,
2022,,,,,,первинна правнича допомога,,506914.0
2022,,,,,,вторинна правнича допомога,,49634.0
2022,,,,,,,соціальне забезпечення,65984.0
2022,,,,,,,спадкове право,38011.0
2022,,,,,,,сімейне право,76382.0
2022,,,,,,,медичне право,
2022,,,,,,,трудове право,38670.0
2022,,,,,,,адміністративне право і адміністративний процес,90502.0
2022,,,,,,,земельне право,24851.0
2022,,,,,,,договірне право,
2022,,,,,,,житлове право,34713.0
2022,,,,,,,цивільне право та цивільний процес,91710.0
2022,,,,,,,виконання судових рішень,27305.0
2022,,,,,,,неправове питання,360.0
2022,,,,,,,інше,13261.0
2022,,,,,,,кримінальне право та кримінальний процес,15590.0
2022,,,,,,,пенсійне право,29413.0
2022,,,,,,,податкове право,4204.0
2022,,,,,,,виборче право,5.0
2022,,,,,,,господарське право,208.0
2022,,,,,,,питання пов’язані зі збройною агресією,5379.0
2022,Автономна Республіка Крим,,,,,,,
2022,Вінницька,,,,,,,38250.0
2022,Волинська,,,,,,,14709.0
2022,Дніпропетровська,,,,,,,41359.0
2022,Донецька,,,,,,,13304.0
2022,Житомирська,,,,,,,29269.0
2022,Закарпатська,,,,,,,15248.0
2022,Запорізька,,,,,,,18822.0
2022,Івано-Франківська,,,,,,,25556.0
2022,Київська,,,,,,,29784.0
2022,Кіровоградська,,,,,,,13946.0
2022,Луганська,,,,,,,2080.0
2022,Львівська,,,,,,,43626.0
2022,Миколаївська,,,,,,,11273.0
2022,Одеська,,,,,,,23538.0
2022,Полтавська,,,,,,,42934.0
2022,Рівненська,,,,,,,23864.0
2022,Сумська,,,,,,,25019.0
2022,Тернопільська,,,,,,,22279.0
2022,Харківська,,,,,,,23384.0
2022,Херсонська,,,,,,,4959.0
2022,Хмельницька,,,,,,,26244.0
2022,Черкаська,,,,,,,20381.0
2022,Чернівецька,,,,,,,14886.0
2022,Чернігівська,,,,,,,21845.0
2022,м. Київ,,,,,,,9989.0
2022,м. Севастополь,,,,,,,
2023,,,,,,,,490220.0
2023,,Кількість зареєстрованих звернень клієнтів для надання безоплатної правничої допомоги,,,,,,563654.0
2023,,"у тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",,,,,,121108.0
2023,,,до 18 років,,,,,4830.0
2023,,,18–35 років,,,,,75787.0
2023,,,36–60 років,,,,,185630.0
2023,,,61 рік і старші,,,,,102865.0
2023,,,,Чоловіча,,,,143272.0
2023,,,,жінки,,,,225840.0
2023,,,,,міська,,,
2023,,,,,сільська,,,
2023,,,,,,первинна правнича допомога,,508127.0
2023,,,,,,вторинна правнича допомога,,55527.0
2023,,,,,,,соціальне забезпечення,42421.0
2023,,,,,,,спадкове право,40223.0
2023,,,,,,,сімейне право,81123.0
2023,,,,,,,медичне право,
2023,,,,,,,трудове право,44272.0
2023,,,,,,,адміністративне право і адміністративний процес,98783.0
2023,,,,,,,земельне право,22914.0
2023,,,,,,,договірне право,
2023,,,,,,,житлове право,29930.0
2023,,,,,,,цивільне право та цивільний процес,101400.0
2023,,,,,,,виконання судових рішень,36308.0
2023,,,,,,,неправове питання,334.0
2023,,,,,,,інше,5566.0
2023,,,,,,,кримінальне право та кримінальний процес,19101.0
2023,,,,,,,пенсійне право,33126.0
2023,,,,,,,податкове право,4444.0
2023,,,,,,,виборче право,13.0
2023,,,,,,,господарське право,487.0
2023,,,,,,,питання пов’язані зі збройною агресією,3209.0
2023,Автономна Республіка Крим,,,,,,,
2023,Вінницька,,,,,,,35088.0
2023,Волинська,,,,,,,18670.0
2023,Дніпропетровська,,,,,,,40687.0
2023,Донецька,,,,,,,183.0
2023,Житомирська,,,,,,,29832.0
2023,Закарпатська,,,,,,,15990.0
2023,Запорізька,,,,,,,14296.0
2023,Івано-Франківська,,,,,,,28422.0
2023,Київська,,,,,,,34381.0
2023,Кіровоградська,,,,,,,14429.0
2023,Луганська,,,,,,,
2023,Львівська,,,,,,,34016.0
2023,Миколаївська,,,,,,,15049.0
2023,Одеська,,,,,,,26872.0
2023,Полтавська,,,,,,,41622.0
2023,Рівненська,,,,,,,17904.0
2023,Сумська,,,,,,,32863.0
2023,Тернопільська,,,,,,,24619.0
2023,Харківська,,,,,,,26660.0
2023,Херсонська,,,,,,,1797.0
2023,Хмельницька,,,,,,,25110.0
2023,Черкаська,,,,,,,21314.0
2023,Чернівецька,,,,,,,16622.0
2023,Чернігівська,,,,,,,28509.0
2023,м. Київ,,,,,,,18719.0
2023,м. Севастополь,,,,,,,
2024,,,,,,,,456868.0
2024,,Кількість зареєстрованих звернень клієнтів для надання безоплатної правничої допомоги,,,,,,524070.0
2024,,"у тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",,,,,,102969.0
2024,,,до 18 років,,,,,5253.0
2024,,,18–35 років,,,,,83558.0
2024,,,36–60 років,,,,,167067.0
2024,,,61 рік і старші,,,,,98021.0
2024,,,,Чоловіча,,,,140508.0
2024,,,,жінки,,,,213391.0
2024,,,,,міська,,,
2024,,,,,сільська,,,
2024,,,,,,первинна правнича допомога,,465744.0
2024,,,,,,вторинна правнича допомога,,58326.0
2024,,,,,,,соціальне забезпечення,34387.0
2024,,,,,,,спадкове право,33985.0
2024,,,,,,,сімейне право,68639.0
2024,,,,,,,медичне право,
2024,,,,,,,трудове право,65449.0
2024,,,,,,,адміністративне право і адміністративний процес,89363.0
2024,,,,,,,земельне право,15528.0
2024,,,,,,,договірне право,
2024,,,,,,,житлове право,23324.0
2024,,,,,,,цивільне право та цивільний процес,101868.0
2024,,,,,,,виконання судових рішень,32793.0
2024,,,,,,,неправове питання,388.0
2024,,,,,,,інше,4350.0
2024,,,,,,,кримінальне право та кримінальний процес,19470.0
2024,,,,,,,пенсійне право,26903.0
2024,,,,,,,податкове право,4745.0
2024,,,,,,,виборче право,16.0
2024,,,,,,,господарське право,454.0
2024,,,,,,,питання пов’язані зі збройною агресією,2408.0
2024,Автономна Республіка Крим,,,,,,,
2024,Вінницька,,,,,,,32605.0
2024,Волинська,,,,,,,14192.0
2024,Дніпропетровська,,,,,,,31580.0
2024,Донецька,,,,,,,3503.0
2024,Житомирська,,,,,,,25061.0
2024,Закарпатська,,,,,,,15311.0
2024,Запорізька,,,,,,,10879.0
2024,Івано-Франківська,,,,,,,28492.0
2024,Київська,,,,,,,30103.0
2024,Кіровоградська,,,,,,,14091.0
2024,Луганська,,,,,,,
2024,Львівська,,,,,,,33457.0
2024,Миколаївська,,,,,,,13837.0
2024,Одеська,,,,,,,23861.0
2024,Полтавська,,,,,,,33114.0
2024,Рівненська,,,,,,,19644.0
2024,Сумська,,,,,,,27548.0
2024,Тернопільська,,,,,,,26252.0
2024,Харківська,,,,,,,28040.0
2024,Херсонська,,,,,,,4074.0
2024,Хмельницька,,,,,,,22285.0
2024,Черкаська,,,,,,,18561.0
2024,Чернівецька,,,,,,,16955.0
2024,Чернігівська,,,,,,,26858.0
2024,м. Київ,,,,,,,23767.0
2024,м. Севастополь,,,,,,,
