Year,Область,Value
2015,Україна,25.1
2016,Україна,27.8
2017,Україна,35.1
2018,Україна,37.8
2019,Україна,36.2
2020,Україна,28.8
2021,Україна,29.5
2022,Україна,20.0
2023,Україна,28.2
2024,Україна,29.4
2015,Автономна Республіка Крим,
2016,Автономна Республіка Крим,
2017,Автономна Республіка Крим,
2018,Автономна Республіка Крим,
2019,Автономна Республіка Крим,
2020,Автономна Республіка Крим,
2021,Автономна Республіка Крим,
2022,Автономна Республіка Крим,
2023,Автономна Республіка Крим,
2024,Автономна Республіка Крим,
2015,Вінницька,32.7
2016,Вінницька,34.4
2017,Вінницька,33.8
2018,Вінницька,36.9
2019,Вінницька,36.3
2020,Вінницька,28.8
2021,Вінницька,27.0
2022,Вінницька,20.2
2023,Вінницька,23.5
2024,Вінницька,24.0
2015,Волинська,27.5
2016,Волинська,27.3
2017,Волинська,36.0
2018,Волинська,44.7
2019,Волинська,39.7
2020,Волинська,26.5
2021,Волинська,30.6
2022,Волинська,20.5
2023,Волинська,31.7
2024,Волинська,31.1
2015,Дніпропетровська,30.5
2016,Дніпропетровська,30.4
2017,Дніпропетровська,41.8
2018,Дніпропетровська,39.8
2019,Дніпропетровська,39.4
2020,Дніпропетровська,30.8
2021,Дніпропетровська,34.0
2022,Дніпропетровська,27.1
2023,Дніпропетровська,38.7
2024,Дніпропетровська,41.3
2015,Донецька,16.0
2016,Донецька,26.3
2017,Донецька,38.7
2018,Донецька,44.0
2019,Донецька,42.5
2020,Донецька,32.6
2021,Донецька,35.1
2022,Донецька,22.7
2023,Донецька,37.3
2024,Донецька,30.2
2015,Житомирська,26.2
2016,Житомирська,22.5
2017,Житомирська,30.5
2018,Житомирська,32.7
2019,Житомирська,19.9
2020,Житомирська,26.5
2021,Житомирська,30.3
2022,Житомирська,25.4
2023,Житомирська,29.0
2024,Житомирська,33.0
2015,Закарпатська,37.9
2016,Закарпатська,33.8
2017,Закарпатська,31.3
2018,Закарпатська,36.5
2019,Закарпатська,42.9
2020,Закарпатська,22.7
2021,Закарпатська,41.9
2022,Закарпатська,23.1
2023,Закарпатська,31.8
2024,Закарпатська,36.5
2015,Запорізька,20.9
2016,Запорізька,24.1
2017,Запорізька,29.2
2018,Запорізька,30.5
2019,Запорізька,33.7
2020,Запорізька,28.6
2021,Запорізька,28.5
2022,Запорізька,20.1
2023,Запорізька,26.7
2024,Запорізька,28.1
2015,Івано-Франківська,34.7
2016,Івано-Франківська,32.8
2017,Івано-Франківська,36.7
2018,Івано-Франківська,43.6
2019,Івано-Франківська,44.4
2020,Івано-Франківська,33.7
2021,Івано-Франківська,37.8
2022,Івано-Франківська,23.3
2023,Івано-Франківська,36.3
2024,Івано-Франківська,38.2
2015,Київська,26.3
2016,Київська,30.1
2017,Київська,27.0
2018,Київська,34.0
2019,Київська,34.6
2020,Київська,25.2
2021,Київська,25.4
2022,Київська,21.3
2023,Київська,28.9
2024,Київська,35.5
2015,Кіровоградська,27.1
2016,Кіровоградська,21.4
2017,Кіровоградська,28.9
2018,Кіровоградська,29.9
2019,Кіровоградська,20.4
2020,Кіровоградська,20.4
2021,Кіровоградська,19.1
2022,Кіровоградська,15.9
2023,Кіровоградська,24.3
2024,Кіровоградська,23.6
2015,Луганська,24.5
2016,Луганська,27.0
2017,Луганська,33.7
2018,Луганська,38.8
2019,Луганська,38.1
2020,Луганська,32.9
2021,Луганська,34.5
2022,Луганська,15.5
2023,Луганська,19.8
2024,Луганська,22.0
2015,Львівська,32.7
2016,Львівська,32.5
2017,Львівська,30.0
2018,Львівська,39.5
2019,Львівська,29.3
2020,Львівська,23.8
2021,Львівська,22.3
2022,Львівська,22.2
2023,Львівська,30.7
2024,Львівська,35.5
2015,Миколаївська,26.4
2016,Миколаївська,23.4
2017,Миколаївська,32.5
2018,Миколаївська,30.8
2019,Миколаївська,28.5
2020,Миколаївська,25.6
2021,Миколаївська,20.6
2022,Миколаївська,19.6
