Year,Region,including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,Age,Gender,Type of place of residence,Type of legal aid,Category of issues,Value
2015,Number of registered client requests for free legal assistance,,,,,,,41309.0
2016,Number of registered client requests for free legal assistance,,,,,,,275039.0
2017,Number of registered client requests for free legal assistance,,,,,,,567340.0
2018,Number of registered client requests for free legal assistance,,,,,,,623842.0
2019,Number of registered client requests for free legal assistance,,,,,,,623977.0
2020,Number of registered client requests for free legal assistance,,,,,,,568931.0
2021,Number of registered client requests for free legal assistance,,,,,,,713202.0
2022,Number of registered client requests for free legal assistance,,,,,,,556548.0
2023,Number of registered client requests for free legal assistance,,,,,,,563654.0
2024,Number of registered client requests for free legal assistance,,,,,,,524070.0
2015,Autonomous Republic of Crimea,,,,,,,
2016,Autonomous Republic of Crimea,,,,,,,
2017,Autonomous Republic of Crimea,,,,,,,
2018,Autonomous Republic of Crimea,,,,,,,
2019,Autonomous Republic of Crimea,,,,,,,
2020,Autonomous Republic of Crimea,,,,,,,
2021,Autonomous Republic of Crimea,,,,,,,
2022,Autonomous Republic of Crimea,,,,,,,
2023,Autonomous Republic of Crimea,,,,,,,
2024,Autonomous Republic of Crimea,,,,,,,
2015,Vinnytsya,,,,,,,1866.0
2016,Vinnytsya,,,,,,,20836.0
2017,Vinnytsya,,,,,,,46086.0
2018,Vinnytsya,,,,,,,42832.0
2019,Vinnytsya,,,,,,,36888.0
2020,Vinnytsya,,,,,,,21950.0
2021,Vinnytsya,,,,,,,35167.0
2022,Vinnytsya,,,,,,,38250.0
2023,Vinnytsya,,,,,,,35088.0
2024,Vinnytsya,,,,,,,32605.0
2015,Volyn,,,,,,,1232.0
2016,Volyn,,,,,,,8859.0
2017,Volyn,,,,,,,17635.0
2018,Volyn,,,,,,,16375.0
2019,Volyn,,,,,,,17322.0
2020,Volyn,,,,,,,15319.0
2021,Volyn,,,,,,,20039.0
2022,Volyn,,,,,,,14709.0
2023,Volyn,,,,,,,18670.0
2024,Volyn,,,,,,,14192.0
2015,Dnipropetrovsk,,,,,,,4069.0
2016,Dnipropetrovsk,,,,,,,28506.0
2017,Dnipropetrovsk,,,,,,,50773.0
2018,Dnipropetrovsk,,,,,,,54653.0
2019,Dnipropetrovsk,,,,,,,52595.0
2020,Dnipropetrovsk,,,,,,,44215.0
2021,Dnipropetrovsk,,,,,,,54352.0
2022,Dnipropetrovsk,,,,,,,41359.0
2023,Dnipropetrovsk,,,,,,,40687.0
2024,Dnipropetrovsk,,,,,,,31580.0
2015,Donetsk,,,,,,,711.0
2016,Donetsk,,,,,,,5703.0
2017,Donetsk,,,,,,,18599.0
2018,Donetsk,,,,,,,27060.0
2019,Donetsk,,,,,,,31623.0
2020,Donetsk,,,,,,,33768.0
2021,Donetsk,,,,,,,35478.0
2022,Donetsk,,,,,,,13304.0
2023,Donetsk,,,,,,,183.0
2024,Donetsk,,,,,,,3503.0
2015,Zhytomyr,,,,,,,1316.0
2016,Zhytomyr,,,,,,,10343.0
2017,Zhytomyr,,,,,,,23119.0
2018,Zhytomyr,,,,,,,23062.0
2019,Zhytomyr,,,,,,,20142.0
2020,Zhytomyr,,,,,,,21802.0
2021,Zhytomyr,,,,,,,31318.0
2022,Zhytomyr,,,,,,,29269.0
