Year,Type of economic activity,Organisation and legal forms,Region,Number of employees,Value
2022,B338,,,,19.0
2022,B339,,,,23.1
2022,B340,,,,26.8
2022,B341,,,,29.7
2022,B342,,,,27.8
2022,B343,,,,25.8
2022,B344,,,,19.6
2022,B345,,,,28.5
2022,B346,,,,29.9
2022,B347,,,,27.1
2022,B348,,,,27.1
2022,B349,,,,35.3
2022,B350,,,,34.4
2022,B351,,,,21.5
2022,B352,,,,31.5
2022,B353,,,,45.2
2022,B354,,,,34.9
2022,B355,,,,24.3
2022,B356,,,,54.0
2022,B357,,,,29.1
2022,B358,,,,16.5
2022,B359,,,,20.1
2022,B360,,,,16.0
2022,B361,,,,17.0
2022,B362,,,,20.8
2022,B363,,,,23.9
2022,B364,,,,23.0
2022,B365,,,,22.9
2022,B366,,,,20.6
2022,B367,,,,23.7
2022,B368,,,,22.6
2022,B369,,,,23.1
2022,B370,,,,21.9
2022,B371,,,,25.7
2022,B372,,,,24.6
2022,B373,,,,17.4
2022,B374,,,,25.0
2022,B375,,,,49.2
2022,B376,,,,37.2
2022,B377,,,,50.0
2022,B378,,,,27.3
2022,B379,,,,27.8
2022,B380,,,,50.0
2022,B381,,,,41.7
2022,B382,,,,34.7
2022,B383,,,,33.3
2022,B384,,,,23.9
2022,B385,,,,19.4
2022,B386,,,,26.4
2022,B387,,,,18.9
2022,B388,,,,45.5
2022,B389,,,,26.2
2022,B390,,,,36.0
2022,B391,,,,17.6
2022,B392,,,,38.6
2022,B393,,,,62.5
2022,B394,,,,42.5
2022,B395,,,,
2022,B396,,,,20.9
2022,B397,,,,50.0
2022,B398,,,,36.9
2022,B399,,,,44.1
2022,B400,,,,51.5
2022,B401,,,,35.6
2022,B402,,,,54.4
2022,B403,,,,47.8
2022,B404,,,,51.1
2022,B405,,,,32.6
2022,B406,,,,36.2
2022,B407,,,,27.8
2022,B408,,,,23.1
2022,B409,,,,45.8
2022,B410,,,,28.4
2022,B411,,,,29.2
2022,B412,,,,
2022,B413,,,,26.3
2022,B414,,,,15.4
2022,B415,,,,21.7
2022,B416,,,,22.2
2022,B417,,,,22.1
2022,B418,,,,31.0
2022,B419,,,,5.6
2022,B420,,,,18.2
2022,B421,,,,20.0
2022,B422,,,,35.0
2022,B423,,,,8.6
2022,B424,,,,14.3
2022,B425,,,,7.5
2022,B426,,,,19.8
2022,B427,,,,17.3
2022,B428,,,,21.3
2022,B429,,,,25.0
2022,B430,,,,21.0
2022,B431,,,,30.0
2022,B432,,,,25.0
2022,B433,,,,26.1
2022,B434,,,,42.3
2022,B435,,,,39.4
2022,B436,,,,38.9
2022,B437,,,,50.7
2022,B438,,,,47.3
2022,B439,,,,50.0
2022,B440,,,,55.5
2022,B441,,,,50.0
2022,B442,,,,36.5
2022,B443,,,,47.4
2022,B444,,,,51.6
2022,B445,,,,43.8
2022,B446,,,,30.9
2022,B447,,,,22.4
2022,B448,,,,24.4
2022,B449,,,,40.0
2022,B450,,,,35.7
2022,B451,,,,38.8
2022,B452,,,,53.1
2022,B453,,,,28.7
2022,B454,,,,46.2
2022,B455,,,,35.0
2022,B456,,,,17.9
2022,B457,,,,18.4
2022,B458,,,,15.0
2022,B459,,,,25.6
2022,B460,,,,24.1
2022,B461,,,,26.1
2022,B462,,,,19.8
2022,B463,,,,24.6
2022,B464,,,,30.0
2022,B465,,,,25.1
2022,B466,,,,35.6
2022,B467,,,,33.9
2022,B468,,,,50.0
2022,B469,,,,40.9
2022,B470,,,,32.3
2022,B471,,,,30.4
2022,B472,,,,20.1
2022,B473,,,,35.0
2022,B474,,,,31.6
2022,B475,,,,38.1
2022,B476,,,,31.1
2022,B477,,,,33.3
2022,B478,,,,31.9
2022,B479,,,,26.9
2022,B480,,,,35.4
2022,B481,,,,40.5
2022,B482,,,,30.2
2022,B483,,,,35.2
2022,B484,,,,39.5
2022,B485,,,,37.9
2022,B486,,,,31.2
2022,B487,,,,37.2
2022,B488,,,,41.4
2022,B489,,,,42.8
2022,B490,,,,38.3
2022,B491,,,,67.7
2022,B492,,,,20.9
2022,B493,,,,48.5
2022,B494,,,,36.7
2022,B495,,,,29.2
2022,B496,,,,25.2
2022,B497,,,,25.9
2022,B498,,,,26.9
2022,B499,,,,20.0
2022,B500,,,,35.9
2022,B501,,,,39.9
2022,B502,,,,41.8
2022,B503,,,,34.5
2022,B504,,,,44.3
2022,B505,,,,30.3
2022,B506,,,,56.3
2022,B507,,,,28.7
2022,B508,,,,34.2
2022,B509,,,,27.3
2022,B510,,,,30.9
2022,B511,,,,20.0
2022,B512,,,,
2022,B513,,,,28.6
2022,B514,,,,25.0
2022,B515,,,,23.4
2022,B516,,,,36.9
2022,B517,,,,15.6
2022,B518,,,,25.0
2022,B519,,,,29.9
2022,B520,,,,33.3
2022,B521,,,,44.8
2022,B522,,,,43.1
2022,B523,,,,49.3
2022,B524,,,,68.4
2022,B525,,,,64.2
2022,B526,,,,46.9
2022,B527,,,,11.9
2022,B528,,,,17.5
2022,B529,,,,14.9
2022,B530,,,,44.3
2022,B531,,,,42.4
2022,B532,,,,27.8
2022,B533,,,,25.0
2022,B534,,,,28.8
2022,B535,,,,33.0
2022,B536,,,,41.4
2022,B537,,,,39.2
2022,B538,,,,47.8
2022,B539,,,,14.6
2022,B540,,,,31.7
2022,B541,,,,33.4
2022,B542,,,,60.8
2022,B543,,,,73.5
2022,B544,,,,23.1
2022,B545,,,,23.3
2022,B546,,,,4.1
2022,B547,,,,54.6
2022,B548,,,,3.3
2022,B549,,,,2.3
2022,B550,,,,56.8
2022,B551,,,,98.9
2022,B552,,,,90.1
2022,B553,,,,73.4
2022,B554,,,,32.0
2022,B555,,,,40.7
2022,B556,,,,27.4
2022,B557,,,,23.0
2022,B558,,,,70.1
2022,B559,,,,26.3
2022,B560,,,,66.7
2022,B561,,,,75.4
2022,B562,,,,39.1
2022,B563,,,,51.4
2022,B564,,,,44.6
2022,B565,,,,44.8
2022,B566,,,,59.3
2022,B567,,,,29.3
2022,B568,,,,24.0
2022,B569,,,,52.2
2022,B570,,,,51.0
2022,B571,,,,74.0
2022,B572,,,,83.0
2022,B573,,,,38.4
2022,B574,,,,62.2
2022,B575,,,,62.6
2022,B576,,,,34.6
2022,B577,,,,72.5
2022,B578,,,,93.4
2022,B579,,,,64.5
2022,B580,,,,43.3
2022,B581,,,,23.1
2022,B582,,,,24.7
2022,B583,,,,19.0
2022,B584,,,,12.6
2022,B585,,,,37.7
2022,B586,,,,16.8
2022,B587,,,,38.2
2022,B588,,,,51.5
2022,B589,,,,17.8
2022,B590,,,,32.4
2022,B591,,,,62.3
2022,B592,,,,4.6
2022,B593,,,,22.2
2022,B594,,,,29.4
2022,B595,,,,16.8
2022,B596,,,,19.1
2022,B597,,,,15.2
2022,B598,,,,12.8
2022,B599,,,,55.6
2022,B600,,,,11.1
2022,B601,,,,34.6
2022,B602,,,,53.7
2022,B603,,,,50.8
2022,B604,,,,78.5
2022,B605,,,,30.1
2022,B606,,,,41.8
2022,B607,,,,29.9
2022,B608,,,,33.3
2022,B609,,,,42.9
2022,B610,,,,14.3
2022,B611,,,,
2022,,,,,34.9
2022,,farm,,,20.6
2022,,private_enterprise,,,28.4
2022,,collective_enterprise,,,30.1
2022,,public_enterprise,,,12.0
2022,,state-run_enterprise,,,9.5
2022,,communal_enterprise,,,33.6
2022,,joint_communal_enterprise,,,
2022,,subsidiary,,,24.9
2022,,foreign_enterprise,,,22.6
2022,,enterprise_association_of_citizens,,,24.8
2022,,enterprise_founded_by_consumer_partnership,,,55.1
2022,,rental_enterprise,,,28.6
2022,,individual_enterprise,,,
2022,,family_enterprise,,,29.9
2022,,joint_enterprise,,,18.9
2022,,joint-stock_company,,,18.8
2022,,public_joint-stock_partnership,,,18.2
2022,,private_joint-stock_partnership,,,50.0
2022,,state_joint_stock_company,,,27.3
2022,,holding_company,,,20.9
2022,,limited_liability_partnership,,,29.5
2022,,extended_liability_partnership,,,36.6
2022,,full_liability_partnership,,,25.3
2022,,mixed_liability_company,,,30.9
2022,,lawyers_union,,,24.9
2022,,law_office,,,30.2
2022,,cooperative,,,48.6
2022,,production_cooperative,,,8.8
2022,,serve_cooperative,,,33.9
2022,,housing_construction_cooperativ,,,57.5
2022,,garage_cooperativ,,,11.2
2022,,consumer_cooperativ,,,26.5
2022,,consumer_partnership,,,20.0
2022,,Bgriculture_and_production_cooperativ,,,55.5
2022,,Bgriculture_and_serve_cooperativ,,,47.0
2022,,Bgriculture_cooperativ,,,49.0
2022,,organisation_establishment_institution,,,44.2
2022,,Buthority_of_state_power_organization,,,79.1
2022,,Buthority_of_state_power,,,63.2
2022,,courts,,,24.1
2022,,Buthority_of_municipality_power,,,
2022,,state-run_organisation,,,29.8
2022,,communal_establishment_institution,,,18.7
2022,,private_establishment_institution,,,25.0
2022,,organisation_establishment_institution_public_association,,,10.0
2022,,organization_of_tenants,,,35.9
2022,,organization_of_customers,,,18.3
2022,,Bssociation,,,25.3
2022,,corporation,,,25.7
2022,,consortium,,,45.7
2022,,concern,,,100.0
2022,,union_of_consumer_partnerships,,,32.5
2022,,other_associations_of_legal_persons,,,
2022,,Buthority_of_advocacy_self-government,,,24.2
2022,,Buthority_of_judge_self-government,,,14.8
2022,,Budit_chamber_of_ukraine,,,100.0
2022,,organization_of_water_users,,,
2022,,commodity_exchange,,,22.2
2022,,credit_union,,,28.7
2022,,not_state_pension_fund,,,22.3
2022,,political_party,,,4.6
2022,,non-profit_organisation,,,62.4
2022,,public_union,,,41.2
2022,,religious_organisation,,,22.9
2022,,trade_union_association_of_trade_unions,,,37.1
2022,,trade_union,,,11.8
2022,,Bssociation_of_trade_unions,,,52.7
2022,,creative_union_other_professional_organisation,,,51.8
2022,,charitable_organisation,,,32.4
2022,,organization_of_employers,,,50.2
2022,,condominium,,,30.0
2022,,community_association_population,,,33.0
2022,,gardening_partnership,,,25.0
2022,,,,up_to_9,28.4
2022,,,,employees_10_49,22.3
2022,,,,employees_50_249,21.2
2022,,,,employees_250_plus,18.0
2022,,,Ukraine,,34.9
2022,,,autonomous_Republic_of_Crimea,,
2022,,,11_reg_Vinnytsya,,35.5
2022,,,12_reg_Volyn,,35.4
2022,,,13_reg_Dnipropetrovsk,,36.4
2022,,,14_reg_Donetsk,,46.5
2022,,,15_reg_Zhytomyr,,38.5
2022,,,16_reg_Zakarpattya,,34.5
2022,,,17_reg_Zaporizhzhya,,34.8
2022,,,18_reg_Ivano-Frankivsk,,34.0
2022,,,19_reg_Kyiv,,31.2
2022,,,20_reg_Kirovohrad,,36.2
2022,,,21_reg_Luhansk,,46.1
2022,,,22_reg_Lviv,,31.6
2022,,,23_reg_Mykolayiv,,38.0
2022,,,24_reg_Odesa,,36.2
2022,,,25_reg_Poltava,,34.8
2022,,,26_reg_Rivne,,34.5
2022,,,27_reg_Sumy,,35.5
2022,,,28_reg_Ternopil,,32.5
2022,,,29_reg_Kharkiv,,35.0
2022,,,30_reg_Kherson,,41.2
2022,,,31_reg_Khmelnytskiy,,34.3
2022,,,32_reg_Cherkasy,,35.6
2022,,,33_reg_Chernivtsi,,32.5
2022,,,34_reg_Chernihiv,,36.7
2022,,,35_reg_Kyiv_city,,30.6
2022,,,city_Sevastopol,,
2023,B01,,,,18.9
2023,B02,,,,12.5
2023,B03,,,,20.8
2023,B04,,,,
2023,B05,,,,
2023,B06,,,,38.9
2023,B07,,,,27.0
2023,B08,,,,21.6
2023,B09,,,,20.3
2023,B10,,,,22.6
2023,B11,,,,
2023,B12,,,,22.0
2023,B13,,,,20.4
2023,B14,,,,22.4
2023,B15,,,,19.1
2023,B16,,,,19.2
2023,B17,,,,36.8
2023,B18,,,,
2023,B19,,,,19.1
2023,B20,,,,20.1
2023,B21,,,,21.9
2023,B22,,,,23.7
2023,B23,,,,18.6
2023,B24,,,,19.5
2023,B25,,,,26.6
2023,B26,,,,21.1
2023,B27,,,,19.3
2023,B28,,,,5.3
2023,B29,,,,5.6
2023,B30,,,,12.6
2023,B31,,,,31.2
2023,B32,,,,14.8
2023,B33,,,,10.5
2023,B34,,,,19.2
2023,B35,,,,
2023,B36,,,,18.9
2023,B37,,,,7.0
2023,B38,,,,
2023,B39,,,,22.4
2023,B40,,,,15.6
2023,B41,,,,18.2
2023,B42,,,,
2023,B43,,,,12.8
2023,B44,,,,14.9
2023,B45,,,,11.9
2023,B46,,,,16.7
2023,B47,,,,20.0
2023,B48,,,,
2023,B49,,,,10.9
2023,B50,,,,15.8
2023,B51,,,,12.5
2023,B52,,,,16.4
2023,B53,,,,13.0
2023,B54,,,,24.4
2023,B55,,,,23.9
2023,B56,,,,18.2
2023,B57,,,,18.6
2023,B58,,,,27.7
2023,B59,,,,21.4
2023,B60,,,,25.0
2023,B61,,,,24.4
2023,B62,,,,28.9
2023,B63,,,,23.7
2023,B64,,,,4.8
2023,B65,,,,34.2
2023,B66,,,,35.0
2023,B67,,,,27.0
2023,B68,,,,14.6
2023,B69,,,,30.5
2023,B70,,,,19.8
2023,B71,,,,24.1
2023,B72,,,,34.9
2023,B73,,,,23.5
2023,B74,,,,24.6
2023,B75,,,,22.2
2023,B76,,,,25.0
2023,B77,,,,18.1
2023,B78,,,,16.9
2023,B79,,,,13.0
2023,B80,,,,
2023,B81,,,,17.2
2023,B82,,,,9.1
2023,B83,,,,20.6
2023,B84,,,,12.5
2023,B85,,,,18.2
2023,B86,,,,27.5
2023,B87,,,,47.4
2023,B88,,,,26.3
2023,B89,,,,37.2
2023,B90,,,,33.3
2023,B91,,,,36.8
2023,B92,,,,30.3
2023,B93,,,,21.7
2023,B94,,,,50.0
2023,B95,,,,38.1
2023,B96,,,,44.7
2023,B97,,,,49.6
2023,B98,,,,52.9
2023,B99,,,,41.1
2023,B100,,,,57.1
2023,B101,,,,33.3
2023,B102,,,,50.0
2023,B103,,,,25.7
2023,B104,,,,34.4
2023,B105,,,,30.3
2023,B106,,,,21.3
2023,B107,,,,26.1
2023,B108,,,,21.9
2023,B109,,,,20.9
2023,B110,,,,16.1
2023,B111,,,,23.9
2023,B112,,,,33.3
2023,B113,,,,25.0
2023,B114,,,,20.4
2023,B115,,,,19.5
2023,B116,,,,36.1
2023,B117,,,,28.6
2023,B118,,,,26.2
2023,B119,,,,34.4
2023,B120,,,,27.8
2023,B121,,,,30.7
2023,B122,,,,39.3
2023,B123,,,,40.0
2023,B124,,,,16.7
2023,B125,,,,14.5
2023,B126,,,,14.8
2023,B127,,,,15.8
2023,B128,,,,9.2
2023,B129,,,,16.2
2023,B130,,,,21.7
2023,B131,,,,17.5
2023,B132,,,,
2023,B133,,,,21.6
2023,B134,,,,17.7
2023,B135,,,,25.5
2023,B136,,,,39.5
2023,B137,,,,
2023,B138,,,,9.5
2023,B139,,,,42.9
2023,B140,,,,20.4
2023,B141,,,,12.0
2023,B142,,,,26.7
2023,B143,,,,31.1
2023,B144,,,,23.8
2023,B145,,,,17.5
2023,B146,,,,17.1
2023,B147,,,,24.3
2023,B148,,,,19.2
2023,B149,,,,19.1
2023,B150,,,,13.3
2023,B151,,,,19.0
2023,B152,,,,5.6
2023,B153,,,,26.3
2023,B154,,,,17.0
2023,B155,,,,16.9
2023,B156,,,,20.0
2023,B157,,,,17.6
2023,B158,,,,26.7
2023,B159,,,,25.0
2023,B160,,,,12.5
2023,B161,,,,18.2
2023,B162,,,,13.3
2023,B163,,,,22.7
2023,B164,,,,5.3
2023,B165,,,,15.3
2023,B166,,,,8.3
2023,B167,,,,16.6
2023,B168,,,,18.2
2023,B169,,,,
2023,B170,,,,27.4
2023,B171,,,,19.3
2023,B172,,,,10.0
2023,B173,,,,13.5
2023,B174,,,,20.7
2023,B175,,,,18.3
2023,B176,,,,25.0
2023,B177,,,,20.0
2023,B178,,,,19.0
2023,B179,,,,22.0
2023,B180,,,,12.9
2023,B181,,,,11.6
2023,B182,,,,8.3
2023,B183,,,,13.3
2023,B184,,,,6.2
2023,B185,,,,
2023,B186,,,,13.7
2023,B187,,,,2.8
2023,B188,,,,8.7
2023,B189,,,,21.4
2023,B190,,,,16.2
2023,B191,,,,18.1
2023,B192,,,,16.9
2023,B193,,,,16.7
2023,B194,,,,8.3
2023,B195,,,,9.9
2023,B196,,,,17.1
2023,B197,,,,18.7
2023,B198,,,,17.5
2023,B199,,,,20.0
2023,B200,,,,10.3
2023,B201,,,,17.1
2023,B202,,,,11.1
2023,B203,,,,18.4
2023,B204,,,,19.1
2023,B205,,,,17.9
2023,B206,,,,17.9
2023,B207,,,,11.6
2023,B208,,,,5.3
2023,B209,,,,16.1
2023,B210,,,,6.7
2023,B211,,,,7.7
2023,B212,,,,12.3
2023,B213,,,,33.3
2023,B214,,,,12.0
2023,B215,,,,18.5
2023,B216,,,,
2023,B217,,,,11.1
2023,B218,,,,15.8
2023,B219,,,,17.4
2023,B220,,,,40.0
2023,B221,,,,13.7
2023,B222,,,,11.9
2023,B223,,,,9.1
2023,B224,,,,16.2
2023,B225,,,,7.7
2023,B226,,,,15.9
2023,B227,,,,13.9
2023,B228,,,,13.7
2023,B229,,,,4.9
2023,B230,,,,23.7
2023,B231,,,,14.3
2023,B232,,,,22.1
2023,B233,,,,8.7
2023,B234,,,,
2023,B235,,,,
2023,B236,,,,10.7
2023,B237,,,,14.7
2023,B238,,,,14.7
2023,B239,,,,4.7
2023,B240,,,,26.4
2023,B241,,,,10.9
2023,B242,,,,17.1
2023,B243,,,,12.2
2023,B244,,,,44.4
2023,B245,,,,50.0
2023,B246,,,,5.3
2023,B247,,,,14.6
2023,B248,,,,14.1
2023,B249,,,,13.6
2023,B250,,,,15.0
2023,B251,,,,9.4
2023,B252,,,,20.9
2023,B253,,,,12.2
2023,B254,,,,9.9
2023,B255,,,,7.4
2023,B256,,,,21.6
2023,B257,,,,
2023,B258,,,,23.8
2023,B259,,,,33.3
2023,B260,,,,21.2
2023,B261,,,,19.0
2023,B262,,,,17.9
2023,B263,,,,18.6
2023,B264,,,,
2023,B265,,,,29.7
2023,B266,,,,22.2
2023,B267,,,,33.3
2023,B268,,,,19.2
2023,B269,,,,27.5
2023,B270,,,,21.9
2023,B271,,,,22.2
2023,B272,,,,25.7
2023,B273,,,,12.4
2023,B274,,,,16.6
2023,B275,,,,28.4
2023,B276,,,,17.3
2023,B277,,,,10.8
2023,B278,,,,23.1
2023,B279,,,,14.1
2023,B280,,,,17.2
2023,B281,,,,14.7
2023,B282,,,,20.2
2023,B283,,,,27.0
2023,B284,,,,14.6
2023,B285,,,,23.5
2023,B286,,,,20.0
2023,B287,,,,15.1
2023,B288,,,,22.7
2023,B289,,,,14.8
2023,B290,,,,20.8
2023,B291,,,,18.3
2023,B292,,,,19.5
2023,B293,,,,16.0
2023,B294,,,,18.6
2023,B295,,,,33.3
2023,B296,,,,15.9
2023,B297,,,,19.1
2023,B298,,,,9.1
2023,B299,,,,22.3
2023,B300,,,,16.7
2023,B301,,,,14.0
2023,B302,,,,10.7
2023,B303,,,,14.8
2023,B304,,,,12.9
2023,B305,,,,13.2
2023,B306,,,,12.6
2023,B307,,,,19.3
2023,B308,,,,14.8
2023,B309,,,,19.2
2023,B310,,,,10.7
2023,B311,,,,14.9
2023,B312,,,,15.1
2023,B313,,,,17.5
2023,B314,,,,22.7
2023,B315,,,,15.3
2023,B316,,,,13.3
2023,B317,,,,12.1
2023,B318,,,,15.2
2023,B319,,,,14.9
2023,B320,,,,13.2
2023,B321,,,,16.4
2023,B322,,,,16.6
2023,B323,,,,16.5
2023,B324,,,,18.9
2023,B325,,,,20.0
2023,B326,,,,18.9
2023,B327,,,,23.5
2023,B328,,,,22.4
2023,B329,,,,24.8
2023,B330,,,,17.6
2023,B331,,,,24.3
2023,B332,,,,29.7
2023,B333,,,,30.0
2023,B334,,,,35.4
2023,B335,,,,29.3
2023,B336,,,,24.1
2023,B337,,,,42.6
2023,B338,,,,16.7
2023,B339,,,,12.9
2023,B340,,,,28.8
2023,B341,,,,29.7
2023,B342,,,,28.4
2023,B343,,,,25.9
2023,B344,,,,22.5
2023,B345,,,,27.7
2023,B346,,,,29.2
2023,B347,,,,27.8
2023,B348,,,,27.4
2023,B349,,,,32.6
2023,B350,,,,35.3
2023,B351,,,,21.7
2023,B352,,,,29.3
2023,B353,,,,46.0
2023,B354,,,,34.8
2023,B355,,,,25.6
2023,B356,,,,52.6
2023,B357,,,,30.1
2023,B358,,,,17.0
2023,B359,,,,20.8
2023,B360,,,,17.5
2023,B361,,,,19.0
2023,B362,,,,21.4
2023,B363,,,,31.9
2023,B364,,,,26.1
2023,B365,,,,25.0
2023,B366,,,,20.9
2023,B367,,,,23.9
2023,B368,,,,23.1
2023,B369,,,,24.0
2023,B370,,,,22.0
2023,B371,,,,25.5
2023,B372,,,,24.4
2023,B373,,,,17.4
2023,B374,,,,24.7
2023,B375,,,,48.5
2023,B376,,,,36.3
2023,B377,,,,57.1
2023,B378,,,,29.2
2023,B379,,,,23.5
2023,B380,,,,41.7
2023,B381,,,,44.1
2023,B382,,,,36.0
2023,B383,,,,39.2
2023,B384,,,,25.1
2023,B385,,,,21.7
2023,B386,,,,23.1
2023,B387,,,,19.7
2023,B388,,,,45.7
2023,B389,,,,23.6
2023,B390,,,,28.6
2023,B391,,,,15.8
2023,B392,,,,37.8
2023,B393,,,,66.2
2023,B394,,,,37.2
2023,B395,,,,
2023,B396,,,,19.0
2023,B397,,,,38.5
2023,B398,,,,38.4
2023,B399,,,,48.5
2023,B400,,,,52.4
2023,B401,,,,36.6
2023,B402,,,,54.3
2023,B403,,,,38.1
2023,B404,,,,49.4
2023,B405,,,,33.3
2023,B406,,,,40.4
2023,B407,,,,20.7
2023,B408,,,,40.0
2023,B409,,,,47.4
2023,B410,,,,32.3
2023,B411,,,,32.4
2023,B412,,,,
2023,B413,,,,28.8
2023,B414,,,,16.2
2023,B415,,,,21.9
2023,B416,,,,22.8
2023,B417,,,,23.1
2023,B418,,,,27.8
2023,B419,,,,6.2
2023,B420,,,,
2023,B421,,,,24.5
2023,B422,,,,45.5
2023,B423,,,,10.3
2023,B424,,,,11.5
2023,B425,,,,5.7
2023,B426,,,,19.9
2023,B427,,,,18.0
2023,B428,,,,21.2
2023,B429,,,,19.6
2023,B430,,,,20.9
2023,B431,,,,31.4
2023,B432,,,,16.7
2023,B433,,,,23.8
2023,B434,,,,41.4
2023,B435,,,,41.2
2023,B436,,,,46.7
2023,B437,,,,55.4
2023,B438,,,,45.9
2023,B439,,,,48.0
2023,B440,,,,55.6
2023,B441,,,,47.7
2023,B442,,,,35.2
2023,B443,,,,52.6
2023,B444,,,,52.4
2023,B445,,,,43.3
2023,B446,,,,35.5
2023,B447,,,,22.2
2023,B448,,,,26.4
2023,B449,,,,40.1
2023,B450,,,,25.0
2023,B451,,,,38.1
2023,B452,,,,54.5
2023,B453,,,,29.4
2023,B454,,,,48.3
2023,B455,,,,36.0
2023,B456,,,,18.5
2023,B457,,,,18.6
2023,B458,,,,11.1
2023,B459,,,,26.0
2023,B460,,,,24.1
2023,B461,,,,27.0
2023,B462,,,,19.8
2023,B463,,,,25.4
2023,B464,,,,30.3
2023,B465,,,,27.5
2023,B466,,,,37.2
2023,B467,,,,34.0
2023,B468,,,,50.0
2023,B469,,,,40.6
2023,B470,,,,30.4
2023,B471,,,,30.5
2023,B472,,,,17.4
2023,B473,,,,36.4
2023,B474,,,,34.1
2023,B475,,,,36.8
2023,B476,,,,33.6
2023,B477,,,,33.3
2023,B478,,,,32.7
2023,B479,,,,28.0
2023,B480,,,,39.3
2023,B481,,,,37.9
2023,B482,,,,30.4
2023,B483,,,,34.4
2023,B484,,,,41.9
2023,B485,,,,39.0
2023,B486,,,,31.1
2023,B487,,,,37.8
2023,B488,,,,42.0
2023,B489,,,,42.9
2023,B490,,,,37.3
2023,B491,,,,67.9
2023,B492,,,,22.0
2023,B493,,,,50.4
2023,B494,,,,36.8
2023,B495,,,,28.0
2023,B496,,,,25.0
2023,B497,,,,25.5
2023,B498,,,,27.9
2023,B499,,,,21.1
2023,B500,,,,36.1
2023,B501,,,,40.1
2023,B502,,,,42.2
2023,B503,,,,34.5
2023,B504,,,,40.8
2023,B505,,,,34.6
2023,B506,,,,58.6
2023,B507,,,,30.6
2023,B508,,,,37.4
2023,B509,,,,30.0
2023,B510,,,,29.4
2023,B511,,,,25.0
2023,B512,,,,
2023,B513,,,,40.5
2023,B514,,,,25.2
2023,B515,,,,23.7
2023,B516,,,,34.7
2023,B517,,,,17.9
2023,B518,,,,28.6
2023,B519,,,,30.4
2023,B520,,,,31.3
2023,B521,,,,45.4
2023,B522,,,,42.6
2023,B523,,,,51.1
2023,B524,,,,67.5
2023,B525,,,,61.6
2023,B526,,,,50.4
2023,B527,,,,12.8
2023,B528,,,,17.9
2023,B529,,,,12.2
2023,B530,,,,44.5
2023,B531,,,,40.4
2023,B532,,,,27.0
2023,B533,,,,23.9
2023,B534,,,,28.8
2023,B535,,,,37.8
2023,B536,,,,62.5
2023,B537,,,,44.5
2023,B538,,,,47.0
2023,B539,,,,21.6
2023,B540,,,,34.6
2023,B541,,,,33.1
2023,B542,,,,61.3
2023,B543,,,,75.3
2023,B544,,,,26.8
2023,B545,,,,21.9
2023,B546,,,,4.3
2023,B547,,,,53.8
2023,B548,,,,3.8
2023,B549,,,,2.5
2023,B550,,,,60.8
2023,B551,,,,99.0
2023,B552,,,,89.7
2023,B553,,,,74.0
2023,B554,,,,32.3
2023,B555,,,,44.5
2023,B556,,,,26.7
2023,B557,,,,24.3
2023,B558,,,,71.2
2023,B559,,,,28.3
2023,B560,,,,67.6
2023,B561,,,,79.5
2023,B562,,,,40.3
2023,B563,,,,51.8
2023,B564,,,,45.7
2023,B565,,,,45.2
2023,B566,,,,60.0
2023,B567,,,,28.6
2023,B568,,,,24.9
2023,B569,,,,52.4
2023,B570,,,,50.9
2023,B571,,,,75.4
2023,B572,,,,84.8
2023,B573,,,,37.6
2023,B574,,,,64.2
2023,B575,,,,63.4
2023,B576,,,,40.5
2023,B577,,,,72.4
2023,B578,,,,93.1
2023,B579,,,,64.9
2023,B580,,,,47.0
2023,B581,,,,24.2
2023,B582,,,,14.8
2023,B583,,,,18.2
2023,B584,,,,12.6
2023,B585,,,,39.0
2023,B586,,,,17.3
2023,B587,,,,39.0
2023,B588,,,,53.0
2023,B589,,,,17.5
2023,B590,,,,32.7
2023,B591,,,,62.4
2023,B592,,,,4.9
2023,B593,,,,22.2
2023,B594,,,,29.8
2023,B595,,,,17.4
2023,B596,,,,20.0
2023,B597,,,,22.8
2023,B598,,,,12.3
2023,B599,,,,56.2
2023,B600,,,,23.1
2023,B601,,,,28.6
2023,B602,,,,45.9
2023,B603,,,,51.2
2023,B604,,,,80.7
2023,B605,,,,24.7
2023,B606,,,,35.3
2023,B607,,,,26.0
2023,B608,,,,
2023,B609,,,,42.9
2023,B610,,,,28.6
2023,B611,,,,
2023,,,,,35.2
2023,,farm,,,20.2
2023,,private_enterprise,,,28.5
2023,,collective_enterprise,,,29.5
2023,,public_enterprise,,,11.9
2023,,state-run_enterprise,,,5.6
2023,,communal_enterprise,,,34.0
2023,,joint_communal_enterprise,,,50.0
2023,,subsidiary,,,24.7
2023,,foreign_enterprise,,,18.6
2023,,enterprise_association_of_citizens,,,24.9
2023,,enterprise_founded_by_consumer_partnership,,,56.4
2023,,rental_enterprise,,,50.0
2023,,individual_enterprise,,,
2023,,family_enterprise,,,32.0
2023,,joint_enterprise,,,19.3
2023,,joint-stock_company,,,18.0
2023,,public_joint-stock_partnership,,,20.0
2023,,private_joint-stock_partnership,,,50.0
2023,,state_joint_stock_company,,,27.6
2023,,holding_company,,,20.5
2023,,limited_liability_partnership,,,32.4
2023,,extended_liability_partnership,,,40.6
2023,,full_liability_partnership,,,26.6
2023,,mixed_liability_company,,,31.7
