Year,Область,Вік,Стать,Місцевість проживання,Децільні групи за рівнем середньодушових еквівалентних загальних доходів,Value
2017,,,,,перша (нижча),0.1
2017,,,,,друга,0.3
2017,,,,,третя,0.5
2017,,,,,четверта,1.6
2017,,,,,п'ята,2.2
2017,,,,,шоста,1.5
2017,,,,,сьома,1.9
2017,,,,,восьма,2.9
2017,,,,,дев'ята,2.9
2017,,,,,десята (вища),3.9
2017,,,,,,1.9
2017,Автономна Республіка Крим,,,,,
2017,Вінницька,,,,,3.5
2017,Волинська,,,,,0.4
2017,Дніпропетровська,,,,,3.3
2017,Донецька,,,,,2.3
2017,Житомирська,,,,,2.0
2017,Закарпатська,,,,,0.0
2017,Запорізька,,,,,1.8
2017,Івано-Франківська,,,,,0.0
2017,Київська,,,,,0.9
2017,Кіровоградська,,,,,2.5
2017,Луганська,,,,,2.1
2017,Львівська,,,,,1.0
2017,Миколаївська,,,,,0.0
2017,Одеська,,,,,1.6
2017,Полтавська,,,,,3.3
2017,Рівненська,,,,,1.1
2017,Сумська,,,,,0.0
2017,Тернопільська,,,,,0.5
2017,Харківська,,,,,0.7
2017,Херсонська,,,,,2.9
2017,Хмельницька,,,,,1.0
2017,Черкаська,,,,,3.6
2017,Чернівецька,,,,,2.6
2017,Чернігівська,,,,,2.8
2017,м. Київ,,,,,3.8
2017,м. Севастополь,,,,,
2018,,до 15 років,,,,0.2
2018,,15–17 років,,,,0.1
2018,,18–24 роки,,,,0.7
2018,,25–35 років,,,,1.6
2018,,36–59 років,,,,3.4
2018,,60–74 роки,,,,1.4
2018,,75 років і старше,,,,0.2
2018,,,жінки,,,2.4
2018,,,чоловіки,,,1.4
2018,,,,міська,,2.1
2018,,,,сільська,,1.5
2018,,,,,перша (нижча),1.1
2018,,,,,друга,0.8
2018,,,,,третя,0.2
2018,,,,,четверта,0.7
2018,,,,,п'ята,2.0
2018,,,,,шоста,1.9
2018,,,,,сьома,1.5
2018,,,,,восьма,1.8
2018,,,,,дев'ята,3.3
2018,,,,,десята (вища),4.6
2018,,,,,,1.9
2018,Автономна Республіка Крим,,,,,
2018,Вінницька,,,,,3.1
2018,Волинська,,,,,0.7
2018,Дніпропетровська,,,,,1.6
2018,Донецька,,,,,1.1
2018,Житомирська,,,,,6.6
2018,Закарпатська,,,,,1.0
2018,Запорізька,,,,,2.0
2018,Івано-Франківська,,,,,0.0
2018,Київська,,,,,3.1
2018,Кіровоградська,,,,,0.0
2018,Луганська,,,,,1.4
2018,Львівська,,,,,0.3
2018,Миколаївська,,,,,0.5
2018,Одеська,,,,,1.6
2018,Полтавська,,,,,0.9
2018,Рівненська,,,,,2.9
2018,Сумська,,,,,0.2
2018,Тернопільська,,,,,2.0
2018,Харківська,,,,,1.2
2018,Херсонська,,,,,0.9
2018,Хмельницька,,,,,2.1
2018,Черкаська,,,,,1.2
2018,Чернівецька,,,,,4.7
2018,Чернігівська,,,,,6.9
2018,м. Київ,,,,,3.8
2018,м. Севастополь,,,,,
2019,,до 15 років,,,,0.0
2019,,15–17 років,,,,0.0
2019,,18–24 роки,,,,0.9
2019,,25–35 років,,,,2.7
2019,,36–59 років,,,,3.9
2019,,60–74 роки,,,,2.1
2019,,75 років і старше,,,,1.4
2019,,,жінки,,,2.9
2019,,,чоловіки,,,2.0
2019,,,,міська,,2.7
2019,,,,сільська,,1.7
2019,,,,,перша (нижча),0.6
2019,,,,,друга,0.1
2019,,,,,третя,1.2
2019,,,,,четверта,1.4
2019,,,,,п'ята,0.6
2019,,,,,шоста,2.0
2019,,,,,сьома,2.2
2019,,,,,восьма,3.1
2019,,,,,дев'ята,4.2
2019,,,,,десята (вища),6.9
2019,,,,,,2.5
2019,Автономна Республіка Крим,,,,,
2019,Вінницька,,,,,1.7
2019,Волинська,,,,,1.5
2019,Дніпропетровська,,,,,5.0
2019,Донецька,,,,,3.5
2019,Житомирська,,,,,2.2
2019,Закарпатська,,,,,1.3
2019,Запорізька,,,,,1.8
2019,Івано-Франківська,,,,,2.6
2019,Київська,,,,,0.0
2019,Кіровоградська,,,,,0.5
2019,Луганська,,,,,4.6
2019,Львівська,,,,,0.8
2019,Миколаївська,,,,,2.0
2019,Одеська,,,,,1.8
2019,Полтавська,,,,,0.9
2019,Рівненська,,,,,0.3
2019,Сумська,,,,,0.7
2019,Тернопільська,,,,,3.6
2019,Харківська,,,,,1.7
2019,Херсонська,,,,,4.2
2019,Хмельницька,,,,,0.8
2019,Черкаська,,,,,2.0
2019,Чернівецька,,,,,4.7
2019,Чернігівська,,,,,4.1
2019,м. Київ,,,,,4.5
2019,м. Севастополь,,,,,
2020,,до 15 років,,,,0.0
2020,,15–17 років,,,,0.7
2020,,18–24 роки,,,,2.4
2020,,25–35 років,,,,4.1
2020,,36–59 років,,,,4.6
2020,,60–74 роки,,,,3.2
2020,,75 років і старше,,,,5.8
2020,,,жінки,,,3.6
2020,,,чоловіки,,,3.1
2020,,,,міська,,3.7
2020,,,,сільська,,2.4
2020,,,,,перша (нижча),0.7
2020,,,,,друга,1.2
2020,,,,,третя,2.8
2020,,,,,четверта,3.0
2020,,,,,п'ята,3.1
2020,,,,,шоста,4.9
2020,,,,,сьома,1.9
2020,,,,,восьма,4.3
2020,,,,,дев'ята,2.9
2020,,,,,десята (вища),7.5
2020,,,,,,3.3
2020,Автономна Республіка Крим,,,,,
2020,Вінницька,,,,,4.4
2020,Волинська,,,,,1.5
2020,Дніпропетровська,,,,,4.0
2020,Донецька,,,,,6.6
2020,Житомирська,,,,,4.6
2020,Закарпатська,,,,,0.0
2020,Запорізька,,,,,1.4
2020,Івано-Франківська,,,,,2.9
2020,Київська,,,,,1.1
2020,Кіровоградська,,,,,2.0
2020,Луганська,,,,,4.6
2020,Львівська,,,,,2.6
2020,Миколаївська,,,,,2.7
2020,Одеська,,,,,6.7
2020,Полтавська,,,,,1.6
2020,Рівненська,,,,,0.8
2020,Сумська,,,,,0.1
2020,Тернопільська,,,,,3.7
2020,Харківська,,,,,2.4
2020,Херсонська,,,,,3.4
2020,Хмельницька,,,,,3.0
2020,Черкаська,,,,,3.9
2020,Чернівецька,,,,,4.6
2020,Чернігівська,,,,,1.5
2020,м. Київ,,,,,5.8
2020,м. Севастополь,,,,,
2021,,до 15 років,,,,0.0
2021,,15–17 років,,,,0.7
2021,,18–24 роки,,,,3.1
2021,,25–35 років,,,,7.1
2021,,36–59 років,,,,5.7
2021,,60–74 роки,,,,2.6
2021,,75 років і старше,,,,0.0
2021,,,жінки,,,4.7
2021,,,чоловіки,,,4.0
2021,,,,міська,,5.3
2021,,,,сільська,,2.2
2021,,,,,перша (нижча),1.3
2021,,,,,друга,3.1
2021,,,,,третя,1.5
2021,,,,,четверта,2.1
2021,,,,,п'ята,2.3
2021,,,,,шоста,4.1
2021,,,,,сьома,4.5
2021,,,,,восьма,4.6
2021,,,,,дев'ята,7.7
2021,,,,,десята (вища),10.5
2021,,,,,,4.3
2021,Автономна Республіка Крим,,,,,
2021,Вінницька,,,,,4.2
2021,Волинська,,,,,3.2
2021,Дніпропетровська,,,,,6.7
2021,Донецька,,,,,2.6
2021,Житомирська,,,,,5.7
2021,Закарпатська,,,,,1.4
2021,Запорізька,,,,,2.4
2021,Івано-Франківська,,,,,0.7
2021,Київська,,,,,5.7
2021,Кіровоградська,,,,,0.5
2021,Луганська,,,,,5.6
2021,Львівська,,,,,5.0
2021,Миколаївська,,,,,3.8
2021,Одеська,,,,,8.7
2021,Полтавська,,,,,1.7
2021,Рівненська,,,,,0.2
2021,Сумська,,,,,0.0
2021,Тернопільська,,,,,1.0
2021,Харківська,,,,,4.8
2021,Херсонська,,,,,1.3
2021,Хмельницька,,,,,4.5
2021,Черкаська,,,,,3.0
2021,Чернівецька,,,,,5.4
2021,Чернігівська,,,,,0.8
2021,м. Київ,,,,,9.6
2021,м. Севастополь,,,,,
2022,,до 15 років,,,,
2022,,15–17 років,,,,
2022,,18–24 роки,,,,
2022,,25–35 років,,,,
2022,,36–59 років,,,,
2022,,60–74 роки,,,,
2022,,75 років і старше,,,,
2022,,,жінки,,,
2022,,,чоловіки,,,
2022,,,,міська,,
2022,,,,сільська,,
2022,,,,,перша (нижча),
2022,,,,,друга,
2022,,,,,третя,
2022,,,,,четверта,
2022,,,,,п'ята,
2022,,,,,шоста,
2022,,,,,сьома,
2022,,,,,восьма,
2022,,,,,дев'ята,
2022,,,,,десята (вища),
2022,,,,,,
2022,Автономна Республіка Крим,,,,,
2022,Вінницька,,,,,
2022,Волинська,,,,,
2022,Дніпропетровська,,,,,
2022,Донецька,,,,,
2022,Житомирська,,,,,
2022,Закарпатська,,,,,
2022,Запорізька,,,,,
2022,Івано-Франківська,,,,,
2022,Київська,,,,,
2022,Кіровоградська,,,,,
2022,Луганська,,,,,
2022,Львівська,,,,,
2022,Миколаївська,,,,,
2022,Одеська,,,,,
2022,Полтавська,,,,,
2022,Рівненська,,,,,
2022,Сумська,,,,,
2022,Тернопільська,,,,,
2022,Харківська,,,,,
2022,Херсонська,,,,,
2022,Хмельницька,,,,,
2022,Черкаська,,,,,
2022,Чернівецька,,,,,
2022,Чернігівська,,,,,
2022,м. Київ,,,,,
2022,м. Севастополь,,,,,
2023,,до 15 років,,,,
2023,,15–17 років,,,,
2023,,18–24 роки,,,,
2023,,25–35 років,,,,
2023,,36–59 років,,,,
2023,,60–74 роки,,,,
2023,,75 років і старше,,,,
2023,,,жінки,,,
2023,,,чоловіки,,,
2023,,,,міська,,
2023,,,,сільська,,
2023,,,,,перша (нижча),
2023,,,,,друга,
2023,,,,,третя,
2023,,,,,четверта,
2023,,,,,п'ята,
2023,,,,,шоста,
2023,,,,,сьома,
2023,,,,,восьма,
2023,,,,,дев'ята,
2023,,,,,десята (вища),
2023,,,,,,
2023,Автономна Республіка Крим,,,,,
2023,Вінницька,,,,,
2023,Волинська,,,,,
2023,Дніпропетровська,,,,,
2023,Донецька,,,,,
2023,Житомирська,,,,,
2023,Закарпатська,,,,,
2023,Запорізька,,,,,
2023,Івано-Франківська,,,,,
2023,Київська,,,,,
2023,Кіровоградська,,,,,
2023,Луганська,,,,,
2023,Львівська,,,,,
2023,Миколаївська,,,,,
2023,Одеська,,,,,
2023,Полтавська,,,,,
2023,Рівненська,,,,,
2023,Сумська,,,,,
2023,Тернопільська,,,,,
2023,Харківська,,,,,
2023,Херсонська,,,,,
2023,Хмельницька,,,,,
2023,Черкаська,,,,,
2023,Чернівецька,,,,,
2023,Чернігівська,,,,,
2023,м. Київ,,,,,
2023,м. Севастополь,,,,,
2024,,до 15 років,,,,
2024,,15–17 років,,,,
2024,,18–24 роки,,,,
2024,,25–35 років,,,,
2024,,36–59 років,,,,
2024,,60–74 роки,,,,
2024,,75 років і старше,,,,
2024,,,жінки,,,
2024,,,чоловіки,,,
2024,,,,міська,,
2024,,,,сільська,,
2024,,,,,перша (нижча),
2024,,,,,друга,
2024,,,,,третя,
2024,,,,,четверта,
2024,,,,,п'ята,
2024,,,,,шоста,
2024,,,,,сьома,
2024,,,,,восьма,
2024,,,,,дев'ята,
2024,,,,,десята (вища),
2024,,,,,,
2024,Автономна Республіка Крим,,,,,
2024,Вінницька,,,,,
2024,Волинська,,,,,
2024,Дніпропетровська,,,,,
2024,Донецька,,,,,
2024,Житомирська,,,,,
2024,Закарпатська,,,,,
2024,Запорізька,,,,,
2024,Івано-Франківська,,,,,
2024,Київська,,,,,
2024,Кіровоградська,,,,,
2024,Луганська,,,,,
2024,Львівська,,,,,
2024,Миколаївська,,,,,
2024,Одеська,,,,,
2024,Полтавська,,,,,
2024,Рівненська,,,,,
2024,Сумська,,,,,
2024,Тернопільська,,,,,
2024,Харківська,,,,,
2024,Херсонська,,,,,
2024,Хмельницька,,,,,
2024,Черкаська,,,,,
2024,Чернівецька,,,,,
2024,Чернігівська,,,,,
2024,м. Київ,,,,,
2024,м. Севастополь,,,,,
