Year,Вік,Стать,Місцевість проживання,Value
2016,,,,
2017,,,,
2018,,,,0.0
2019,,,,57.4
2020,,,,69.8
2021,,,,74.8
2022,,,,79.6
2023,,,,79.1
2024,,,,78.4
2025,,,,76.5
2016,,жінки,,
2017,,жінки,,
2018,,жінки,,0.0
2019,,жінки,,60.3
2020,,жінки,,72.6
2021,,жінки,,77.2
2022,,жінки,,81.2
2023,,жінки,,80.5
2024,,жінки,,79.7
2025,,жінки,,77.8
2016,,чоловіки,,
2017,,чоловіки,,
2018,,чоловіки,,0.0
2019,,чоловіки,,54.1
2020,,чоловіки,,66.6
2021,,чоловіки,,72.1
2022,,чоловіки,,77.7
2023,,чоловіки,,77.6
2024,,чоловіки,,76.9
2025,,чоловіки,,75.0
2019,,,,77.7
2020,,,,88.7
2021,,,,92.3
2022,,,,93.0
2023,,,,84.1
2024,,,,76.0
2025,,,,68.1
2019,,,,70.6
2020,,,,83.8
2021,,,,89.5
2022,,,,91.5
2023,,,,91.2
2024,,,,90.1
2025,,,,87.1
2019,,,,46.5
2020,,,,59.7
2021,,,,65.9
2022,,,,74.5
2023,,,,73.3
2024,,,,71.2
2016,40 - 64 роки,,,
2017,40 - 64 роки,,,
2018,40 - 64 роки,,,0.0
2019,40 - 64 роки,,,55.7
2020,40 - 64 роки,,,68.3
2021,40 - 64 роки,,,72.7
2022,40 - 64 роки,,,78.2
2023,40 - 64 роки,,,78.3
2024,40 - 64 роки,,,78.4
2025,40 - 64 роки,,,77.3
2016,65 років,,,
2017,65 років,,,
2018,65 років,,,0.1
2019,65 років,,,64.2
2020,65 років,,,74.2
2021,65 років,,,78.2
2022,65 років,,,78.3
2023,65 років,,,79.8
2024,65 років,,,82.2
2025,65 років,,,83.2
2016,,,міська,
2017,,,міська,
2018,,,міська,0.1
2019,,,міська,64.9
2020,,,міська,79.5
2021,,,міська,85.7
2022,,,міська,92.5
2023,,,міська,91.9
2024,,,міська,91.1
2025,,,міська,89.0
2016,,,сільська,
2017,,,сільська,
2018,,,сільська,0.0
2019,,,сільська,40.6
2020,,,сільська,48.1
2021,,,сільська,50.2
2022,,,сільська,50.4
2023,,,сільська,50.2
2024,,,сільська,49.6
2025,,,сільська,48.2
2018,,,,
2019,,,,
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2025,,,,
