Year,Вік,Стать,Місцевість проживання,Домогосподарства,Value
2015,,,,,9.1
2016,,,,,7.7
2017,,,,,6.9
2018,,,,,4.5
2019,,,,,4.8
2020,,,,,5.7
2021,,,,,3.9
2022,,,,,
2023,,,,,
2024,,,,,
2015,до 18 років,,,,12.6
2016,до 18 років,,,,10.4
2017,до 18 років,,,,9.2
2018,до 18 років,,,,6.3
2019,до 18 років,,,,6.8
2020,до 18 років,,,,6.7
2021,до 18 років,,,,5.0
2022,до 18 років,,,,
2023,до 18 років,,,,
2024,до 18 років,,,,
2015,18 – 34 роки,,,,9.8
2016,18 – 34 роки,,,,7.8
2017,18 – 34 роки,,,,7.1
2018,18 – 34 роки,,,,5.5
2019,18 – 34 роки,,,,4.3
2020,18 – 34 роки,,,,11.2
2021,18 – 34 роки,,,,3.5
2022,18 – 34 роки,,,,
2023,18 – 34 роки,,,,
2024,18 – 34 роки,,,,
2015,35 – 59 років,,,,7.7
2016,35 – 59 років,,,,6.8
2017,35 – 59 років,,,,6.0
2018,35 – 59 років,,,,3.8
2019,35 – 59 років,,,,4.4
2020,35 – 59 років,,,,7.6
2021,35 – 59 років,,,,3.8
2022,35 – 59 років,,,,
2023,35 – 59 років,,,,
2024,35 – 59 років,,,,
2015,60 років і старші,,,,7.2
2016,60 років і старші,,,,6.6
2017,60 років і старші,,,,5.8
2018,60 років і старші,,,,2.7
2019,60 років і старші,,,,4.1
2020,60 років і старші,,,,5.6
2021,60 років і старші,,,,3.8
2022,60 років і старші,,,,
2023,60 років і старші,,,,
2024,60 років і старші,,,,
2015,,жінки,,,9.1
2016,,жінки,,,7.4
2017,,жінки,,,6.8
2018,,жінки,,,4.3
2019,,жінки,,,4.6
2020,,жінки,,,6.2
2021,,жінки,,,3.9
2022,,жінки,,,
2023,,жінки,,,
2024,,жінки,,,
2015,,чоловіки,,,9.1
2016,,чоловіки,,,8.0
2017,,чоловіки,,,7.0
2018,,чоловіки,,,4.6
2019,,чоловіки,,,4.9
2020,,чоловіки,,,5.2
2021,,чоловіки,,,3.9
2022,,чоловіки,,,
2023,,чоловіки,,,
2024,,чоловіки,,,
2015,,,міська,,7.1
2016,,,міська,,5.8
2017,,,міська,,5.0
2018,,,міська,,3.0
2019,,,міська,,3.9
2020,,,міська,,5.0
2021,,,міська,,3.4
2022,,,міська,,
2023,,,міська,,
2024,,,міська,,
2015,,,сільська,,13.0
2016,,,сільська,,11.4
2017,,,сільська,,10.5
2018,,,сільська,,7.3
2019,,,сільська,,6.5
2020,,,сільська,,7.2
2021,,,сільська,,5.0
2022,,,сільська,,
2023,,,сільська,,
2024,,,сільська,,
2015,,,,домогосподарства з дітьми,12.5
2016,,,,домогосподарства з дітьми,9.8
2017,,,,домогосподарства з дітьми,8.8
2018,,,,домогосподарства з дітьми,5.7
2019,,,,домогосподарства з дітьми,6.2
2020,,,,домогосподарства з дітьми,6.9
2021,,,,домогосподарства з дітьми,4.8
2022,,,,домогосподарства з дітьми,
2023,,,,домогосподарства з дітьми,
2024,,,,домогосподарства з дітьми,
2015,,,,домогосподарства без дітей,5.1
2016,,,,домогосподарства без дітей,5.2
2017,,,,домогосподарства без дітей,4.6
2018,,,,домогосподарства без дітей,3.1
2019,,,,домогосподарства без дітей,3.0
2020,,,,домогосподарства без дітей,4.3
2021,,,,домогосподарства без дітей,3.0
2022,,,,домогосподарства без дітей,
2023,,,,домогосподарства без дітей,
2024,,,,домогосподарства без дітей,
