Year,за формами реабілітаційної допомоги,Value
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
2021,,
2022,,
2023,,34.7
2024,,44.1
2015,амбулаторна,
2016,амбулаторна,
2017,амбулаторна,
2018,амбулаторна,
2019,амбулаторна,
2020,амбулаторна,
2021,амбулаторна,
2022,амбулаторна,
2023,амбулаторна,33.8
2024,амбулаторна,41.3
2015,стаціонарна,
2016,стаціонарна,
2017,стаціонарна,
2018,стаціонарна,
2019,стаціонарна,
2020,стаціонарна,
2021,стаціонарна,
2022,стаціонарна,
2023,стаціонарна,26.5
2024,стаціонарна,34.5
