Year,Вік,Стать,Місцевість проживання,by frequency of use,за метою користування,Область,Value
2022,,,,,"читання/скачування газет, журналів у режимі онлайн",,
2023,,,,,"читання/скачування газет, журналів у режимі онлайн",,
2024,,,,,"читання/скачування газет, журналів у режимі онлайн",,
2015,,,,,"скачування фільмів, зображень, музики; перегляд телебачення чи відео; або прослуховування радіо чи музики; гра у відео - чи комп'ютерні ігри або їх скачування",,
2016,,,,,"скачування фільмів, зображень, музики; перегляд телебачення чи відео; або прослуховування радіо чи музики; гра у відео - чи комп'ютерні ігри або їх скачування",,
2017,,,,,"скачування фільмів, зображень, музики; перегляд телебачення чи відео; або прослуховування радіо чи музики; гра у відео - чи комп'ютерні ігри або їх скачування",,
2018,,,,,"скачування фільмів, зображень, музики; перегляд телебачення чи відео; або прослуховування радіо чи музики; гра у відео - чи комп'ютерні ігри або їх скачування",,
2019,,,,,"скачування фільмів, зображень, музики; перегляд телебачення чи відео; або прослуховування радіо чи музики; гра у відео - чи комп'ютерні ігри або їх скачування",,
2020,,,,,"скачування фільмів, зображень, музики; перегляд телебачення чи відео; або прослуховування радіо чи музики; гра у відео - чи комп'ютерні ігри або їх скачування",,68.2
2021,,,,,"скачування фільмів, зображень, музики; перегляд телебачення чи відео; або прослуховування радіо чи музики; гра у відео - чи комп'ютерні ігри або їх скачування",,69.2
2022,,,,,"скачування фільмів, зображень, музики; перегляд телебачення чи відео; або прослуховування радіо чи музики; гра у відео - чи комп'ютерні ігри або їх скачування",,
2023,,,,,"скачування фільмів, зображень, музики; перегляд телебачення чи відео; або прослуховування радіо чи музики; гра у відео - чи комп'ютерні ігри або їх скачування",,
2024,,,,,"скачування фільмів, зображень, музики; перегляд телебачення чи відео; або прослуховування радіо чи музики; гра у відео - чи комп'ютерні ігри або їх скачування",,
2015,,,,,"участь у соціальних мережах, спілкування (доступ до сайтів, чатів, блогів або обговорення онлайн)",,
2016,,,,,"участь у соціальних мережах, спілкування (доступ до сайтів, чатів, блогів або обговорення онлайн)",,
