Year,Область,Категорія,Value
2015,,,0.227
2015,,міська,0.232
2015,,сільська,0.215
2015,Автономна Республіка Крим,,
2015,Вінницька,,0.252
2015,Волинська,,0.189
2015,Дніпропетровська,,0.226
2015,Донецька,,0.233
2015,Житомирська,,0.236
2015,Закарпатська,,0.257
2015,Запорізька,,0.206
2015,Івано-Франківська,,0.153
2015,Київська,,0.173
2015,Кіровоградська,,0.226
2015,Луганська,,0.237
2015,Львівська,,0.208
2015,Миколаївська,,0.222
2015,Одеська,,0.249
2015,Полтавська,,0.221
2015,Рівненська,,0.195
2015,Сумська,,0.197
2015,Тернопільська,,0.187
2015,Харківська,,0.211
2015,Херсонська,,0.19
2015,Хмельницька,,0.206
2015,Черкаська,,0.204
2015,Чернівецька,,0.209
2015,Чернігівська,,0.183
2015,м. Київ,,0.26
2015,м. Севастополь,,
2016,,,0.22
2016,,міська,0.226
2016,,сільська,0.205
2016,Автономна Республіка Крим,,
2016,Вінницька,,0.177
2016,Волинська,,0.195
2016,Дніпропетровська,,0.238
2016,Донецька,,0.205
2016,Житомирська,,0.207
2016,Закарпатська,,0.194
2016,Запорізька,,0.199
2016,Івано-Франківська,,0.148
2016,Київська,,0.201
2016,Кіровоградська,,0.251
2016,Луганська,,0.21
2016,Львівська,,0.199
2016,Миколаївська,,0.168
2016,Одеська,,0.218
2016,Полтавська,,0.21
2016,Рівненська,,0.189
2016,Сумська,,0.195
2016,Тернопільська,,0.208
2016,Харківська,,0.182
2016,Херсонська,,0.233
2016,Хмельницька,,0.212
2016,Черкаська,,0.189
2016,Чернівецька,,0.19
2016,Чернігівська,,0.193
2016,м. Київ,,0.291
2016,м. Севастополь,,
2017,,,0.232
2017,,міська,0.235
2017,,сільська,0.22
2017,Автономна Республіка Крим,,
2017,Вінницька,,0.23
2017,Волинська,,0.136
2017,Дніпропетровська,,0.226
2017,Донецька,,0.249
2017,Житомирська,,0.228
2017,Закарпатська,,0.179
2017,Запорізька,,0.231
2017,Івано-Франківська,,0.197
2017,Київська,,0.205
2017,Кіровоградська,,0.229
2017,Луганська,,0.205
2017,Львівська,,0.208
2017,Миколаївська,,0.21
2017,Одеська,,0.242
