Year,Види економічної діяльності,Річкові басейни,Область,Value
2015,,,,875.1
2016,,,,698.3
2017,,,,997.3
2018,,,,952.0
2019,,,,737.2
2020,,,,518.351
2021,,,,543.093
2022,,,,374.027
2023,,,,375.647
2024,,,,328.621
2015,,,Вінницька,0.617
2016,,,Вінницька,0.046
2017,,,Вінницька,0.833
2018,,,Вінницька,0.988
2019,,,Вінницька,0.672
2020,,,Вінницька,0.133
2021,,,Вінницька,0.814
2022,,,Вінницька,0.52
2023,,,Вінницька,0.423
2024,,,Вінницька,0.551
2015,,,Волинська,0.327
2016,,,Волинська,0.326
2017,,,Волинська,0.106
2018,,,Волинська,0.428
2019,,,Волинська,0.472
2020,,,Волинська,0.423
2021,,,Волинська,0.485
2022,,,Волинська,
2023,,,Волинська,0.046
2024,,,Волинська,
2015,,,Дніпропетровська,266.6
2016,,,Дніпропетровська,243.8
2017,,,Дніпропетровська,230.3
2018,,,Дніпропетровська,233.9
2019,,,Дніпропетровська,200.0
2020,,,Дніпропетровська,127.731
2021,,,Дніпропетровська,120.326
2022,,,Дніпропетровська,110.678
2023,,,Дніпропетровська,106.636
2024,,,Дніпропетровська,106.493
2015,,,Донецька,263.7
2016,,,Донецька,180.2
2017,,,Донецька,199.4
2018,,,Донецька,185.6
2019,,,Донецька,45.33
2020,,,Донецька,76.398
2021,,,Донецька,90.022
2022,,,Донецька,36.886
2023,,,Донецька,33.315
2024,,,Донецька,9.433
2015,,,Житомирська,2.565
2016,,,Житомирська,2.384
2017,,,Житомирська,1.994
2018,,,Житомирська,2.066
2019,,,Житомирська,1.894
2020,,,Житомирська,1.903
2021,,,Житомирська,2.109
2022,,,Житомирська,1.289
2023,,,Житомирська,1.301
2024,,,Житомирська,2.024
2015,,,Закарпатська,2.434
2016,,,Закарпатська,4.028
2017,,,Закарпатська,4.236
2018,,,Закарпатська,3.567
2019,,,Закарпатська,2.63
2020,,,Закарпатська,3.532
2021,,,Закарпатська,3.877
2022,,,Закарпатська,3.733
2023,,,Закарпатська,5.907
2024,,,Закарпатська,3.611
2015,,,Запорізька,70.04
2016,,,Запорізька,64.3
2017,,,Запорізька,64.17
2018,,,Запорізька,65.95
2019,,,Запорізька,11.04
2020,,,Запорізька,11.597
2021,,,Запорізька,7.116
2022,,,Запорізька,1.093
2023,,,Запорізька,1.285
2024,,,Запорізька,0.206
2015,,,Івано-Франківська,0.649
2016,,,Івано-Франківська,1.035
2017,,,Івано-Франківська,1.103
2018,,,Івано-Франківська,0.56
2019,,,Івано-Франківська,0.604
2020,,,Івано-Франківська,1.34
2021,,,Івано-Франківська,1.307
2022,,,Івано-Франківська,0.198
2023,,,Івано-Франківська,1.121
2024,,,Івано-Франківська,0.501
2015,,,Київська,3.727
2016,,,Київська,4.745
2017,,,Київська,1.958
2018,,,Київська,2.317
2019,,,Київська,2.284
2020,,,Київська,2.202
2021,,,Київська,1.165
2022,,,Київська,1.677
2023,,,Київська,0.699
2024,,,Київська,1.19
