Year,Область,Value
2015,,
2015,Автономна Республіка Крим,
2015,Вінницька,
2015,Волинська,
2015,Дніпропетровська,
2015,Донецька,
2015,Житомирська,
2015,Закарпатська,
2015,Запорізька,
2015,Івано-Франківська,
2015,Київська,
2015,Кіровоградська,
2015,Луганська,
2015,Львівська,
2015,Миколаївська,
2015,Одеська,
2015,Полтавська,
2015,Рівненська,
2015,Сумська,
2015,Тернопільська,
2015,Харківська,
2015,Херсонська,
2015,Хмельницька,
2015,Черкаська,
2015,Чернівецька,
2015,Чернігівська,
2015,м. Київ,
2015,м. Севастополь,
2016,,
2016,Автономна Республіка Крим,
2016,Вінницька,
2016,Волинська,
2016,Дніпропетровська,
2016,Донецька,
2016,Житомирська,
2016,Закарпатська,
2016,Запорізька,
2016,Івано-Франківська,
2016,Київська,
2016,Кіровоградська,
2016,Луганська,
2016,Львівська,
2016,Миколаївська,
2016,Одеська,
2016,Полтавська,
2016,Рівненська,
2016,Сумська,
2016,Тернопільська,
2016,Харківська,
2016,Херсонська,
2016,Хмельницька,
2016,Черкаська,
2016,Чернівецька,
2016,Чернігівська,
2016,м. Київ,
2016,м. Севастополь,
2017,,
2017,Автономна Республіка Крим,
2017,Вінницька,
2017,Волинська,
2017,Дніпропетровська,
2017,Донецька,
2017,Житомирська,
2017,Закарпатська,
2017,Запорізька,
2017,Івано-Франківська,
2017,Київська,
2017,Кіровоградська,
2017,Луганська,
2017,Львівська,
2017,Миколаївська,
2017,Одеська,
2017,Полтавська,
2017,Рівненська,
2017,Сумська,
2017,Тернопільська,
2017,Харківська,
2017,Херсонська,
2017,Хмельницька,
2017,Черкаська,
2017,Чернівецька,
2017,Чернігівська,
2017,м. Київ,
2017,м. Севастополь,
2018,,
2018,Автономна Республіка Крим,
2018,Вінницька,
2018,Волинська,
2018,Дніпропетровська,
2018,Донецька,
2018,Житомирська,
2018,Закарпатська,
2018,Запорізька,
2018,Івано-Франківська,
2018,Київська,
2018,Кіровоградська,
2018,Луганська,
2018,Львівська,
2018,Миколаївська,
2018,Одеська,
2018,Полтавська,
2018,Рівненська,
2018,Сумська,
2018,Тернопільська,
2018,Харківська,
2018,Херсонська,
2018,Хмельницька,
2018,Черкаська,
2018,Чернівецька,
2018,Чернігівська,
2018,м. Київ,
2018,м. Севастополь,
2019,,
2019,Автономна Республіка Крим,
2019,Вінницька,
2019,Волинська,
2019,Дніпропетровська,
2019,Донецька,
2019,Житомирська,
2019,Закарпатська,
2019,Запорізька,
2019,Івано-Франківська,
2019,Київська,
2019,Кіровоградська,
2019,Луганська,
2019,Львівська,
2019,Миколаївська,
2019,Одеська,
2019,Полтавська,
2019,Рівненська,
2019,Сумська,
2019,Тернопільська,
2019,Харківська,
2019,Херсонська,
2019,Хмельницька,
2019,Черкаська,
2019,Чернівецька,
2019,Чернігівська,
2019,м. Київ,
2019,м. Севастополь,
2020,,
2020,Автономна Республіка Крим,
2020,Вінницька,
2020,Волинська,
2020,Дніпропетровська,
2020,Донецька,
2020,Житомирська,
2020,Закарпатська,
2020,Запорізька,
2020,Івано-Франківська,
2020,Київська,
2020,Кіровоградська,
2020,Луганська,
2020,Львівська,
2020,Миколаївська,
2020,Одеська,
2020,Полтавська,
2020,Рівненська,
2020,Сумська,
2020,Тернопільська,
2020,Харківська,
2020,Херсонська,
2020,Хмельницька,
2020,Черкаська,
2020,Чернівецька,
2020,Чернігівська,
2020,м. Київ,
2020,м. Севастополь,
2021,,
2021,Автономна Республіка Крим,
2021,Вінницька,
2021,Волинська,
2021,Дніпропетровська,
2021,Донецька,
2021,Житомирська,
2021,Закарпатська,
2021,Запорізька,
2021,Івано-Франківська,
2021,Київська,
2021,Кіровоградська,
2021,Луганська,
2021,Львівська,
2021,Миколаївська,
2021,Одеська,
2021,Полтавська,
2021,Рівненська,
2021,Сумська,
2021,Тернопільська,
2021,Харківська,
2021,Херсонська,
2021,Хмельницька,
2021,Черкаська,
2021,Чернівецька,
2021,Чернігівська,
2021,м. Київ,
2021,м. Севастополь,
2022,,33.23
2022,Автономна Республіка Крим,
2022,Вінницька,85.71
2022,Волинська,100.0
2022,Дніпропетровська,25.58
2022,Донецька,14.81
2022,Житомирська,46.97
2022,Закарпатська,18.75
2022,Запорізька,17.65
2022,Івано-Франківська,4.84
2022,Київська,100.0
2022,Кіровоградська,100.0
2022,Луганська,
2022,Львівська,10.96
2022,Миколаївська,9.62
2022,Одеська,32.97
2022,Полтавська,61.67
2022,Рівненська,9.38
2022,Сумська,23.53
2022,Тернопільська,21.82
2022,Харківська,12.5
2022,Херсонська,
2022,Хмельницька,6.67
2022,Черкаська,7.58
2022,Чернівецька,5.77
2022,Чернігівська,8.77
2022,м. Київ,100.0
2022,м. Севастополь,
2023,,49.47
2023,Автономна Республіка Крим,
2023,Вінницька,88.89
2023,Волинська,100.0
2023,Дніпропетровська,32.56
2023,Донецька,74.07
2023,Житомирська,59.09
2023,Закарпатська,39.06
2023,Запорізька,17.65
2023,Івано-Франківська,20.97
2023,Київська,100.0
2023,Кіровоградська,100.0
2023,Луганська,
2023,Львівська,21.92
2023,Миколаївська,28.85
2023,Одеська,39.56
2023,Полтавська,76.67
2023,Рівненська,75.46
2023,Сумська,29.41
2023,Тернопільська,41.82
2023,Харківська,42.86
2023,Херсонська,
2023,Хмельницька,66.67
2023,Черкаська,24.24
2023,Чернівецька,11.54
2023,Чернігівська,10.53
2023,м. Київ,100.0
2023,м. Севастополь,
2024,,71.8
2024,Автономна Республіка Крим,
2024,Вінницька,88.89
2024,Волинська,100.0
2024,Дніпропетровська,79.07
2024,Донецька,81.48
2024,Житомирська,78.79
2024,Закарпатська,71.88
2024,Запорізька,70.59
2024,Івано-Франківська,56.45
2024,Київська,100.0
2024,Кіровоградська,100.0
2024,Луганська,
2024,Львівська,50.68
2024,Миколаївська,55.77
2024,Одеська,75.82
2024,Полтавська,88.33
2024,Рівненська,90.63
2024,Сумська,54.9
2024,Тернопільська,56.36
2024,Харківська,83.93
2024,Херсонська,35.29
2024,Хмельницька,80.0
2024,Черкаська,40.91
2024,Чернівецька,53.85
2024,Чернігівська,29.82
2024,м. Київ,100.0
2024,м. Севастополь,
