Year,за причиною смертності,Value
2015,,15.1
2016,,12.6
2017,,9.1
2018,,12.5
2019,,14.9
2020,,18.7
2021,,42.7
2022,,
2023,,
2024,,
2015,direct_obstetric_causes,8.0
2016,direct_obstetric_causes,6.8
2017,direct_obstetric_causes,5.2
2018,direct_obstetric_causes,7.4
2019,direct_obstetric_causes,8.1
2020,direct_obstetric_causes,6.8
2021,direct_obstetric_causes,8.5
2022,direct_obstetric_causes,
2023,direct_obstetric_causes,
2024,direct_obstetric_causes,
2015,indirect_obstetric_causes,7.1
2016,indirect_obstetric_causes,5.8
2017,indirect_obstetric_causes,3.9
2018,indirect_obstetric_causes,5.1
2019,indirect_obstetric_causes,6.8
2020,indirect_obstetric_causes,11.9
2021,indirect_obstetric_causes,34.2
2022,indirect_obstetric_causes,
2023,indirect_obstetric_causes,
2024,indirect_obstetric_causes,
