Year,Область,у розрізі морів,Value
2015,,,147.692
2015,,Азовське море,147.425
2015,,Чорне море,0.267
2015,Україна,,147.692
2015,Автономна Республіка Крим,,
2015,Вінницька,,
2015,Волинська,,
2015,Дніпропетровська,,
2015,Донецька,,141.621
2015,Житомирська,,
2015,Закарпатська,,
2015,Запорізька,,5.772
2015,Івано-Франківська,,
2015,Київська,,
2015,Кіровоградська,,
2015,Луганська,,
2015,Львівська,,
2015,Миколаївська,,0.196
2015,Одеська,,
2015,Полтавська,,
2015,Рівненська,,
2015,Сумська,,
2015,Тернопільська,,
2015,Харківська,,
2015,Херсонська,,0.103
2015,Хмельницька,,
2015,Черкаська,,
2015,Чернівецька,,
2015,Чернігівська,,
2015,м. Київ,,
2015,м. Севастополь,,
2016,,,147.4
2016,,Азовське море,146.5
2016,,Чорне море,0.9
2016,Україна,,147.4
2016,Автономна Республіка Крим,,
2016,Вінницька,,
2016,Волинська,,
2016,Дніпропетровська,,
2016,Донецька,,140.76
2016,Житомирська,,
2016,Закарпатська,,
2016,Запорізька,,5.739
2016,Івано-Франківська,,
2016,Київська,,
2016,Кіровоградська,,
2016,Луганська,,
2016,Львівська,,
2016,Миколаївська,,0.185
2016,Одеська,,
2016,Полтавська,,
2016,Рівненська,,
2016,Сумська,,
2016,Тернопільська,,
2016,Харківська,,
2016,Херсонська,,0.716
2016,Хмельницька,,
2016,Черкаська,,
2016,Чернівецька,,
2016,Чернігівська,,
2016,м. Київ,,
2016,м. Севастополь,,
2017,,,160.5
2017,,Азовське море,159.702
2017,,Чорне море,0.798
2017,Україна,,160.5
2017,Автономна Республіка Крим,,
2017,Вінницька,,
2017,Волинська,,
2017,Дніпропетровська,,
2017,Донецька,,154.0
2017,Житомирська,,
2017,Закарпатська,,
2017,Запорізька,,5.702
2017,Івано-Франківська,,
2017,Київська,,
2017,Кіровоградська,,
2017,Луганська,,
2017,Львівська,,
2017,Миколаївська,,0.239
2017,Одеська,,
2017,Полтавська,,
2017,Рівненська,,
2017,Сумська,,
2017,Тернопільська,,
2017,Харківська,,
2017,Херсонська,,0.559
2017,Хмельницька,,
2017,Черкаська,,
2017,Чернівецька,,
2017,Чернігівська,,
2017,м. Київ,,
2017,м. Севастополь,,
2018,,,146.573
2018,,Азовське море,145.252
2018,,Чорне море,1.321
2018,Україна,,146.573
2018,Автономна Республіка Крим,,
2018,Вінницька,,
2018,Волинська,,
2018,Дніпропетровська,,
2018,Донецька,,139.9
2018,Житомирська,,
2018,Закарпатська,,
2018,Запорізька,,5.352
2018,Івано-Франківська,,
2018,Київська,,
2018,Кіровоградська,,
2018,Луганська,,
2018,Львівська,,
2018,Миколаївська,,0.242
2018,Одеська,,
2018,Полтавська,,
2018,Рівненська,,
2018,Сумська,,
2018,Тернопільська,,
2018,Харківська,,
2018,Херсонська,,1.079
2018,Хмельницька,,
2018,Черкаська,,
2018,Чернівецька,,
2018,Чернігівська,,
2018,м. Київ,,
2018,м. Севастополь,,
2019,,,6.24
2019,,Азовське море,4.856
2019,,Чорне море,1.384
2019,Україна,,6.24
2019,Автономна Республіка Крим,,
2019,Вінницька,,
2019,Волинська,,
2019,Дніпропетровська,,
2019,Донецька,,0.04
2019,Житомирська,,
2019,Закарпатська,,
2019,Запорізька,,4.816
2019,Івано-Франківська,,
2019,Київська,,
2019,Кіровоградська,,
2019,Луганська,,
2019,Львівська,,
2019,Миколаївська,,0.236
2019,Одеська,,0.534
2019,Полтавська,,
2019,Рівненська,,
2019,Сумська,,
2019,Тернопільська,,
2019,Харківська,,
2019,Херсонська,,0.614
2019,Хмельницька,,
2019,Черкаська,,
2019,Чернівецька,,
2019,Чернігівська,,
2019,м. Київ,,
2019,м. Севастополь,,
2020,,,6.309
2020,,Азовське море,5.313
2020,,Чорне море,0.996
2020,Україна,,6.309
2020,Автономна Республіка Крим,,
2020,Вінницька,,
2020,Волинська,,
2020,Дніпропетровська,,
2020,Донецька,,0.107
2020,Житомирська,,
2020,Закарпатська,,
2020,Запорізька,,5.195
2020,Івано-Франківська,,
2020,Київська,,
2020,Кіровоградська,,
2020,Луганська,,
2020,Львівська,,
2020,Миколаївська,,0.267
2020,Одеська,,0.132
2020,Полтавська,,
2020,Рівненська,,
2020,Сумська,,
2020,Тернопільська,,
2020,Харківська,,
2020,Херсонська,,0.608
2020,Хмельницька,,
2020,Черкаська,,
2020,Чернівецька,,
2020,Чернігівська,,
2020,м. Київ,,
2020,м. Севастополь,,
2021,,,6.783
2021,,Азовське море,5.307
2021,,Чорне море,1.476
2021,Україна,,6.783
2021,Автономна Республіка Крим,,
2021,Вінницька,,
2021,Волинська,,
2021,Дніпропетровська,,
2021,Донецька,,0.312
2021,Житомирська,,
2021,Закарпатська,,
2021,Запорізька,,4.994
2021,Івано-Франківська,,
2021,Київська,,
2021,Кіровоградська,,
2021,Луганська,,
2021,Львівська,,
2021,Миколаївська,,0.263
2021,Одеська,,0.632
2021,Полтавська,,
2021,Рівненська,,
2021,Сумська,,
2021,Тернопільська,,
2021,Харківська,,
2021,Херсонська,,0.582
2021,Хмельницька,,
2021,Черкаська,,
2021,Чернівецька,,
2021,Чернігівська,,
2021,м. Київ,,
2021,м. Севастополь,,
2022,,,0.405
2022,,Азовське море,
2022,,Чорне море,0.405
2022,Україна,,0.405
2022,Автономна Республіка Крим,,
2022,Вінницька,,
2022,Волинська,,
2022,Дніпропетровська,,
2022,Донецька,,
2022,Житомирська,,
2022,Закарпатська,,
2022,Запорізька,,
2022,Івано-Франківська,,
2022,Київська,,
2022,Кіровоградська,,
2022,Луганська,,
2022,Львівська,,
2022,Миколаївська,,0.155
2022,Одеська,,0.25
2022,Полтавська,,
2022,Рівненська,,
2022,Сумська,,
2022,Тернопільська,,
2022,Харківська,,
2022,Херсонська,,
2022,Хмельницька,,
2022,Черкаська,,
2022,Чернівецька,,
2022,Чернігівська,,
2022,м. Київ,,
2022,м. Севастополь,,
2023,,,0.488
2023,,Азовське море,
2023,,Чорне море,0.488
2023,Україна,,0.488
2023,Автономна Республіка Крим,,
2023,Вінницька,,
2023,Волинська,,
2023,Дніпропетровська,,
2023,Донецька,,
2023,Житомирська,,
2023,Закарпатська,,
2023,Запорізька,,
2023,Івано-Франківська,,
2023,Київська,,
2023,Кіровоградська,,
2023,Луганська,,
2023,Львівська,,
2023,Миколаївська,,0.146
2023,Одеська,,0.342
2023,Полтавська,,
2023,Рівненська,,
2023,Сумська,,
2023,Тернопільська,,
2023,Харківська,,
2023,Херсонська,,
2023,Хмельницька,,
2023,Черкаська,,
2023,Чернівецька,,
2023,Чернігівська,,
2023,м. Київ,,
2023,м. Севастополь,,
2024,,,0.414
2024,,Азовське море,
2024,,Чорне море,0.414
2024,Україна,,0.414
2024,Автономна Республіка Крим,,
2024,Вінницька,,
2024,Волинська,,
2024,Дніпропетровська,,
2024,Донецька,,
2024,Житомирська,,
2024,Закарпатська,,
2024,Запорізька,,
2024,Івано-Франківська,,
2024,Київська,,
2024,Кіровоградська,,
2024,Луганська,,
2024,Львівська,,
2024,Миколаївська,,0.148
2024,Одеська,,0.266
2024,Полтавська,,
2024,Рівненська,,
2024,Сумська,,
2024,Тернопільська,,
2024,Харківська,,
2024,Херсонська,,
2024,Хмельницька,,
2024,Черкаська,,
2024,Чернівецька,,
2024,Чернігівська,,
2024,м. Київ,,
2024,м. Севастополь,,
