Year,Місцевість проживання,Область,Value
2020,,Харківська,17.4
2021,,Харківська,20.3
2022,,Харківська,12.6
2015,,Херсонська,18.6
2016,,Херсонська,19.4
2017,,Херсонська,20.3
2018,,Херсонська,21.5
2019,,Херсонська,22.4
2020,,Херсонська,20.8
2021,,Херсонська,23.6
2022,,Херсонська,6.4
2015,,Хмельницька,16.1
2016,,Хмельницька,16.9
2017,,Хмельницька,17.7
2018,,Хмельницька,18.9
2019,,Хмельницька,19.7
2020,,Хмельницька,18.3
2021,,Хмельницька,21.0
2022,,Хмельницька,15.1
2015,,Черкаська,15.8
2016,,Черкаська,16.6
2017,,Черкаська,17.3
2018,,Черкаська,18.5
2019,,Черкаська,19.4
2020,,Черкаська,17.9
2021,,Черкаська,20.6
2022,,Черкаська,14.8
2015,,Чернівецька,14.9
2016,,Чернівецька,15.7
2017,,Чернівецька,16.4
2018,,Чернівецька,17.6
2019,,Чернівецька,18.5
2020,,Чернівецька,17.1
2021,,Чернівецька,19.8
2022,,Чернівецька,14.3
2015,,Чернігівська,14.1
2016,,Чернігівська,14.9
2017,,Чернігівська,15.6
2018,,Чернігівська,16.8
2019,,Чернігівська,17.7
2020,,Чернігівська,16.2
2021,,Чернігівська,18.9
2022,,Чернігівська,13.5
2015,,місто Київ,9.6
2015,,Автономна Республіка Крим,
2015,,м. Севастополь,
2016,,місто Київ,10.1
2016,,Автономна Республіка Крим,
2016,,м. Севастополь,
2017,,місто Київ,10.6
2017,,Автономна Республіка Крим,
2017,,м. Севастополь,
2018,,місто Київ,11.4
2018,,Автономна Республіка Крим,
2018,,м. Севастополь,
2019,,місто Київ,12.0
2019,,Автономна Республіка Крим,
2019,,м. Севастополь,12.0
2020,,місто Київ,11.1
2020,,Автономна Республіка Крим,
2020,,м. Севастополь,1.0
2021,,місто Київ,12.8
2021,,Автономна Республіка Крим,
2021,,м. Севастополь,
2022,,місто Київ,9.3
2022,,Автономна Республіка Крим,
2022,,м. Севастополь,9.3
