Year,Region,Age,Gender,group_16,23_educ,group_20,group_21,group_22,Value
2015,,,,,,,,,
2016,,,,,,,,,
2017,,,,,,,,,
2018,,,,,,,,,
2019,,,,,,,,,
2020,,,,,,,,,
2021,,,,,,,,,5.6
2022,,,,,,,,,
2023,,,,,,,,,5.7
2024,,,,,,,,,5.4
2015,Ukraine,,,,,,,,
2016,Ukraine,,,,,,,,
2017,Ukraine,,,,,,,,
2018,Ukraine,,,,,,,,
2019,Ukraine,,,,,,,,
2020,Ukraine,,,,,,,,
2021,Ukraine,,,,,,,,5.6
2022,Ukraine,,,,,,,,
2023,Ukraine,,,,,,,,5.7
2024,Ukraine,,,,,,,,5.4
2015,autonomous_Republic_of_Crimea,,,,,,,,
2016,autonomous_Republic_of_Crimea,,,,,,,,
2017,autonomous_Republic_of_Crimea,,,,,,,,
2018,autonomous_Republic_of_Crimea,,,,,,,,
2019,autonomous_Republic_of_Crimea,,,,,,,,
2020,autonomous_Republic_of_Crimea,,,,,,,,
2021,autonomous_Republic_of_Crimea,,,,,,,,
2022,autonomous_Republic_of_Crimea,,,,,,,,
2023,autonomous_Republic_of_Crimea,,,,,,,,
2024,autonomous_Republic_of_Crimea,,,,,,,,
2015,11_reg_Vinnytsya,,,,,,,,
2016,11_reg_Vinnytsya,,,,,,,,
2017,11_reg_Vinnytsya,,,,,,,,
2018,11_reg_Vinnytsya,,,,,,,,
2019,11_reg_Vinnytsya,,,,,,,,
2020,11_reg_Vinnytsya,,,,,,,,
2021,11_reg_Vinnytsya,,,,,,,,6.0
2022,11_reg_Vinnytsya,,,,,,,,
2023,11_reg_Vinnytsya,,,,,,,,6.0
2024,11_reg_Vinnytsya,,,,,,,,5.0
2015,12_reg_Volyn,,,,,,,,
2016,12_reg_Volyn,,,,,,,,
2017,12_reg_Volyn,,,,,,,,
2018,12_reg_Volyn,,,,,,,,
2019,12_reg_Volyn,,,,,,,,
2020,12_reg_Volyn,,,,,,,,
2021,12_reg_Volyn,,,,,,,,5.0
2022,12_reg_Volyn,,,,,,,,
2023,12_reg_Volyn,,,,,,,,4.5
2024,12_reg_Volyn,,,,,,,,4.8
2015,13_reg_Dnipropetrovsk,,,,,,,,
2016,13_reg_Dnipropetrovsk,,,,,,,,
2017,13_reg_Dnipropetrovsk,,,,,,,,
