Year,Region,By safety,Value
2020,34_reg_Chernihiv,,506
2020,Kyiv_city,,1064
2020,city_Sevastopol,,
2021,,hazardous_waste,15
2021,,non_hazardous_waste,11906
2021,Ukraine,,11921
2021,autonomous_Republic_of_Crimea,,
2021,11_reg_Vinnytsya,,1064
2021,12_reg_Volyn,,483
2021,13_reg_Dnipropetrovsk,,89356
2021,14_reg_Donetsk,,5965
2021,15_reg_Zhytomyr,,379
2021,16_reg_Zakarpattya,,116
2021,17_reg_Zaporizhzhya,,3152
2021,18_reg_Ivano-Frankivsk,,1308
2021,19_reg_Kyiv,,626
2021,20_reg_Kirovohrad,,47964
2021,21_reg_Luhansk,,239
2021,22_reg_Lviv,,734
2021,23_reg_Mykolayiv,,2272
2021,24_reg_Odesa,,178
2021,25_reg_Poltava,,89505
2021,26_reg_Rivne,,652
2021,27_reg_Sumy,,898
2021,28_reg_Ternopil,,523
2021,29_reg_Kharkiv,,648
2021,30_reg_Kherson,,138
2021,31_reg_Khmelnytskiy,,677
2021,32_reg_Cherkasy,,1183
2021,33_reg_Chernivtsi,,204
2021,34_reg_Chernihiv,,609
2021,Kyiv_city,,491
2021,city_Sevastopol,,
2022,,hazardous_waste,
2022,,non_hazardous_waste,
2022,Ukraine,,
2022,autonomous_Republic_of_Crimea,,
2022,11_reg_Vinnytsya,,
2022,12_reg_Volyn,,
2022,13_reg_Dnipropetrovsk,,
2022,14_reg_Donetsk,,
2022,15_reg_Zhytomyr,,
2022,16_reg_Zakarpattya,,
2022,17_reg_Zaporizhzhya,,
2022,18_reg_Ivano-Frankivsk,,
2022,19_reg_Kyiv,,
2022,20_reg_Kirovohrad,,
2022,21_reg_Luhansk,,
2022,22_reg_Lviv,,
2022,23_reg_Mykolayiv,,
2022,24_reg_Odesa,,
2022,25_reg_Poltava,,
2022,26_reg_Rivne,,
2022,27_reg_Sumy,,
2022,28_reg_Ternopil,,
2022,29_reg_Kharkiv,,
2022,30_reg_Kherson,,
2022,31_reg_Khmelnytskiy,,
2022,32_reg_Cherkasy,,
2022,33_reg_Chernivtsi,,
2022,34_reg_Chernihiv,,
2022,Kyiv_city,,
2022,city_Sevastopol,,
2023,,hazardous_waste,
2023,,non_hazardous_waste,
2023,Ukraine,,
2023,autonomous_Republic_of_Crimea,,
2023,11_reg_Vinnytsya,,
2023,12_reg_Volyn,,
2023,13_reg_Dnipropetrovsk,,
2023,14_reg_Donetsk,,
2023,15_reg_Zhytomyr,,
2023,16_reg_Zakarpattya,,
2023,17_reg_Zaporizhzhya,,
2023,18_reg_Ivano-Frankivsk,,
2023,19_reg_Kyiv,,
2023,20_reg_Kirovohrad,,
2023,21_reg_Luhansk,,
2023,22_reg_Lviv,,
2023,23_reg_Mykolayiv,,
2023,24_reg_Odesa,,
2023,25_reg_Poltava,,
2023,26_reg_Rivne,,
2023,27_reg_Sumy,,
2023,28_reg_Ternopil,,
2023,29_reg_Kharkiv,,
2023,30_reg_Kherson,,
2023,31_reg_Khmelnytskiy,,
2023,32_reg_Cherkasy,,
2023,33_reg_Chernivtsi,,
2023,34_reg_Chernihiv,,
2023,Kyiv_city,,
2023,city_Sevastopol,,
2024,,hazardous_waste,
2024,,non_hazardous_waste,
2024,Ukraine,,
2024,autonomous_Republic_of_Crimea,,
2024,11_reg_Vinnytsya,,
2024,12_reg_Volyn,,
2024,13_reg_Dnipropetrovsk,,
2024,14_reg_Donetsk,,
2024,15_reg_Zhytomyr,,
2024,16_reg_Zakarpattya,,
2024,17_reg_Zaporizhzhya,,
2024,18_reg_Ivano-Frankivsk,,
2024,19_reg_Kyiv,,
2024,20_reg_Kirovohrad,,
2024,21_reg_Luhansk,,
2024,22_reg_Lviv,,
2024,23_reg_Mykolayiv,,
2024,24_reg_Odesa,,
2024,25_reg_Poltava,,
2024,26_reg_Rivne,,
2024,27_reg_Sumy,,
2024,28_reg_Ternopil,,
2024,29_reg_Kharkiv,,
2024,30_reg_Kherson,,
2024,31_reg_Khmelnytskiy,,
2024,32_reg_Cherkasy,,
2024,33_reg_Chernivtsi,,
2024,34_reg_Chernihiv,,
2024,Kyiv_city,,
2024,city_Sevastopol,,
