Year,Region,Value
2015,,
2016,,
2017,,
2018,,
2019,,
2020,Ukraine,1.7
2021,Ukraine,1.8
2022,Ukraine,1.9
2023,Ukraine,1.8
2024,Ukraine,1.7
2020,11_reg_Vinnytsya,0.5
2021,11_reg_Vinnytsya,0.6
2022,11_reg_Vinnytsya,0.8
2023,11_reg_Vinnytsya,1.0
2024,11_reg_Vinnytsya,1.0
2020,12_reg_Volyn,0.8
2021,12_reg_Volyn,0.9
2022,12_reg_Volyn,0.9
2023,12_reg_Volyn,0.8
2024,12_reg_Volyn,0.8
2020,13_reg_Dnipropetrovsk,1.5
2021,13_reg_Dnipropetrovsk,2.8
2022,13_reg_Dnipropetrovsk,1.6
2023,13_reg_Dnipropetrovsk,1.5
2024,13_reg_Dnipropetrovsk,1.8
2020,14_reg_Donetsk,3.2
2021,14_reg_Donetsk,3.3
2022,14_reg_Donetsk,3.3
2023,14_reg_Donetsk,3.3
2024,14_reg_Donetsk,2.6
2020,15_reg_Zhytomyr,0.6
2021,15_reg_Zhytomyr,0.7
2022,15_reg_Zhytomyr,1.2
2023,15_reg_Zhytomyr,1.2
2024,15_reg_Zhytomyr,1.0
2020,16_reg_Zakarpattya,0.7
2021,16_reg_Zakarpattya,0.8
2022,16_reg_Zakarpattya,1.1
2023,16_reg_Zakarpattya,1.2
2024,16_reg_Zakarpattya,0.3
2020,17_reg_Zaporizhzhya,1.4
2021,17_reg_Zaporizhzhya,1.5
2022,17_reg_Zaporizhzhya,1.7
2023,17_reg_Zaporizhzhya,1.5
2024,17_reg_Zaporizhzhya,2.9
2020,18_reg_Ivano-Frankivsk,1.0
2021,18_reg_Ivano-Frankivsk,1.0
2022,18_reg_Ivano-Frankivsk,1.4
2023,18_reg_Ivano-Frankivsk,1.4
2024,18_reg_Ivano-Frankivsk,1.5
2020,19_reg_Kyiv,1.2
2021,19_reg_Kyiv,1.4
2022,19_reg_Kyiv,2.2
2023,19_reg_Kyiv,2.2
2024,19_reg_Kyiv,1.5
2020,20_reg_Kirovohrad,1.3
2021,20_reg_Kirovohrad,1.4
2022,20_reg_Kirovohrad,1.5
2023,20_reg_Kirovohrad,1.8
2024,20_reg_Kirovohrad,1.4
2020,21_reg_Luhansk,2.2
2021,21_reg_Luhansk,2.3
2022,21_reg_Luhansk,0.01
2023,21_reg_Luhansk,0.1
2020,22_reg_Lviv,0.9
2021,22_reg_Lviv,0.9
2022,22_reg_Lviv,0.8
2023,22_reg_Lviv,0.0
2024,22_reg_Lviv,0.4
2020,23_reg_Mykolayiv,1.6
2021,23_reg_Mykolayiv,1.4
2022,23_reg_Mykolayiv,1.4
2023,23_reg_Mykolayiv,1.6
2024,23_reg_Mykolayiv,1.6
2020,24_reg_Odesa,2.7
2021,24_reg_Odesa,2.7
2022,24_reg_Odesa,2.9
2023,24_reg_Odesa,2.7
2024,24_reg_Odesa,4.4
2020,25_reg_Poltava,1.0
2021,25_reg_Poltava,1.1
2022,25_reg_Poltava,1.3
2023,25_reg_Poltava,1.4
2024,25_reg_Poltava,2.1
2020,26_reg_Rivne,0.7
2021,26_reg_Rivne,0.9
2022,26_reg_Rivne,1.5
2023,26_reg_Rivne,2.0
2024,26_reg_Rivne,2.4
2020,27_reg_Sumy,0.9
2021,27_reg_Sumy,1.0
2022,27_reg_Sumy,1.2
2023,27_reg_Sumy,1.4
2024,27_reg_Sumy,0.7
2020,28_reg_Ternopil,2.3
2021,28_reg_Ternopil,1.9
2022,28_reg_Ternopil,2.3
2023,28_reg_Ternopil,2.1
2024,28_reg_Ternopil,2.1
2020,29_reg_Kharkiv,1.8
2021,29_reg_Kharkiv,2.1
2022,29_reg_Kharkiv,2.1
2023,29_reg_Kharkiv,2.4
2024,29_reg_Kharkiv,2.3
2020,30_reg_Kherson,1.5
2021,30_reg_Kherson,1.7
2023,30_reg_Kherson,0.8
2024,30_reg_Kherson,1.4
2020,31_reg_Khmelnytskiy,1.0
2021,31_reg_Khmelnytskiy,0.9
2022,31_reg_Khmelnytskiy,0.7
2023,31_reg_Khmelnytskiy,1.7
2024,31_reg_Khmelnytskiy,1.5
2020,32_reg_Cherkasy,1.1
2021,32_reg_Cherkasy,1.2
2022,32_reg_Cherkasy,1.4
2023,32_reg_Cherkasy,1.7
2024,32_reg_Cherkasy,0.5
2020,33_reg_Chernivtsi,1.8
2021,33_reg_Chernivtsi,2.0
2022,33_reg_Chernivtsi,2.8
2023,33_reg_Chernivtsi,2.8
2024,33_reg_Chernivtsi,3.3
2020,34_reg_Chernihiv,0.9
2021,34_reg_Chernihiv,0.8
2022,34_reg_Chernihiv,0.9
2023,34_reg_Chernihiv,1.1
2024,34_reg_Chernihiv,1.3
2020,35_reg_Kyiv_city,4.7
2020,autonomous_Republic_of_Crimea,
2020,city_Sevastopol,
2021,35_reg_Kyiv_city,4.7
2021,autonomous_Republic_of_Crimea,
2021,city_Sevastopol,
2022,35_reg_Kyiv_city,4.8
2022,autonomous_Republic_of_Crimea,
2022,city_Sevastopol,
2023,35_reg_Kyiv_city,3.9
2023,autonomous_Republic_of_Crimea,
2023,city_Sevastopol,
2024,35_reg_Kyiv_city,3.8
2024,autonomous_Republic_of_Crimea,
2024,city_Sevastopol,
