Year,Sex,Age,Region,Value
2015,,,,
2016,,,,
2017,,,,18
2018,,,,15
2019,,,,18
2020,,,,11
2021,,,,14
2022,,,,14
2023,,,,32
2024,,,,33
2017,age_vac_7_adult,,,
2018,age_vac_7_adult,,,
2019,age_vac_7_adult,,,
2020,age_vac_7_adult,,,
2021,age_vac_7_adult,,,
2022,age_vac_7_adult,,,
2023,age_vac_7_adult,,,
2024,age_vac_7_adult,,,
2017,children,,,
2018,children,,,
2019,children,,,
2020,children,,,
2021,children,,,
2022,children,,,
2023,children,,,
2024,children,,,
2017,,females,,
2018,,females,,
2019,,females,,
2020,,females,,
2021,,females,,
2022,,females,,
2023,,females,,
2024,,females,,
2017,,males,,
2018,,males,,
2019,,males,,
2020,,males,,
2021,,males,,
2022,,males,,
2023,,males,,
2024,,males,,
2017,,,Ukraine,18
2018,,,Ukraine,15
2019,,,Ukraine,18
2020,,,Ukraine,11
2021,,,Ukraine,14
2022,,,Ukraine,14
2023,,,Ukraine,32
2024,,,Ukraine,33
2017,,,11_reg_Vinnytsya,9
2018,,,11_reg_Vinnytsya,6
2019,,,11_reg_Vinnytsya,13
2020,,,11_reg_Vinnytsya,11
2021,,,11_reg_Vinnytsya,8
2022,,,11_reg_Vinnytsya,23
2023,,,11_reg_Vinnytsya,32
2024,,,11_reg_Vinnytsya,41
2017,,,12_reg_Volyn,12
2018,,,12_reg_Volyn,9
2019,,,12_reg_Volyn,10
2020,,,12_reg_Volyn,4
2021,,,12_reg_Volyn,3
2022,,,12_reg_Volyn,22
2023,,,12_reg_Volyn,32
2024,,,12_reg_Volyn,25
2017,,,13_reg_Dnipropetrovsk,7
2018,,,13_reg_Dnipropetrovsk,8
2019,,,13_reg_Dnipropetrovsk,16
2020,,,13_reg_Dnipropetrovsk,0
2021,,,13_reg_Dnipropetrovsk,27
2022,,,13_reg_Dnipropetrovsk,13
2023,,,13_reg_Dnipropetrovsk,9
2024,,,13_reg_Dnipropetrovsk,34
2017,,,14_reg_Donetsk,29
2018,,,14_reg_Donetsk,40
2019,,,14_reg_Donetsk,76
2020,,,14_reg_Donetsk,66
2021,,,14_reg_Donetsk,51
2022,,,14_reg_Donetsk,101
2023,,,14_reg_Donetsk,23
2024,,,14_reg_Donetsk,100
2017,,,15_reg_Zhytomyr,18
