Year,Region,Category,Value
2015,Ukraine,,29.6
2016,Ukraine,,28.6
2017,Ukraine,,27.3
2018,Ukraine,,29.4
2019,Ukraine,,24.5
2020,Ukraine,,21.7
2021,Ukraine,,21.8
2022,Ukraine,,29.0
2023,Ukraine,,22.3
2024,Ukraine,,12.6
2015,autonomous_Republic_of_Crimea,,
2016,autonomous_Republic_of_Crimea,,
2017,autonomous_Republic_of_Crimea,,
2018,autonomous_Republic_of_Crimea,,
2019,autonomous_Republic_of_Crimea,,
2020,autonomous_Republic_of_Crimea,,
2021,autonomous_Republic_of_Crimea,,
2022,autonomous_Republic_of_Crimea,,
2023,autonomous_Republic_of_Crimea,,
2024,autonomous_Republic_of_Crimea,,
2015,11_reg_Vinnytsya,,18.9
2016,11_reg_Vinnytsya,,17.8
2017,11_reg_Vinnytsya,,15.0
2018,11_reg_Vinnytsya,,27.0
2019,11_reg_Vinnytsya,,7.7
2020,11_reg_Vinnytsya,,9.2
2021,11_reg_Vinnytsya,,6.9
2022,11_reg_Vinnytsya,,9.6
2023,11_reg_Vinnytsya,,8.6
2024,11_reg_Vinnytsya,,9.3
2015,12_reg_Volyn,,16.5
2016,12_reg_Volyn,,17.4
2017,12_reg_Volyn,,15.3
2018,12_reg_Volyn,,21.3
2019,12_reg_Volyn,,5.4
2020,12_reg_Volyn,,5.6
2021,12_reg_Volyn,,7.4
2022,12_reg_Volyn,,16.7
2023,12_reg_Volyn,,30.7
2024,12_reg_Volyn,,51.5
2015,13_reg_Dnipropetrovsk,,31.5
2016,13_reg_Dnipropetrovsk,,32.4
2017,13_reg_Dnipropetrovsk,,34.5
2018,13_reg_Dnipropetrovsk,,34.9
2019,13_reg_Dnipropetrovsk,,35.9
2020,13_reg_Dnipropetrovsk,,28.2
2021,13_reg_Dnipropetrovsk,,34.1
2022,13_reg_Dnipropetrovsk,,47.1
2023,13_reg_Dnipropetrovsk,,32.1
2024,13_reg_Dnipropetrovsk,,17.7
2015,14_reg_Donetsk,,16.1
2016,14_reg_Donetsk,,18.6
2017,14_reg_Donetsk,,24.1
2018,14_reg_Donetsk,,27.7
2019,14_reg_Donetsk,,20.5
2020,14_reg_Donetsk,,17.3
2021,14_reg_Donetsk,,27.8
2022,14_reg_Donetsk,,0.1
2023,14_reg_Donetsk,,0.1
2024,14_reg_Donetsk,,0.0
2015,15_reg_Zhytomyr,,15.4
2016,15_reg_Zhytomyr,,13.9
2017,15_reg_Zhytomyr,,15.0
2018,15_reg_Zhytomyr,,10.0
2019,15_reg_Zhytomyr,,11.2
2020,15_reg_Zhytomyr,,8.4
2021,15_reg_Zhytomyr,,6.8
2022,15_reg_Zhytomyr,,5.4
2023,15_reg_Zhytomyr,,0.5
2024,15_reg_Zhytomyr,,0.6
2015,16_reg_Zakarpattya,,0.7
2016,16_reg_Zakarpattya,,0.2
2017,16_reg_Zakarpattya,,0.1
2018,16_reg_Zakarpattya,,0.2
2019,16_reg_Zakarpattya,,0.1
2020,16_reg_Zakarpattya,,0.2
2021,16_reg_Zakarpattya,,0.4
2022,16_reg_Zakarpattya,,0.3
2023,16_reg_Zakarpattya,,0.2
2024,16_reg_Zakarpattya,,0.2
2015,17_reg_Zaporizhzhya,,48.0
2016,17_reg_Zaporizhzhya,,57.3
2017,17_reg_Zaporizhzhya,,52.7
2018,17_reg_Zaporizhzhya,,62.8
2019,17_reg_Zaporizhzhya,,70.1
2020,17_reg_Zaporizhzhya,,63.0
2021,17_reg_Zaporizhzhya,,60.9
2022,17_reg_Zaporizhzhya,,40.3
2023,17_reg_Zaporizhzhya,,0.1
2024,17_reg_Zaporizhzhya,,0.0
2015,18_reg_Ivano-Frankivsk,,27.1
2016,18_reg_Ivano-Frankivsk,,35.2
2017,18_reg_Ivano-Frankivsk,,33.4
2018,18_reg_Ivano-Frankivsk,,28.1
2019,18_reg_Ivano-Frankivsk,,29.1
2020,18_reg_Ivano-Frankivsk,,30.4
2021,18_reg_Ivano-Frankivsk,,28.1
2022,18_reg_Ivano-Frankivsk,,27.8
2023,18_reg_Ivano-Frankivsk,,29.8
2024,18_reg_Ivano-Frankivsk,,59.6
2015,19_reg_Kyiv,,7.7
2016,19_reg_Kyiv,,3.5
2017,19_reg_Kyiv,,1.6
2018,19_reg_Kyiv,,2.4
2019,19_reg_Kyiv,,0.7
2020,19_reg_Kyiv,,0.8
2021,19_reg_Kyiv,,5.5
2022,19_reg_Kyiv,,0.6
2023,19_reg_Kyiv,,2.4
2024,19_reg_Kyiv,,28.2
2015,20_reg_Kirovohrad,,25.8
2016,20_reg_Kirovohrad,,8.9
2017,20_reg_Kirovohrad,,3.9
