Year,Type of residence,Region,Value
2015,,,14.4
2015,urban,,18.5
2015,rural,,6.7
2015,,autonomous_Republic_of_Crimea,
2015,,11_reg_Vinnytsya,18.1
2015,,12_reg_Volyn,12.2
2015,,13_reg_Dnipropetrovsk,19.0
2015,,14_reg_Donetsk,
2015,,15_reg_Zhytomyr,15.6
2015,,16_reg_Zakarpattya,12.7
2015,,17_reg_Zaporizhzhya,16.6
2015,,18_reg_Ivano-Frankivsk,6.8
2015,,19_reg_Kyiv,15.0
2015,,20_reg_Kirovohrad,16.8
2015,,21_reg_Luhansk,
2015,,22_reg_Lviv,9.7
2015,,23_reg_Mykolayiv,19.4
2015,,24_reg_Odesa,13.0
2015,,25_reg_Poltava,18.6
2015,,26_reg_Rivne,9.0
2015,,27_reg_Sumy,20.7
2015,,28_reg_Ternopil,11.1
2015,,29_reg_Kharkiv,13.8
2015,,30_reg_Kherson,18.4
2015,,31_reg_Khmelnytskiy,12.6
2015,,32_reg_Cherkasy,21.0
2015,,33_reg_Chernivtsi,13.8
2015,,34_reg_Chernihiv,17.2
2015,,Kyiv_city,17.7
2015,,city_Sevastopol,
2016,,,15.3
2016,urban,,19.7
2016,rural,,7.2
2016,,autonomous_Republic_of_Crimea,
2016,,11_reg_Vinnytsya,18.7
2016,,12_reg_Volyn,12.3
2016,,13_reg_Dnipropetrovsk,19.6
2016,,14_reg_Donetsk,
2016,,15_reg_Zhytomyr,16.5
2016,,16_reg_Zakarpattya,13.1
2016,,17_reg_Zaporizhzhya,17.0
2016,,18_reg_Ivano-Frankivsk,7.5
2016,,19_reg_Kyiv,15.2
2016,,20_reg_Kirovohrad,17.7
2016,,21_reg_Luhansk,
2016,,22_reg_Lviv,10.3
2016,,23_reg_Mykolayiv,21.4
2016,,24_reg_Odesa,13.7
2016,,25_reg_Poltava,19.1
2016,,26_reg_Rivne,9.4
2016,,27_reg_Sumy,21.9
2016,,28_reg_Ternopil,12.2
2016,,29_reg_Kharkiv,15.1
2016,,30_reg_Kherson,17.9
2016,,31_reg_Khmelnytskiy,11.2
2016,,32_reg_Cherkasy,23.0
2016,,33_reg_Chernivtsi,15.1
2016,,34_reg_Chernihiv,18.0
2016,,Kyiv_city,17.1
2016,,city_Sevastopol,
2017,,,16.0
2017,urban,,20.6
2017,rural,,7.6
2017,,autonomous_Republic_of_Crimea,
2017,,11_reg_Vinnytsya,20.7
2017,,12_reg_Volyn,13.1
2017,,13_reg_Dnipropetrovsk,20.5
2017,,14_reg_Donetsk,
2017,,15_reg_Zhytomyr,16.7
2017,,16_reg_Zakarpattya,14.2
2017,,17_reg_Zaporizhzhya,17.8
2017,,18_reg_Ivano-Frankivsk,7.5
2017,,19_reg_Kyiv,15.7
2017,,20_reg_Kirovohrad,17.9
2017,,21_reg_Luhansk,
2017,,22_reg_Lviv,10.8
2017,,23_reg_Mykolayiv,22.1
2017,,24_reg_Odesa,13.7
2017,,25_reg_Poltava,20.3
2017,,26_reg_Rivne,9.4
2017,,27_reg_Sumy,23.4
2017,,28_reg_Ternopil,12.3
2017,,29_reg_Kharkiv,15.9
2017,,30_reg_Kherson,18.2
2017,,31_reg_Khmelnytskiy,12.6
2017,,32_reg_Cherkasy,23.7
2017,,33_reg_Chernivtsi,15.8
2017,,34_reg_Chernihiv,18.4
2017,,Kyiv_city,16.9
2017,,city_Sevastopol,
2018,,,16.9
2018,urban,,21.7
2018,rural,,8.0
2018,,autonomous_Republic_of_Crimea,
2018,,11_reg_Vinnytsya,22.7
2018,,12_reg_Volyn,13.6
2018,,13_reg_Dnipropetrovsk,21.0
2018,,14_reg_Donetsk,
2018,,15_reg_Zhytomyr,18.4
