Year,Region,group_28,group_13,group_16,group_31,Value
2018,11_reg_Vinnytsya,,,,,56.8
2018,12_reg_Volyn,,,,,49.5
2018,13_reg_Dnipropetrovsk,,,,,58.6
2018,14_reg_Donetsk,,,,,50.0
2018,15_reg_Zhytomyr,,,,,57.5
2018,16_reg_Zakarpattya,,,,,54.5
2018,17_reg_Zaporizhzhya,,,,,56.7
2018,18_reg_Ivano-Frankivsk,,,,,55.6
2018,19_reg_Kyiv,,,,,58.5
2018,20_reg_Kirovohrad,,,,,54.5
2018,21_reg_Luhansk,,,,,56.9
2018,22_reg_Lviv,,,,,56.8
2018,23_reg_Mykolayiv,,,,,58.1
2018,24_reg_Odesa,,,,,57.2
2018,25_reg_Poltava,,,,,55.1
2018,26_reg_Rivne,,,,,56.8
2018,27_reg_Sumy,,,,,58.4
2018,28_reg_Ternopil,,,,,52.7
2018,29_reg_Kharkiv,,,,,61.4
2018,30_reg_Kherson,,,,,57.5
2018,31_reg_Khmelnytskiy,,,,,55.9
2018,32_reg_Cherkasy,,,,,57.7
2018,33_reg_Chernivtsi,,,,,57.2
2018,34_reg_Chernihiv,,,,,57.3
2018,35_reg_Kyiv_city,,,,,62.6
2018,city_Sevastopol,,,,,
2019,,,,,,58.2
2019,,group_label_272,,,,30.6
2019,,group_label_273,,,,73.3
2019,,group_label_274,,,,76.0
2019,,group_label_275,,,,79.3
2019,,group_label_276,,,,78.7
2019,,group_label_277,,,,67.9
2019,,group_label_278,,,,13.7
2019,,,group_label_174,,,52.9
2019,,,group_label_175,,,64.0
2019,,,,group_label_189,,59.1
2019,,,,group_label_190,,56.2
2019,,,,,group_label_311,72.5
2019,,,,,group_label_312,56.9
2019,,,,,group_label_313,62.2
2019,,,,,group_label_314,63.6
2019,,,,,group_label_315,44.7
2019,,,,,group_label_319,17.8
2019,Ukraine,,,,,58.2
2019,autonomous_Republic_of_Crimea,,,,,
2019,11_reg_Vinnytsya,,,,,58.0
2019,12_reg_Volyn,,,,,50.9
2019,13_reg_Dnipropetrovsk,,,,,59.5
2019,14_reg_Donetsk,,,,,50.9
2019,15_reg_Zhytomyr,,,,,58.5
2019,16_reg_Zakarpattya,,,,,55.4
2019,17_reg_Zaporizhzhya,,,,,58.1
2019,18_reg_Ivano-Frankivsk,,,,,56.6
2019,19_reg_Kyiv,,,,,59.3
2019,20_reg_Kirovohrad,,,,,55.6
2019,21_reg_Luhansk,,,,,58.8
2019,22_reg_Lviv,,,,,57.8
2019,23_reg_Mykolayiv,,,,,59.1
2019,24_reg_Odesa,,,,,58.3
2019,25_reg_Poltava,,,,,56.6
2019,26_reg_Rivne,,,,,58.4
2019,27_reg_Sumy,,,,,59.8
2019,28_reg_Ternopil,,,,,53.8
2019,29_reg_Kharkiv,,,,,62.1
2019,30_reg_Kherson,,,,,58.9
2019,31_reg_Khmelnytskiy,,,,,57.0
2019,32_reg_Cherkasy,,,,,59.3
2019,33_reg_Chernivtsi,,,,,59.0
2019,34_reg_Chernihiv,,,,,58.9
2019,35_reg_Kyiv_city,,,,,63.1
2019,city_Sevastopol,,,,,
2020,,,,,,56.2
2020,,group_label_272,,,,25.8
2020,,group_label_273,,,,72.1
2020,,group_label_274,,,,74.5
2020,,group_label_275,,,,75.3
2020,,group_label_276,,,,76.7
2020,,group_label_277,,,,67.9
2020,,group_label_278,,,,13.2
2020,,,group_label_174,,,51.2
2020,,,group_label_175,,,61.8
2020,,,,group_label_189,,57.2
2020,,,,group_label_190,,54.1
2020,,,,,group_label_311,71.3
2020,,,,,group_label_312,56.8
2020,,,,,group_label_313,60.0
2020,,,,,group_label_314,61.4
2020,,,,,group_label_315,42.7
2020,,,,,group_label_319,15.6
2020,Ukraine,,,,,56.2
2020,autonomous_Republic_of_Crimea,,,,,
2020,11_reg_Vinnytsya,,,,,56.2
2020,12_reg_Volyn,,,,,48.9
2020,13_reg_Dnipropetrovsk,,,,,58.0
2020,14_reg_Donetsk,,,,,49.2
2020,15_reg_Zhytomyr,,,,,55.3
2020,16_reg_Zakarpattya,,,,,53.7
2020,17_reg_Zaporizhzhya,,,,,56.0
2020,18_reg_Ivano-Frankivsk,,,,,54.1
2020,19_reg_Kyiv,,,,,57.8
2020,20_reg_Kirovohrad,,,,,53.1
2020,21_reg_Luhansk,,,,,56.4
2020,22_reg_Lviv,,,,,56.0
2020,23_reg_Mykolayiv,,,,,57.3
2020,24_reg_Odesa,,,,,56.8
2020,25_reg_Poltava,,,,,54.8
2020,26_reg_Rivne,,,,,56.1
2020,27_reg_Sumy,,,,,56.8
2020,28_reg_Ternopil,,,,,51.6
2020,29_reg_Kharkiv,,,,,59.9
2020,30_reg_Kherson,,,,,56.8
2020,31_reg_Khmelnytskiy,,,,,54.8
2020,32_reg_Cherkasy,,,,,57.0
2020,33_reg_Chernivtsi,,,,,56.5
2020,34_reg_Chernihiv,,,,,56.4
2020,35_reg_Kyiv_city,,,,,61.7
2020,city_Sevastopol,,,,,
2021,,,,,,55.7
2021,,group_label_272,,,,24.8
2021,,group_label_273,,,,70.4
2021,,group_label_274,,,,74.0
2021,,group_label_275,,,,75.0
2021,,group_label_276,,,,76.8
2021,,group_label_277,,,,68.3
2021,,group_label_278,,,,12.8
2021,,,group_label_174,,,50.4
2021,,,group_label_175,,,61.5
2021,,,,group_label_189,,56.7
2021,,,,group_label_190,,53.6
2021,,,,,group_label_311,70.6
2021,,,,,group_label_312,59.0
2021,,,,,group_label_313,59.4
2021,,,,,group_label_314,61.2
2021,,,,,group_label_315,41.3
2021,,,,,group_label_319,14.8
2021,Ukraine,,,,,55.7
2021,autonomous_Republic_of_Crimea,,,,,
2021,11_reg_Vinnytsya,,,,,55.6
2021,12_reg_Volyn,,,,,48.5
2021,13_reg_Dnipropetrovsk,,,,,57.9
2021,14_reg_Donetsk,,,,,48.9
2021,15_reg_Zhytomyr,,,,,54.8
2021,16_reg_Zakarpattya,,,,,52.8
2021,17_reg_Zaporizhzhya,,,,,55.8
2021,18_reg_Ivano-Frankivsk,,,,,53.8
2021,19_reg_Kyiv,,,,,56.8
2021,20_reg_Kirovohrad,,,,,52.6
2021,21_reg_Luhansk,,,,,55.7
2021,22_reg_Lviv,,,,,55.8
2021,23_reg_Mykolayiv,,,,,56.4
2021,24_reg_Odesa,,,,,56.5
2021,25_reg_Poltava,,,,,54.0
2021,26_reg_Rivne,,,,,55.0
2021,27_reg_Sumy,,,,,55.8
2021,28_reg_Ternopil,,,,,50.8
2021,29_reg_Kharkiv,,,,,59.3
2021,30_reg_Kherson,,,,,56.3
2021,31_reg_Khmelnytskiy,,,,,54.0
2021,32_reg_Cherkasy,,,,,56.0
2021,33_reg_Chernivtsi,,,,,55.6
2021,34_reg_Chernihiv,,,,,55.5
2021,35_reg_Kyiv_city,,,,,61.6
2021,city_Sevastopol,,,,,
2022,,,,,,
2022,,group_label_272,,,,
2022,,group_label_273,,,,
2022,,group_label_274,,,,
2022,,group_label_275,,,,
2022,,group_label_276,,,,
2022,,group_label_277,,,,
2022,,group_label_278,,,,
2022,,,group_label_174,,,
2022,,,group_label_175,,,
2022,,,,group_label_189,,
2022,,,,group_label_190,,
2022,,,,,group_label_311,
2022,,,,,group_label_312,
2022,,,,,group_label_313,
2022,,,,,group_label_314,
2022,,,,,group_label_315,
2022,,,,,group_label_319,
2022,Ukraine,,,,,
2022,autonomous_Republic_of_Crimea,,,,,
2022,11_reg_Vinnytsya,,,,,
2022,12_reg_Volyn,,,,,
2022,13_reg_Dnipropetrovsk,,,,,
2022,14_reg_Donetsk,,,,,
2022,15_reg_Zhytomyr,,,,,
2022,16_reg_Zakarpattya,,,,,
2022,17_reg_Zaporizhzhya,,,,,
2022,18_reg_Ivano-Frankivsk,,,,,
2022,19_reg_Kyiv,,,,,
2022,20_reg_Kirovohrad,,,,,
2022,21_reg_Luhansk,,,,,
2022,22_reg_Lviv,,,,,
2022,23_reg_Mykolayiv,,,,,
2022,24_reg_Odesa,,,,,
2022,25_reg_Poltava,,,,,
2022,26_reg_Rivne,,,,,
2022,27_reg_Sumy,,,,,
2022,28_reg_Ternopil,,,,,
2022,29_reg_Kharkiv,,,,,
2022,30_reg_Kherson,,,,,
2022,31_reg_Khmelnytskiy,,,,,
2022,32_reg_Cherkasy,,,,,
2022,33_reg_Chernivtsi,,,,,
2022,34_reg_Chernihiv,,,,,
2022,35_reg_Kyiv_city,,,,,
2022,city_Sevastopol,,,,,
2023,,,,,,
2023,,group_label_272,,,,
2023,,group_label_273,,,,
2023,,group_label_274,,,,
2023,,group_label_275,,,,
2023,,group_label_276,,,,
2023,,group_label_277,,,,
2023,,group_label_278,,,,
2023,,,group_label_174,,,
2023,,,group_label_175,,,
2023,,,,group_label_189,,
2023,,,,group_label_190,,
2023,,,,,group_label_311,
2023,,,,,group_label_312,
2023,,,,,group_label_313,
2023,,,,,group_label_314,
2023,,,,,group_label_315,
2023,,,,,group_label_319,
2023,Ukraine,,,,,
2023,autonomous_Republic_of_Crimea,,,,,
2023,11_reg_Vinnytsya,,,,,
2023,12_reg_Volyn,,,,,
2023,13_reg_Dnipropetrovsk,,,,,
2023,14_reg_Donetsk,,,,,
2023,15_reg_Zhytomyr,,,,,
2023,16_reg_Zakarpattya,,,,,
2023,17_reg_Zaporizhzhya,,,,,
2023,18_reg_Ivano-Frankivsk,,,,,
2023,19_reg_Kyiv,,,,,
2023,20_reg_Kirovohrad,,,,,
2023,21_reg_Luhansk,,,,,
2023,22_reg_Lviv,,,,,
2023,23_reg_Mykolayiv,,,,,
2023,24_reg_Odesa,,,,,
2023,25_reg_Poltava,,,,,
2023,26_reg_Rivne,,,,,
2023,27_reg_Sumy,,,,,
2023,28_reg_Ternopil,,,,,
2023,29_reg_Kharkiv,,,,,
2023,30_reg_Kherson,,,,,
2023,31_reg_Khmelnytskiy,,,,,
2023,32_reg_Cherkasy,,,,,
2023,33_reg_Chernivtsi,,,,,
2023,34_reg_Chernihiv,,,,,
2023,35_reg_Kyiv_city,,,,,
2023,city_Sevastopol,,,,,
2024,,,,,,
2024,,group_label_272,,,,
2024,,group_label_273,,,,
2024,,group_label_274,,,,
2024,,group_label_275,,,,
2024,,group_label_276,,,,
2024,,group_label_277,,,,
2024,,group_label_278,,,,
2024,,,group_label_174,,,
2024,,,group_label_175,,,
2024,,,,group_label_189,,
2024,,,,group_label_190,,
2024,,,,,group_label_311,
2024,,,,,group_label_312,
2024,,,,,group_label_313,
2024,,,,,group_label_314,
2024,,,,,group_label_315,
2024,,,,,group_label_319,
2024,Ukraine,,,,,
2024,autonomous_Republic_of_Crimea,,,,,
2024,11_reg_Vinnytsya,,,,,
2024,12_reg_Volyn,,,,,
2024,13_reg_Dnipropetrovsk,,,,,
2024,14_reg_Donetsk,,,,,
2024,15_reg_Zhytomyr,,,,,
2024,16_reg_Zakarpattya,,,,,
2024,17_reg_Zaporizhzhya,,,,,
2024,18_reg_Ivano-Frankivsk,,,,,
2024,19_reg_Kyiv,,,,,
2024,20_reg_Kirovohrad,,,,,
2024,21_reg_Luhansk,,,,,
2024,22_reg_Lviv,,,,,
2024,23_reg_Mykolayiv,,,,,
2024,24_reg_Odesa,,,,,
2024,25_reg_Poltava,,,,,
2024,26_reg_Rivne,,,,,
2024,27_reg_Sumy,,,,,
2024,28_reg_Ternopil,,,,,
2024,29_reg_Kharkiv,,,,,
2024,30_reg_Kherson,,,,,
2024,31_reg_Khmelnytskiy,,,,,
2024,32_reg_Cherkasy,,,,,
2024,33_reg_Chernivtsi,,,,,
2024,34_reg_Chernihiv,,,,,
2024,35_reg_Kyiv_city,,,,,
2024,city_Sevastopol,,,,,
