Year,EducationInternetType,Region,Value
2015,preschool_wired_gt30,Ukraine,
2015,preschool_wireless_gt30,Ukraine,
2015,preschool_wired_or_wireless_gt30,Ukraine,
2015,secondary_internet_any_speed,Ukraine,86.74
2015,secondary_wired_gt30,Ukraine,
2015,secondary_wireless_gt30,Ukraine,
2015,secondary_wired_or_wireless_gt30,Ukraine,
2015,preschool_wired_gt30,autonomous_Republic_of_Crimea,
2015,preschool_wired_gt30,11_reg_Vinnytsya,
2015,preschool_wireless_gt30,11_reg_Vinnytsya,
2015,preschool_wired_or_wireless_gt30,11_reg_Vinnytsya,
2015,secondary_internet_any_speed,11_reg_Vinnytsya,83.91
2015,secondary_wired_gt30,11_reg_Vinnytsya,
2015,secondary_wireless_gt30,11_reg_Vinnytsya,
2015,secondary_wired_or_wireless_gt30,11_reg_Vinnytsya,
2015,preschool_wired_gt30,12_reg_Volyn,
2015,preschool_wireless_gt30,12_reg_Volyn,
2015,preschool_wired_or_wireless_gt30,12_reg_Volyn,
2015,secondary_internet_any_speed,12_reg_Volyn,74.86
2015,secondary_wired_gt30,12_reg_Volyn,
2015,secondary_wireless_gt30,12_reg_Volyn,
2015,secondary_wired_or_wireless_gt30,12_reg_Volyn,
2015,preschool_wired_gt30,13_reg_Dnipropetrovsk,
2015,preschool_wireless_gt30,13_reg_Dnipropetrovsk,
2015,preschool_wired_or_wireless_gt30,13_reg_Dnipropetrovsk,
2015,secondary_internet_any_speed,13_reg_Dnipropetrovsk,97.71
2015,secondary_wired_gt30,13_reg_Dnipropetrovsk,
2015,secondary_wireless_gt30,13_reg_Dnipropetrovsk,
2015,secondary_wired_or_wireless_gt30,13_reg_Dnipropetrovsk,
2015,preschool_wired_gt30,14_reg_Donetsk,
2015,preschool_wireless_gt30,14_reg_Donetsk,
2015,preschool_wired_or_wireless_gt30,14_reg_Donetsk,
2015,secondary_internet_any_speed,14_reg_Donetsk,90.98
2015,secondary_wired_gt30,14_reg_Donetsk,
2015,secondary_wireless_gt30,14_reg_Donetsk,
2015,secondary_wired_or_wireless_gt30,14_reg_Donetsk,
2015,preschool_wired_gt30,15_reg_Zhytomyr,
2015,preschool_wireless_gt30,15_reg_Zhytomyr,
2015,preschool_wired_or_wireless_gt30,15_reg_Zhytomyr,
2015,secondary_internet_any_speed,15_reg_Zhytomyr,63.21
2015,secondary_wired_gt30,15_reg_Zhytomyr,
2015,secondary_wireless_gt30,15_reg_Zhytomyr,
2015,secondary_wired_or_wireless_gt30,15_reg_Zhytomyr,
2015,preschool_wired_gt30,16_reg_Zakarpattya,
2015,preschool_wireless_gt30,16_reg_Zakarpattya,
2015,preschool_wired_or_wireless_gt30,16_reg_Zakarpattya,
2015,secondary_internet_any_speed,16_reg_Zakarpattya,76.75
2015,secondary_wired_gt30,16_reg_Zakarpattya,
2015,secondary_wireless_gt30,16_reg_Zakarpattya,
2015,secondary_wired_or_wireless_gt30,16_reg_Zakarpattya,
2015,preschool_wired_gt30,17_reg_Zaporizhzhya,
2015,preschool_wireless_gt30,17_reg_Zaporizhzhya,
2015,preschool_wired_or_wireless_gt30,17_reg_Zaporizhzhya,
2015,secondary_internet_any_speed,17_reg_Zaporizhzhya,100.00
2015,secondary_wired_gt30,17_reg_Zaporizhzhya,
2015,secondary_wireless_gt30,17_reg_Zaporizhzhya,
2015,secondary_wired_or_wireless_gt30,17_reg_Zaporizhzhya,
2015,preschool_wired_gt30,18_reg_Ivano-Frankivsk,
2015,preschool_wireless_gt30,18_reg_Ivano-Frankivsk,
2015,preschool_wired_or_wireless_gt30,18_reg_Ivano-Frankivsk,
2015,secondary_internet_any_speed,18_reg_Ivano-Frankivsk,81.78
2015,secondary_wired_gt30,18_reg_Ivano-Frankivsk,
2015,secondary_wireless_gt30,18_reg_Ivano-Frankivsk,
2015,secondary_wired_or_wireless_gt30,18_reg_Ivano-Frankivsk,
2015,preschool_wired_gt30,19_reg_Kyiv,
2015,preschool_wireless_gt30,19_reg_Kyiv,
2015,preschool_wired_or_wireless_gt30,19_reg_Kyiv,
2015,secondary_internet_any_speed,19_reg_Kyiv,100.00
2015,secondary_wired_gt30,19_reg_Kyiv,
2015,secondary_wireless_gt30,19_reg_Kyiv,
2015,secondary_wired_or_wireless_gt30,19_reg_Kyiv,
2015,preschool_wired_gt30,20_reg_Kirovohrad,
2015,preschool_wireless_gt30,20_reg_Kirovohrad,
2015,preschool_wired_or_wireless_gt30,20_reg_Kirovohrad,
2015,secondary_internet_any_speed,20_reg_Kirovohrad,96.53
2015,secondary_wired_gt30,20_reg_Kirovohrad,
2015,secondary_wireless_gt30,20_reg_Kirovohrad,
2015,secondary_wired_or_wireless_gt30,20_reg_Kirovohrad,
2015,preschool_wired_gt30,21_reg_Luhansk,
2015,preschool_wireless_gt30,21_reg_Luhansk,
2015,preschool_wired_or_wireless_gt30,21_reg_Luhansk,
2015,secondary_internet_any_speed,21_reg_Luhansk,94.39
2015,secondary_wired_gt30,21_reg_Luhansk,
2015,secondary_wireless_gt30,21_reg_Luhansk,
2015,secondary_wired_or_wireless_gt30,21_reg_Luhansk,
2015,preschool_wired_gt30,22_reg_Lviv,
2015,preschool_wireless_gt30,22_reg_Lviv,
2015,preschool_wired_or_wireless_gt30,22_reg_Lviv,
2015,secondary_internet_any_speed,22_reg_Lviv,60.41
2015,secondary_wired_gt30,22_reg_Lviv,
2015,secondary_wireless_gt30,22_reg_Lviv,
2015,secondary_wired_or_wireless_gt30,22_reg_Lviv,
2015,preschool_wired_gt30,23_reg_Mykolayiv,
2015,preschool_wireless_gt30,23_reg_Mykolayiv,
2015,preschool_wired_or_wireless_gt30,23_reg_Mykolayiv,
2015,secondary_internet_any_speed,23_reg_Mykolayiv,94.76
2015,secondary_wired_gt30,23_reg_Mykolayiv,
2015,secondary_wireless_gt30,23_reg_Mykolayiv,
2015,secondary_wired_or_wireless_gt30,23_reg_Mykolayiv,
2015,preschool_wired_gt30,24_reg_Odesa,
2015,preschool_wireless_gt30,24_reg_Odesa,
2015,preschool_wired_or_wireless_gt30,24_reg_Odesa,
2015,secondary_internet_any_speed,24_reg_Odesa,80.38
2015,secondary_wired_gt30,24_reg_Odesa,
2015,secondary_wireless_gt30,24_reg_Odesa,
2015,secondary_wired_or_wireless_gt30,24_reg_Odesa,
2015,preschool_wired_gt30,25_reg_Poltava,
2015,preschool_wireless_gt30,25_reg_Poltava,
2015,preschool_wired_or_wireless_gt30,25_reg_Poltava,
2015,secondary_internet_any_speed,25_reg_Poltava,86.61
2015,secondary_wired_gt30,25_reg_Poltava,
2015,secondary_wireless_gt30,25_reg_Poltava,
2015,secondary_wired_or_wireless_gt30,25_reg_Poltava,
2015,preschool_wired_gt30,26_reg_Rivne,
2015,preschool_wireless_gt30,26_reg_Rivne,
2015,preschool_wired_or_wireless_gt30,26_reg_Rivne,
2015,secondary_internet_any_speed,26_reg_Rivne,92.72
2015,secondary_wired_gt30,26_reg_Rivne,
2015,secondary_wireless_gt30,26_reg_Rivne,
2015,secondary_wired_or_wireless_gt30,26_reg_Rivne,
2015,preschool_wired_gt30,27_reg_Sumy,
2015,preschool_wireless_gt30,27_reg_Sumy,
2015,preschool_wired_or_wireless_gt30,27_reg_Sumy,
2015,secondary_internet_any_speed,27_reg_Sumy,92.35
2015,secondary_wired_gt30,27_reg_Sumy,
2015,secondary_wireless_gt30,27_reg_Sumy,
2015,secondary_wired_or_wireless_gt30,27_reg_Sumy,
2015,preschool_wired_gt30,28_reg_Ternopil,
2015,preschool_wireless_gt30,28_reg_Ternopil,
2015,preschool_wired_or_wireless_gt30,28_reg_Ternopil,
2015,secondary_internet_any_speed,28_reg_Ternopil,75.39
2015,secondary_wired_gt30,28_reg_Ternopil,
2015,secondary_wireless_gt30,28_reg_Ternopil,
2015,secondary_wired_or_wireless_gt30,28_reg_Ternopil,
2015,preschool_wired_gt30,29_reg_Kharkiv,
2015,preschool_wireless_gt30,29_reg_Kharkiv,
2015,preschool_wired_or_wireless_gt30,29_reg_Kharkiv,
2015,secondary_internet_any_speed,29_reg_Kharkiv,99.75
2015,secondary_wired_gt30,29_reg_Kharkiv,
2015,secondary_wireless_gt30,29_reg_Kharkiv,
2015,secondary_wired_or_wireless_gt30,29_reg_Kharkiv,
2015,preschool_wired_gt30,30_reg_Kherson,
2015,preschool_wireless_gt30,30_reg_Kherson,
2015,preschool_wired_or_wireless_gt30,30_reg_Kherson,
2015,secondary_internet_any_speed,30_reg_Kherson,94.52
2015,secondary_wired_gt30,30_reg_Kherson,
2015,secondary_wireless_gt30,30_reg_Kherson,
2015,secondary_wired_or_wireless_gt30,30_reg_Kherson,
2015,preschool_wired_gt30,31_reg_Khmelnytskiy,
2015,preschool_wireless_gt30,31_reg_Khmelnytskiy,
2015,preschool_wired_or_wireless_gt30,31_reg_Khmelnytskiy,
2015,secondary_internet_any_speed,31_reg_Khmelnytskiy,99.22
2015,secondary_wired_gt30,31_reg_Khmelnytskiy,
2015,secondary_wireless_gt30,31_reg_Khmelnytskiy,
2015,secondary_wired_or_wireless_gt30,31_reg_Khmelnytskiy,
2015,preschool_wired_gt30,32_reg_Cherkasy,
2015,preschool_wireless_gt30,32_reg_Cherkasy,
2015,preschool_wired_or_wireless_gt30,32_reg_Cherkasy,
2015,secondary_internet_any_speed,32_reg_Cherkasy,98.21
2015,secondary_wired_gt30,32_reg_Cherkasy,
2015,secondary_wireless_gt30,32_reg_Cherkasy,
2015,secondary_wired_or_wireless_gt30,32_reg_Cherkasy,
2015,preschool_wired_gt30,33_reg_Chernivtsi,
2015,preschool_wireless_gt30,33_reg_Chernivtsi,
2015,preschool_wired_or_wireless_gt30,33_reg_Chernivtsi,
2015,secondary_internet_any_speed,33_reg_Chernivtsi,92.22
2015,secondary_wired_gt30,33_reg_Chernivtsi,
2015,secondary_wireless_gt30,33_reg_Chernivtsi,
2015,secondary_wired_or_wireless_gt30,33_reg_Chernivtsi,
2015,preschool_wired_gt30,34_reg_Chernihiv,
2015,preschool_wireless_gt30,34_reg_Chernihiv,
2015,preschool_wired_or_wireless_gt30,34_reg_Chernihiv,
2015,secondary_internet_any_speed,34_reg_Chernihiv,93.44
2015,secondary_wired_gt30,34_reg_Chernihiv,
2015,secondary_wireless_gt30,34_reg_Chernihiv,
2015,secondary_wired_or_wireless_gt30,34_reg_Chernihiv,
2015,preschool_wired_gt30,35_reg_Kyiv_city,
2015,preschool_wireless_gt30,35_reg_Kyiv_city,
2015,preschool_wired_or_wireless_gt30,35_reg_Kyiv_city,
2015,secondary_internet_any_speed,35_reg_Kyiv_city,95.70
2015,secondary_wired_gt30,35_reg_Kyiv_city,
2015,secondary_wireless_gt30,35_reg_Kyiv_city,
2015,secondary_wired_or_wireless_gt30,35_reg_Kyiv_city,
2015,preschool_wired_gt30,city_Sevastopol,
2016,preschool_wired_gt30,Ukraine,
2016,preschool_wireless_gt30,Ukraine,
2016,preschool_wired_or_wireless_gt30,Ukraine,
2016,secondary_internet_any_speed,Ukraine,89.71
2016,secondary_wired_gt30,Ukraine,
2016,secondary_wireless_gt30,Ukraine,
2016,secondary_wired_or_wireless_gt30,Ukraine,
2016,,autonomous_Republic_of_Crimea,
2016,preschool_wired_gt30,11_reg_Vinnytsya,
