Year,Type of residence,Age,Sex,Region,Value
2015,,,,,19.6
2015,,,females_1,,20.2
2015,,,males_1,,19.1
2015,,age_18_new,,,21.9
2015,,age_18_29,,,18.9
2015,,age_30_59,,,18.2
2015,,age_60,,,20.7
2015,urban,,,,20.0
2015,rural,,,,18.8
2015,,,,autonomous_Republic_of_Crimea,
2015,,,,11_reg_Vinnytsya,18.9
2015,,,,12_reg_Volyn,13.3
2015,,,,13_reg_Dnipropetrovsk,29.8
2015,,,,14_reg_Donetsk,20.1
2015,,,,15_reg_Zhytomyr,14.6
2015,,,,16_reg_Zakarpattya,61.7
2015,,,,17_reg_Zaporizhzhya,19.6
2015,,,,18_reg_Ivano-Frankivsk,34.9
2015,,,,19_reg_Kyiv,3.7
2015,,,,20_reg_Kirovohrad,18.4
2015,,,,21_reg_Luhansk,36.3
2015,,,,22_reg_Lviv,5.4
2015,,,,23_reg_Mykolayiv,23.6
2015,,,,24_reg_Odesa,20.0
2015,,,,25_reg_Poltava,9.4
2015,,,,26_reg_Rivne,6.2
2015,,,,27_reg_Sumy,8.9
2015,,,,28_reg_Ternopil,24.2
2015,,,,29_reg_Kharkiv,17.7
2015,,,,30_reg_Kherson,40.7
2015,,,,31_reg_Khmelnytskiy,20.2
2015,,,,32_reg_Cherkasy,39.1
2015,,,,33_reg_Chernivtsi,3.2
2015,,,,34_reg_Chernihiv,15.5
2015,,,,Kyiv_city,6.7
2015,,,,city_Sevastopol,
2016,,,,,
2016,,,females_1,,
2016,,,males_1,,
2016,,age_18_new,,,
2016,,age_18_29,,,
2016,,age_30_59,,,
2016,,age_60,,,
2016,urban,,,,
2016,rural,,,,
2016,,,,autonomous_Republic_of_Crimea,
2016,,,,11_reg_Vinnytsya,
2016,,,,12_reg_Volyn,
2016,,,,13_reg_Dnipropetrovsk,
2016,,,,14_reg_Donetsk,
2016,,,,15_reg_Zhytomyr,
2016,,,,16_reg_Zakarpattya,
2016,,,,17_reg_Zaporizhzhya,
2016,,,,18_reg_Ivano-Frankivsk,
2016,,,,19_reg_Kyiv,
2016,,,,20_reg_Kirovohrad,
2016,,,,21_reg_Luhansk,
2016,,,,22_reg_Lviv,
2016,,,,23_reg_Mykolayiv,
2016,,,,24_reg_Odesa,
2016,,,,25_reg_Poltava,
2016,,,,26_reg_Rivne,
2016,,,,27_reg_Sumy,
2016,,,,28_reg_Ternopil,
2016,,,,29_reg_Kharkiv,
2016,,,,30_reg_Kherson,
2016,,,,31_reg_Khmelnytskiy,
2016,,,,32_reg_Cherkasy,
2016,,,,33_reg_Chernivtsi,
2016,,,,34_reg_Chernihiv,
2016,,,,Kyiv_city,
2016,,,,city_Sevastopol,
2017,,,,,25.3
2017,,,females_1,,26.5
2017,,,males_1,,23.9
2017,,age_18_new,,,25.4
2017,,age_18_29,,,23.8
2017,,age_30_59,,,23.5
2017,,age_60,,,29.5
2017,urban,,,,25.5
2017,rural,,,,25.0
2017,,,,autonomous_Republic_of_Crimea,
2017,,,,11_reg_Vinnytsya,29.0
2017,,,,12_reg_Volyn,7.2
2017,,,,13_reg_Dnipropetrovsk,21.9
2017,,,,14_reg_Donetsk,22.9
2017,,,,15_reg_Zhytomyr,11.0
2017,,,,16_reg_Zakarpattya,66.0
