Year,Region,Category,Value
2015,,,0.227
2016,,,0.220
2017,,,0.232
2018,,,0.238
2019,,,0.249
2020,,,0.247
2021,,,0.244
2022,,,
2023,,,
2024,,,

2015,,urban,0.232
2016,,urban,0.226
2017,,urban,0.235
2018,,urban,0.244
2019,,urban,0.253
2020,,urban,0.254
2021,,urban,0.244
2022,,urban,
2023,,urban,
2024,,urban,
2015,,rural,0.215
2016,,rural,0.205
2017,,rural,0.220
2018,,rural,0.218
2019,,rural,0.223
2020,,rural,0.219
2021,,rural,0.228
2022,,rural,
2023,,rural,
2024,,rural,

2015,Ukraine,,0.227
2016,Ukraine,,0.220
2017,Ukraine,,0.232
2018,Ukraine,,0.238
2019,Ukraine,,0.249
2020,Ukraine,,0.247
2021,Ukraine,,0.244
2022,Ukraine,,
2023,Ukraine,,
2024,Ukraine,,

2015,autonomous_Republic_of_Crimea,,
2016,autonomous_Republic_of_Crimea,,
2017,autonomous_Republic_of_Crimea,,
2018,autonomous_Republic_of_Crimea,,
2019,autonomous_Republic_of_Crimea,,
2020,autonomous_Republic_of_Crimea,,
2021,autonomous_Republic_of_Crimea,,
2022,autonomous_Republic_of_Crimea,,
2023,autonomous_Republic_of_Crimea,,
2024,autonomous_Republic_of_Crimea,,

2015,city_Sevastopol,,
2016,city_Sevastopol,,
2017,city_Sevastopol,,
2018,city_Sevastopol,,
2019,city_Sevastopol,,
2020,city_Sevastopol,,
2021,city_Sevastopol,,
2022,city_Sevastopol,,
2023,city_Sevastopol,,
2024,city_Sevastopol,,

2015,11_reg_Vinnytsya,,0.252
2016,11_reg_Vinnytsya,,0.177
2017,11_reg_Vinnytsya,,0.230
2018,11_reg_Vinnytsya,,0.229
2019,11_reg_Vinnytsya,,0.198
2020,11_reg_Vinnytsya,,0.175
2021,11_reg_Vinnytsya,,0.188
2022,11_reg_Vinnytsya,,
2023,11_reg_Vinnytsya,,
2024,11_reg_Vinnytsya,,
2015,12_reg_Volyn,,0.189
2016,12_reg_Volyn,,0.195
2017,12_reg_Volyn,,0.136
2018,12_reg_Volyn,,0.218
2019,12_reg_Volyn,,0.228
