Year,Region,group_10,Value
2015,,,3.16
2015,,zone_1_polis,2.33
2015,,zone_2_fores_st,3.21
2015,,zone_3_st,3.45
2015,Ukraine,,3.16
2015,autonomous_Republic_of_Crimea,,
2015,11_reg_Vinnytsya,,2.70
2015,12_reg_Volyn,,1.56
2015,13_reg_Dnipropetrovsk,,3.77
2015,14_reg_Donetsk,,3.80
2015,15_reg_Zhytomyr,,2.01
2015,16_reg_Zakarpattya,,2.56
2015,17_reg_Zaporizhzhya,,3.40
2015,18_reg_Ivano-Frankivsk,,3.28
2015,19_reg_Kyiv,,2.98
2015,20_reg_Kirovohrad,,4.11
2015,21_reg_Luhansk,,3.91
2015,22_reg_Lviv,,2.67
2015,23_reg_Mykolayiv,,3.24
2015,24_reg_Odesa,,3.77
2015,25_reg_Poltava,,3.18
2015,26_reg_Rivne,,2.27
2015,27_reg_Sumy,,3.50
2015,28_reg_Ternopil,,3.13
2015,29_reg_Kharkiv,,4.10
2015,30_reg_Kherson,,2.45
2015,31_reg_Khmelnytskiy,,2.96
2015,32_reg_Cherkasy,,3.06
2015,33_reg_Chernivtsi,,2.60
2015,34_reg_Chernihiv,,2.41
2015,35_reg_Kyiv_city,,
2015,city_Sevastopol,,
2016,,,
2016,,zone_1_polis,
2016,,zone_2_fores_st,
2016,,zone_3_st,
2016,Ukraine,,
2016,autonomous_Republic_of_Crimea,,
2016,11_reg_Vinnytsya,,
2016,12_reg_Volyn,,
2016,13_reg_Dnipropetrovsk,,
2016,14_reg_Donetsk,,
2016,15_reg_Zhytomyr,,
2016,16_reg_Zakarpattya,,
2016,17_reg_Zaporizhzhya,,
2016,18_reg_Ivano-Frankivsk,,
2016,19_reg_Kyiv,,
2016,20_reg_Kirovohrad,,
2016,21_reg_Luhansk,,
2016,22_reg_Lviv,,
2016,23_reg_Mykolayiv,,
2016,24_reg_Odesa,,
2016,25_reg_Poltava,,
2016,26_reg_Rivne,,
2016,27_reg_Sumy,,
2016,28_reg_Ternopil,,
2016,29_reg_Kharkiv,,
2016,30_reg_Kherson,,
2016,31_reg_Khmelnytskiy,,
2016,32_reg_Cherkasy,,
2016,33_reg_Chernivtsi,,
2016,34_reg_Chernihiv,,
2016,35_reg_Kyiv_city,,
2016,city_Sevastopol,,
2017,,,
2017,,zone_1_polis,
2017,,zone_2_fores_st,
2017,,zone_3_st,
2017,Ukraine,,
2017,autonomous_Republic_of_Crimea,,
2017,11_reg_Vinnytsya,,
2017,12_reg_Volyn,,
2017,13_reg_Dnipropetrovsk,,
2017,14_reg_Donetsk,,
2017,15_reg_Zhytomyr,,
2017,16_reg_Zakarpattya,,
2017,17_reg_Zaporizhzhya,,
2017,18_reg_Ivano-Frankivsk,,
2017,19_reg_Kyiv,,
2017,20_reg_Kirovohrad,,
2017,21_reg_Luhansk,,
2017,22_reg_Lviv,,
2017,23_reg_Mykolayiv,,
2017,24_reg_Odesa,,
2017,25_reg_Poltava,,
2017,26_reg_Rivne,,
2017,27_reg_Sumy,,
2017,28_reg_Ternopil,,
2017,29_reg_Kharkiv,,
2017,30_reg_Kherson,,
2017,31_reg_Khmelnytskiy,,
2017,32_reg_Cherkasy,,
2017,33_reg_Chernivtsi,,
2017,34_reg_Chernihiv,,
2017,35_reg_Kyiv_city,,
2017,city_Sevastopol,,
2018,,,
2018,,zone_1_polis,
2018,,zone_2_fores_st,
2018,,zone_3_st,
2018,Ukraine,,
2018,autonomous_Republic_of_Crimea,,
2018,11_reg_Vinnytsya,,
2018,12_reg_Volyn,,
2018,13_reg_Dnipropetrovsk,,
2018,14_reg_Donetsk,,
2018,15_reg_Zhytomyr,,
2018,16_reg_Zakarpattya,,
2018,17_reg_Zaporizhzhya,,
2018,18_reg_Ivano-Frankivsk,,
2018,19_reg_Kyiv,,
2018,20_reg_Kirovohrad,,
2018,21_reg_Luhansk,,
2018,22_reg_Lviv,,
2018,23_reg_Mykolayiv,,
2018,24_reg_Odesa,,
2018,25_reg_Poltava,,
2018,26_reg_Rivne,,
2018,27_reg_Sumy,,
2018,28_reg_Ternopil,,
2018,29_reg_Kharkiv,,
2018,30_reg_Kherson,,
2018,31_reg_Khmelnytskiy,,
2018,32_reg_Cherkasy,,
2018,33_reg_Chernivtsi,,
2018,34_reg_Chernihiv,,
2018,35_reg_Kyiv_city,,
2018,city_Sevastopol,,
2019,,,
2019,,zone_1_polis,
2019,,zone_2_fores_st,
2019,,zone_3_st,
2019,Ukraine,,
2019,autonomous_Republic_of_Crimea,,
2019,11_reg_Vinnytsya,,
2019,12_reg_Volyn,,
2019,13_reg_Dnipropetrovsk,,
2019,14_reg_Donetsk,,
2019,15_reg_Zhytomyr,,
2019,16_reg_Zakarpattya,,
2019,17_reg_Zaporizhzhya,,
2019,18_reg_Ivano-Frankivsk,,
2019,19_reg_Kyiv,,
2019,20_reg_Kirovohrad,,
2019,21_reg_Luhansk,,
2019,22_reg_Lviv,,
2019,23_reg_Mykolayiv,,
