Year,Spheres,Status_1,Region,Value
2019,,,33_reg_Chernivtsi,
2019,,,34_reg_Chernihiv,1
2019,,,Kyiv_city,
2019,,,city_Sevastopol,
2020,,,Ukraine,192
2020,energy_water_utilities,,,55
2020,transport_infrastructure,,,5
2020,healthcare,,,2
2020,tourism_recreation_culture_sport,,,7
2020,waste_management_excl_collection_transport,,,113
2020,other_institution,,,10
2020,,implemented,,39
2020,,not_implemented,,153
2020,,suspended_due_to_war,,
2020,,,autonomous_Republic_of_Crimea,
2020,,,11_reg_Vinnytsya,
2020,,,12_reg_Volyn,
2020,,,13_reg_Dnipropetrovsk,1
2020,,,14_reg_Donetsk,8
2020,,,15_reg_Zhytomyr,1
2020,,,16_reg_Zakarpattya,4
2020,,,17_reg_Zaporizhzhya,11
2020,,,18_reg_Ivano-Frankivsk,1
2020,,,19_reg_Kyiv,13
2020,,,20_reg_Kirovohrad,2
2020,,,21_reg_Luhansk,5
2020,,,22_reg_Lviv,8
2020,,,23_reg_Mykolayiv,18
2020,,,24_reg_Odesa,1
2020,,,25_reg_Poltava,110
2020,,,26_reg_Rivne,
2020,,,27_reg_Sumy,
2020,,,28_reg_Ternopil,
2020,,,29_reg_Kharkiv,1
2020,,,30_reg_Kherson,2
2020,,,31_reg_Khmelnytskiy,4
2020,,,32_reg_Cherkasy,
2020,,,33_reg_Chernivtsi,1
2020,,,34_reg_Chernihiv,1
2020,,,Kyiv_city,
2020,,,city_Sevastopol,
2021,,,Ukraine,193
2021,energy_water_utilities,,,55
2021,transport_infrastructure,,,5
2021,healthcare,,,2
2021,tourism_recreation_culture_sport,,,7
2021,waste_management_excl_collection_transport,,,113
2021,other_institution,,,11
2021,,implemented,,31
2021,,not_implemented,,162
2021,,suspended_due_to_war,,
2021,,,autonomous_Republic_of_Crimea,
2021,,,11_reg_Vinnytsya,
2021,,,12_reg_Volyn,
2021,,,13_reg_Dnipropetrovsk,2
2021,,,14_reg_Donetsk,8
2021,,,15_reg_Zhytomyr,1
2021,,,16_reg_Zakarpattya,4
2021,,,17_reg_Zaporizhzhya,11
2021,,,18_reg_Ivano-Frankivsk,1
2021,,,19_reg_Kyiv,13
2021,,,20_reg_Kirovohrad,2
2021,,,21_reg_Luhansk,5
2021,,,22_reg_Lviv,8
2021,,,23_reg_Mykolayiv,18
2021,,,24_reg_Odesa,1
2021,,,25_reg_Poltava,110
2021,,,26_reg_Rivne,
2021,,,27_reg_Sumy,
2021,,,28_reg_Ternopil,
2021,,,29_reg_Kharkiv,1
2021,,,30_reg_Kherson,2
2021,,,31_reg_Khmelnytskiy,4
2021,,,32_reg_Cherkasy,
2021,,,33_reg_Chernivtsi,1
2021,,,34_reg_Chernihiv,1
2021,,,Kyiv_city,
2021,,,city_Sevastopol,
2022,,,Ukraine,193
2022,energy_water_utilities,,,55
2022,transport_infrastructure,,,5
2022,healthcare,,,2
2022,tourism_recreation_culture_sport,,,7
2022,waste_management_excl_collection_transport,,,113
2022,other_institution,,,11
2022,,implemented,,18
2022,,not_implemented,,162
2022,,suspended_due_to_war,,13
2022,,,autonomous_Republic_of_Crimea,
2022,,,11_reg_Vinnytsya,
2022,,,12_reg_Volyn,
2022,,,13_reg_Dnipropetrovsk,2
2022,,,14_reg_Donetsk,8
2022,,,15_reg_Zhytomyr,1
2022,,,16_reg_Zakarpattya,4
2022,,,17_reg_Zaporizhzhya,11
2022,,,18_reg_Ivano-Frankivsk,1
2022,,,19_reg_Kyiv,13
2022,,,20_reg_Kirovohrad,2
2022,,,21_reg_Luhansk,5
2022,,,22_reg_Lviv,8
2022,,,23_reg_Mykolayiv,18
2022,,,24_reg_Odesa,1
2022,,,25_reg_Poltava,110
2022,,,26_reg_Rivne,
2022,,,27_reg_Sumy,
2022,,,28_reg_Ternopil,
2022,,,29_reg_Kharkiv,1
2022,,,30_reg_Kherson,2
2022,,,31_reg_Khmelnytskiy,4
2022,,,32_reg_Cherkasy,
2022,,,33_reg_Chernivtsi,1
2022,,,34_reg_Chernihiv,1
2022,,,Kyiv_city,
2022,,,city_Sevastopol,
2023,,,Ukraine,198
2023,energy_water_utilities,,,56
2023,transport_infrastructure,,,5
2023,healthcare,,,3
2023,tourism_recreation_culture_sport,,,9
2023,waste_management_excl_collection_transport,,,114
2023,other_institution,,,11
2023,,implemented,,22
2023,,not_implemented,,166
2023,,suspended_due_to_war,,10
2023,,,autonomous_Republic_of_Crimea,
2023,,,11_reg_Vinnytsya,
2023,,,12_reg_Volyn,1
2023,,,13_reg_Dnipropetrovsk,3
2023,,,14_reg_Donetsk,8
2023,,,15_reg_Zhytomyr,1
2023,,,16_reg_Zakarpattya,4
2023,,,17_reg_Zaporizhzhya,11
2023,,,18_reg_Ivano-Frankivsk,1
2023,,,19_reg_Kyiv,14
2023,,,20_reg_Kirovohrad,2
2023,,,21_reg_Luhansk,5
2023,,,22_reg_Lviv,8
2023,,,23_reg_Mykolayiv,18
2023,,,24_reg_Odesa,2
2023,,,25_reg_Poltava,110
2023,,,26_reg_Rivne,
2023,,,27_reg_Sumy,
2023,,,28_reg_Ternopil,
2023,,,29_reg_Kharkiv,1
2023,,,30_reg_Kherson,2
2023,,,31_reg_Khmelnytskiy,4
2023,,,32_reg_Cherkasy,
2023,,,33_reg_Chernivtsi,1
2023,,,34_reg_Chernihiv,1
2023,,,Kyiv_city,
2023,,,city_Sevastopol,
2024,,,Ukraine,200
2024,energy_water_utilities,,,57
2024,transport_infrastructure,,,5
2024,healthcare,,,3
2024,tourism_recreation_culture_sport,,,10
2024,waste_management_excl_collection_transport,,,114
2024,other_institution,,,11
2024,,implemented,,22
2024,,not_implemented,,167
2024,,suspended_due_to_war,,11
2024,,,autonomous_Republic_of_Crimea,
2024,,,11_reg_Vinnytsya,
2024,,,12_reg_Volyn,1
2024,,,13_reg_Dnipropetrovsk,4
2024,,,14_reg_Donetsk,8
2024,,,15_reg_Zhytomyr,1
2024,,,16_reg_Zakarpattya,4
2024,,,17_reg_Zaporizhzhya,11
2024,,,18_reg_Ivano-Frankivsk,1
2024,,,19_reg_Kyiv,15
2024,,,20_reg_Kirovohrad,2
2024,,,21_reg_Luhansk,5
2024,,,22_reg_Lviv,8
2024,,,23_reg_Mykolayiv,18
2024,,,24_reg_Odesa,2
2024,,,25_reg_Poltava,110
2024,,,26_reg_Rivne,
2024,,,27_reg_Sumy,
2024,,,28_reg_Ternopil,
2024,,,29_reg_Kharkiv,1
2024,,,30_reg_Kherson,2
2024,,,31_reg_Khmelnytskiy,4
2024,,,32_reg_Cherkasy,
2024,,,33_reg_Chernivtsi,1
2024,,,34_reg_Chernihiv,1
2024,,,Kyiv_city,
2024,,,city_Sevastopol,
