Year,Sex,Type of residence,Households,Value
2015,,,,8.9
2016,,,,8.5
2017,,,,8.0
2018,,,,6.5
2019,,,,1.0
2020,,,,1.6
2021,,,,1.7
2022,,,,
2023,,,,
2024,,,,
2015,females,,,8.9
2016,females,,,8.1
2017,females,,,7.9
2018,females,,,6.4
2019,females,,,0.9
2020,females,,,1.7
2021,females,,,1.7
2022,females,,,
2023,females,,,
2024,females,,,
2015,males,,,8.9
2016,males,,,8.9
2017,males,,,8.2
2018,males,,,6.7
2019,males,,,1.2
2020,males,,,1.6
2021,males,,,1.7
2022,males,,,
2023,males,,,
2024,males,,,
2015,,urban,,6.8
2016,,urban,,6.7
2017,,urban,,5.8
2018,,urban,,4.2
2019,,urban,,0.7
2020,,urban,,1.4
2021,,urban,,1.4
2022,,urban,,
2023,,urban,,
2024,,urban,,
2015,,rural,,12.8
2016,,rural,,11.9
2017,,rural,,12.4
2018,,rural,,11.0
2019,,rural,,1.6
2020,,rural,,2.1
2021,,rural,,2.2
2022,,rural,,
2023,,rural,,
2024,,rural,,
2015,,,hh_ch,12.2
2016,,,hh_ch,10.8
2017,,,hh_ch,10.1
2018,,,hh_ch,8.2
2019,,,hh_ch,1.1
2020,,,hh_ch,2.0
2021,,,hh_ch,2.0
2022,,,hh_ch,
2023,,,hh_ch,
2024,,,hh_ch,
2015,,,hh_ch_0,5.0
2016,,,hh_ch_0,5.8
2017,,,hh_ch_0,5.6
2018,,,hh_ch_0,4.6
2019,,,hh_ch_0,0.9
2020,,,hh_ch_0,1.3
2021,,,hh_ch_0,1.3
2022,,,hh_ch_0,
2023,,,hh_ch_0,
2024,,,hh_ch_0,
