Year,Sea of Azov,Black Sea,Dnipro–Buh estuarine system,Lower Dniester with lakes and the Dniester Estuary (Liman),Tuzly Lagoons group,Budak (Shabolat) Lagoon,Berezan Estuary (Liman),Tyligul Estuary (Liman),Value
2019,Gammarids,,,,,,,,
2020,Gammarids,,,,,,,,
2021,Gammarids,,,,,,,,
2022,Gammarids,,,,,,,,
2023,Gammarids,,,,,,,,
2024,Gammarids,,,,,,,,
2015,Flounder (glossa),,,,,,,,
2016,Flounder (glossa),,,,,,,,
2017,Flounder (glossa),,,,,,,,
2018,Flounder (glossa),,,,,,,,
2019,Flounder (glossa),,,,,,,,
2020,Flounder (glossa),,,,,,,,9.27
2021,Flounder (glossa),,,,,,,,
2022,Flounder (glossa),,,,,,,,
2023,Flounder (glossa),,,,,,,,
2024,Flounder (glossa),,,,,,,,
2015,Eelgrass (Zostera),,,,,,,,
2016,Eelgrass (Zostera),,,,,,,,
2017,Eelgrass (Zostera),,,,,,,,
2018,Eelgrass (Zostera),,,,,,,,
2019,Eelgrass (Zostera),,,,,,,,
2020,Eelgrass (Zostera),,,,,,,,
2021,Eelgrass (Zostera),,,,,,,,
2022,Eelgrass (Zostera),,,,,,,,
2023,Eelgrass (Zostera),,,,,,,,
2024,Eelgrass (Zostera),,,,,,,,
2015,Shrimp,,,,,,,,
2016,Shrimp,,,,,,,,
2017,Shrimp,,,,,,,,
2018,Shrimp,,,,,,,,
2019,Shrimp,,,,,,,,
2020,Shrimp,,,,,,,,
2021,Shrimp,,,,,,,,
2022,Shrimp,,,,,,,,
2023,Shrimp,,,,,,,,
2024,Shrimp,,,,,,,,
2015,Noah's ark shell (Scapharca),,,,,,,,
2016,Noah's ark shell (Scapharca),,,,,,,,
2017,Noah's ark shell (Scapharca),,,,,,,,
2018,Noah's ark shell (Scapharca),,,,,,,,
2019,Noah's ark shell (Scapharca),,,,,,,,
2020,Noah's ark shell (Scapharca),,,,,,,,
2021,Noah's ark shell (Scapharca),,,,,,,,
2022,Noah's ark shell (Scapharca),,,,,,,,
2023,Noah's ark shell (Scapharca),,,,,,,,
2024,Noah's ark shell (Scapharca),,,,,,,,
2015,Bream,,,,,,,,
2016,Bream,,,,,,,,
2017,Bream,,,,,,,,
2018,Bream,,,,,,,,
2019,Bream,,,,,,,,
2020,Bream,,,,,,,,
2021,Bream,,,,,,,,
2022,Bream,,,,,,,,
2023,Bream,,,,,,,,
2024,Bream,,,,,,,,
2015,Mussel,,,,,,,,
2016,Mussel,,,,,,,,
2017,Mussel,,,,,,,,
2018,Mussel,,,,,,,,
2019,Mussel,,,,,,,,
2020,Mussel,,,,,,,,
2021,Mussel,,,,,,,,
2022,Mussel,,,,,,,,
2023,Mussel,,,,,,,,
2024,Mussel,,,,,,,,
2015,Bloodworm (chironomid larvae),,,,,,,,
2016,Bloodworm (chironomid larvae),,,,,,,,
2017,Bloodworm (chironomid larvae),,,,,,,,
2018,Bloodworm (chironomid larvae),,,,,,,,
2019,Bloodworm (chironomid larvae),,,,,,,,
2020,Bloodworm (chironomid larvae),,,,,,,,
2021,Bloodworm (chironomid larvae),,,,,,,,
2022,Bloodworm (chironomid larvae),,,,,,,,
2023,Bloodworm (chironomid larvae),,,,,,,,
2024,Bloodworm (chironomid larvae),,,,,,,,
2015,Black Sea herring,,,,,,,,
2016,Black Sea herring,,,,,,,,
2017,Black Sea herring,,,,,,,,
2018,Black Sea herring,,,,,,,,2.69
2019,Black Sea herring,,,,,,,,4.13
2020,Black Sea herring,,,,,,,,1.67
2021,Black Sea herring,,,,,,,,
2022,Black Sea herring,,,,,,,,
2023,Black Sea herring,,,,,,,,
2024,Black Sea herring,,,,,,,,
2015,So-iuy mullet (pilengas),,,,,,,,
2016,So-iuy mullet (pilengas),,,,,,,,
2017,So-iuy mullet (pilengas),,,,,,,,87.96
2018,So-iuy mullet (pilengas),,,,,,,,23.1
2019,So-iuy mullet (pilengas),,,,,,,,
2020,So-iuy mullet (pilengas),,,,,,,,9.74
2021,So-iuy mullet (pilengas),,,,,,,,
2022,So-iuy mullet (pilengas),,,,,,,,
2023,So-iuy mullet (pilengas),,,,,,,,
2024,So-iuy mullet (pilengas),,,,,,,,
2015,Roach,,,,,,,,
2016,Roach,,,,,,,,
2017,Roach,,,,,,,,
2018,Roach,,,,,,,,
2019,Roach,,,,,,,,
2020,Roach,,,,,,,,
2021,Roach,,,,,,,,
2022,Roach,,,,,,,,
2023,Roach,,,,,,,,
2024,Roach,,,,,,,,
2015,Rapana,,,,,,,,
2016,Rapana,,,,,,,,
2017,Rapana,,,,,,,,
2018,Rapana,,,,,,,,
2019,Rapana,,,,,,,,
2020,Rapana,,,,,,,,
2021,Rapana,,,,,,,,
2022,Rapana,,,,,,,,
2023,Rapana,,,,,,,,
2024,Rapana,,,,,,,,
2015,Nase,,,,,,,,
2016,Nase,,,,,,,,
2017,Nase,,,,,,,,
2018,Nase,,,,,,,,
2019,Nase,,,,,,,,
2020,Nase,,,,,,,,
2021,Nase,,,,,,,,
2022,Nase,,,,,,,,
2023,Nase,,,,,,,,
2024,Nase,,,,,,,,
2015,Zander (pike-perch),,,,,,,,
2016,Zander (pike-perch),,,,,,,,
2017,Zander (pike-perch),,,,,,,,5.5
2018,Zander (pike-perch),,,,,,,,
2019,Zander (pike-perch),,,,,,,,
2020,Zander (pike-perch),,,,,,,,
2021,Zander (pike-perch),,,,,,,,
2022,Zander (pike-perch),,,,,,,,
2023,Zander (pike-perch),,,,,,,,
2024,Zander (pike-perch),,,,,,,,
2015,Common sprat,,,,,,,,
2016,Common sprat,,,,,,,,
2017,Common sprat,,,,,,,,16.69
2018,Common sprat,,,,,,,,11.33
2019,Common sprat,,,,,,,,
2020,Common sprat,,,,,,,,
2021,Common sprat,,,,,,,,
2022,Common sprat,,,,,,,,
2023,Common sprat,,,,,,,,
2024,Common sprat,,,,,,,,
2015,Anchovy (Azov),,,,,,,,
2016,Anchovy (Azov),,,,,,,,
2017,Anchovy (Azov),,,,,,,,
2018,Anchovy (Azov),,,,,,,,
2019,Anchovy (Azov),,,,,,,,
2020,Anchovy (Azov),,,,,,,,
2021,Anchovy (Azov),,,,,,,,
2022,Anchovy (Azov),,,,,,,,
2023,Anchovy (Azov),,,,,,,,
2024,Anchovy (Azov),,,,,,,,
2015,,Sand smelt (Atherina),,,,,,,
2016,,Sand smelt (Atherina),,,,,,,
2017,,Sand smelt (Atherina),,,,,,,
2018,,Sand smelt (Atherina),,,,,,,
2019,,Sand smelt (Atherina),,,,,,,
2020,,Sand smelt (Atherina),,,,,,,
2021,,Sand smelt (Atherina),,,,,,,
2022,,Sand smelt (Atherina),,,,,,,
2023,,Sand smelt (Atherina),,,,,,,
2024,,Sand smelt (Atherina),,,,,,,
2015,,Red mullet,,,,,,,
2016,,Red mullet,,,,,,,
2017,,Red mullet,,,,,,,
2018,,Red mullet,,,,,,,
2019,,Red mullet,,,,,,,
2020,,Red mullet,,,,,,,
2021,,Red mullet,,,,,,,
2022,,Red mullet,,,,,,,
2023,,Red mullet,,,,,,,
2024,,Red mullet,,,,,,,
2015,,Goby fish,,,,,,,
2016,,Goby fish,,,,,,,
2017,,Goby fish,,,,,,,
2018,,Goby fish,,,,,,,
2019,,Goby fish,,,,,,,
2020,,Goby fish,,,,,,,
2021,,Goby fish,,,,,,,
2022,,Goby fish,,,,,,,
2023,,Goby fish,,,,,,,
2024,,Goby fish,,,,,,,
2015,,Gammarids,,,,,,,
2016,,Gammarids,,,,,,,
2017,,Gammarids,,,,,,,
2018,,Gammarids,,,,,,,
2019,,Gammarids,,,,,,,
2020,,Gammarids,,,,,,,
2021,,Gammarids,,,,,,,
2022,,Gammarids,,,,,,,
2023,,Gammarids,,,,,,,
2024,,Gammarids,,,,,,,
2015,,Flounder (glossa),,,,,,,
2016,,Flounder (glossa),,,,,,,
2017,,Flounder (glossa),,,,,,,99.82
2018,,Flounder (glossa),,,,,,,32.27
2019,,Flounder (glossa),,,,,,,7.48
2020,,Flounder (glossa),,,,,,,31.68
2021,,Flounder (glossa),,,,,,,
2022,,Flounder (glossa),,,,,,,
2023,,Flounder (glossa),,,,,,,
2024,,Flounder (glossa),,,,,,,
2015,,Black Sea garfish,,,,,,,
2016,,Black Sea garfish,,,,,,,
2017,,Black Sea garfish,,,,,,,
2018,,Black Sea garfish,,,,,,,
2019,,Black Sea garfish,,,,,,,
2020,,Black Sea garfish,,,,,,,
2021,,Black Sea garfish,,,,,,,
2022,,Black Sea garfish,,,,,,,
2023,,Black Sea garfish,,,,,,,
2024,,Black Sea garfish,,,,,,,
2015,,Black Sea sprat,,,,,,,
2016,,Black Sea sprat,,,,,,,
2017,,Black Sea sprat,,,,,,,
2018,,Black Sea sprat,,,,,,,
2019,,Black Sea sprat,,,,,,,
2020,,Black Sea sprat,,,,,,,
2021,,Black Sea sprat,,,,,,,
2022,,Black Sea sprat,,,,,,,
2023,,Black Sea sprat,,,,,,,
2024,,Black Sea sprat,,,,,,,
2015,,Shrimp,,,,,,,
2016,,Shrimp,,,,,,,
2017,,Shrimp,,,,,,,
2018,,Shrimp,,,,,,,
2019,,Shrimp,,,,,,,
2020,,Shrimp,,,,,,,
2021,,Shrimp,,,,,,,
2022,,Shrimp,,,,,,,
2023,,Shrimp,,,,,,,
2024,,Shrimp,,,,,,,
2015,,Flathead grey mullet (loban),,,,,,,
2016,,Flathead grey mullet (loban),,,,,,,
2017,,Flathead grey mullet (loban),,,,,,,
2018,,Flathead grey mullet (loban),,,,,,,
2019,,Flathead grey mullet (loban),,,,,,,
2020,,Flathead grey mullet (loban),,,,,,,
2021,,Flathead grey mullet (loban),,,,,,,
2022,,Flathead grey mullet (loban),,,,,,,
2023,,Flathead grey mullet (loban),,,,,,,
2024,,Flathead grey mullet (loban),,,,,,,
2015,,Whiting,,,,,,,
2016,,Whiting,,,,,,,
2017,,Whiting,,,,,,,
2018,,Whiting,,,,,,,
2019,,Whiting,,,,,,,
2020,,Whiting,,,,,,,
2021,,Whiting,,,,,,,
2022,,Whiting,,,,,,,
2023,,Whiting,,,,,,,
2024,,Whiting,,,,,,,
2015,,Mussel,,,,,,,
2016,,Mussel,,,,,,,
2017,,Mussel,,,,,,,
2018,,Mussel,,,,,,,
2019,,Mussel,,,,,,,
2020,,Mussel,,,,,,,
2021,,Mussel,,,,,,,
2022,,Mussel,,,,,,,
2023,,Mussel,,,,,,,
2024,,Mussel,,,,,,,
2015,,Thornback ray,,,,,,,
2016,,Thornback ray,,,,,,,
2017,,Thornback ray,,,,,,,
2018,,Thornback ray,,,,,,,
2019,,Thornback ray,,,,,,,
2020,,Thornback ray,,,,,,,
2021,,Thornback ray,,,,,,,
2022,,Thornback ray,,,,,,,
2023,,Thornback ray,,,,,,,
2024,,Thornback ray,,,,,,,
2015,,Common stingray,,,,,,,
2016,,Common stingray,,,,,,,
2017,,Common stingray,,,,,,,
2018,,Common stingray,,,,,,,
2019,,Common stingray,,,,,,,
2020,,Common stingray,,,,,,,
2021,,Common stingray,,,,,,,
2022,,Common stingray,,,,,,,
2023,,Common stingray,,,,,,,
2024,,Common stingray,,,,,,,
2015,,Black Sea herring,,,,,,,
2016,,Black Sea herring,,,,,,,
2017,,Black Sea herring,,,,,,,
2018,,Black Sea herring,,,,,,,
2019,,Black Sea herring,,,,,,,
2020,,Black Sea herring,,,,,,,
2021,,Black Sea herring,,,,,,,
2022,,Black Sea herring,,,,,,,
2023,,Black Sea herring,,,,,,,
2024,,Black Sea herring,,,,,,,
2015,,So-iuy mullet (pilengas),,,,,,,
2016,,So-iuy mullet (pilengas),,,,,,,
2017,,So-iuy mullet (pilengas),,,,,,,
2018,,So-iuy mullet (pilengas),,,,,,,
2019,,So-iuy mullet (pilengas),,,,,,,
2020,,So-iuy mullet (pilengas),,,,,,,
2021,,So-iuy mullet (pilengas),,,,,,,
2022,,So-iuy mullet (pilengas),,,,,,,
2023,,So-iuy mullet (pilengas),,,,,,,
2024,,So-iuy mullet (pilengas),,,,,,,
2015,,Rapana,,,,,,,
2016,,Rapana,,,,,,,
2017,,Rapana,,,,,,,
2018,,Rapana,,,,,,,
2019,,Rapana,,,,,,,
2020,,Rapana,,,,,,,
2021,,Rapana,,,,,,,
2022,,Rapana,,,,,,,
2023,,Rapana,,,,,,,
2024,,Rapana,,,,,,,
2015,,Garfish,,,,,,,
2016,,Garfish,,,,,,,
2017,,Garfish,,,,,,,
2018,,Garfish,,,,,,,
2019,,Garfish,,,,,,,
2020,,Garfish,,,,,,,
2021,,Garfish,,,,,,,
2022,,Garfish,,,,,,,
2023,,Garfish,,,,,,,
2024,,Garfish,,,,,,,
2015,,Golden grey mullet (singil),,,,,,,
2016,,Golden grey mullet (singil),,,,,,,
2017,,Golden grey mullet (singil),,,,,,,
2018,,Golden grey mullet (singil),,,,,,,
2019,,Golden grey mullet (singil),,,,,,,
2020,,Golden grey mullet (singil),,,,,,,
2021,,Golden grey mullet (singil),,,,,,,
2022,,Golden grey mullet (singil),,,,,,,
2023,,Golden grey mullet (singil),,,,,,,
2024,,Golden grey mullet (singil),,,,,,,
2015,,Horse mackerel,,,,,,,
2016,,Horse mackerel,,,,,,,
2017,,Horse mackerel,,,,,,,
2018,,Horse mackerel,,,,,,,
2019,,Horse mackerel,,,,,,,
2020,,Horse mackerel,,,,,,,
2021,,Horse mackerel,,,,,,,
2022,,Horse mackerel,,,,,,,
2023,,Horse mackerel,,,,,,,
2024,,Horse mackerel,,,,,,,
2015,,Common sprat,,,,,,,
2016,,Common sprat,,,,,,,
2017,,Common sprat,,,,,,,
2018,,Common sprat,,,,,,,
2019,,Common sprat,,,,,,,
2020,,Common sprat,,,,,,,
2021,,Common sprat,,,,,,,
2022,,Common sprat,,,,,,,
2023,,Common sprat,,,,,,,
2024,,Common sprat,,,,,,,
2015,,Anchovy (Black Sea),,,,,,,
2016,,Anchovy (Black Sea),,,,,,,
2017,,Anchovy (Black Sea),,,,,,,
2018,,Anchovy (Black Sea),,,,,,,
2019,,Anchovy (Black Sea),,,,,,,
2020,,Anchovy (Black Sea),,,,,,,
2021,,Anchovy (Black Sea),,,,,,,
2022,,Anchovy (Black Sea),,,,,,,
2023,,Anchovy (Black Sea),,,,,,,
2024,,Anchovy (Black Sea),,,,,,,
2015,,Cystoseira,,,,,,,
2016,,Cystoseira,,,,,,,
2017,,Cystoseira,,,,,,,
2018,,Cystoseira,,,,,,,
2019,,Cystoseira,,,,,,,
2020,,Cystoseira,,,,,,,
2021,,Cystoseira,,,,,,,
2022,,Cystoseira,,,,,,,
2023,,Cystoseira,,,,,,,
2024,,Cystoseira,,,,,,,
2015,,Black Sea turbot,,,,,,,
2016,,Black Sea turbot,,,,,,,
2017,,Black Sea turbot,,,,,,,78.27
2018,,Black Sea turbot,,,,,,,76.92
2019,,Black Sea turbot,,,,,,,74.79
2020,,Black Sea turbot,,,,,,,72.18
2021,,Black Sea turbot,,,,,,,73.4
2022,,Black Sea turbot,,,,,,,1.26
2023,,Black Sea turbot,,,,,,,
2024,,Black Sea turbot,,,,,,,
2015,,,Sand smelt (Atherina),,,,,,
2016,,,Sand smelt (Atherina),,,,,,
2017,,,Sand smelt (Atherina),,,,,,
2018,,,Sand smelt (Atherina),,,,,,
2019,,,Sand smelt (Atherina),,,,,,
2020,,,Sand smelt (Atherina),,,,,,
2021,,,Sand smelt (Atherina),,,,,,
2022,,,Sand smelt (Atherina),,,,,,
2023,,,Sand smelt (Atherina),,,,,,
2024,,,Sand smelt (Atherina),,,,,,1.18
2015,,,group_label_138,,,,,,
2016,,,group_label_138,,,,,,
2017,,,group_label_138,,,,,,
2018,,,group_label_138,,,,,,
2019,,,group_label_138,,,,,,
2020,,,group_label_138,,,,,,
2021,,,group_label_138,,,,,,
2022,,,group_label_138,,,,,,
2023,,,group_label_138,,,,,,
2024,,,group_label_138,,,,,,
2015,,,group_label_139,,,,,,
2016,,,group_label_139,,,,,,
2017,,,group_label_139,,,,,,
2018,,,group_label_139,,,,,,
2019,,,group_label_139,,,,,,
2020,,,group_label_139,,,,,,
2021,,,group_label_139,,,,,,
2022,,,group_label_139,,,,,,
2023,,,group_label_139,,,,,,
2024,,,group_label_139,,,,,,
2015,,,group_label_140,,,,,,
2016,,,group_label_140,,,,,,
2017,,,group_label_140,,,,,,
2018,,,group_label_140,,,,,,
2019,,,group_label_140,,,,,,
2020,,,group_label_140,,,,,,
2021,,,group_label_140,,,,,,
2022,,,group_label_140,,,,,,
2023,,,group_label_140,,,,,,
2024,,,group_label_140,,,,,,2.01
2015,,,group_label_141,,,,,,
2016,,,group_label_141,,,,,,
2017,,,group_label_141,,,,,,
2018,,,group_label_141,,,,,,
2019,,,group_label_141,,,,,,
2020,,,group_label_141,,,,,,
2021,,,group_label_141,,,,,,
2022,,,group_label_141,,,,,,
2023,,,group_label_141,,,,,,
2024,,,group_label_141,,,,,,
2015,,,group_label_142,,,,,,
2016,,,group_label_142,,,,,,
2017,,,group_label_142,,,,,,
2018,,,group_label_142,,,,,,
2019,,,group_label_142,,,,,,
2020,,,group_label_142,,,,,,
2021,,,group_label_142,,,,,,
2022,,,group_label_142,,,,,,
2023,,,group_label_142,,,,,,
2024,,,group_label_142,,,,,,11.14
2015,,,group_label_143,,,,,,
2016,,,group_label_143,,,,,,
2017,,,group_label_143,,,,,,
2018,,,group_label_143,,,,,,
2019,,,group_label_143,,,,,,
2020,,,group_label_143,,,,,,
2021,,,group_label_143,,,,,,
2022,,,group_label_143,,,,,,
2023,,,group_label_143,,,,,,
2024,,,group_label_143,,,,,,1.76
2015,,,group_label_144,,,,,,
2016,,,group_label_144,,,,,,
2017,,,group_label_144,,,,,,
2018,,,group_label_144,,,,,,
2019,,,group_label_144,,,,,,
2020,,,group_label_144,,,,,,
2021,,,group_label_144,,,,,,
2022,,,group_label_144,,,,,,
2023,,,group_label_144,,,,,,
2024,,,group_label_144,,,,,,2.33
2015,,,Bream,,,,,,
2016,,,Bream,,,,,,
2017,,,Bream,,,,,,60.18
2018,,,Bream,,,,,,69.33
2019,,,Bream,,,,,,71.96
2020,,,Bream,,,,,,58.95
2021,,,Bream,,,,,,67.45
2022,,,Bream,,,,,,2.43
2023,,,Bream,,,,,,9.2
2024,,,Bream,,,,,,6.19
2015,,,group_label_145,,,,,,
2016,,,group_label_145,,,,,,
2017,,,group_label_145,,,,,,
2018,,,group_label_145,,,,,,
2019,,,group_label_145,,,,,,
2020,,,group_label_145,,,,,,
2021,,,group_label_145,,,,,,
2022,,,group_label_145,,,,,,
2023,,,group_label_145,,,,,,
2024,,,group_label_145,,,,,,7.44
2015,,,group_label_146,,,,,,
2016,,,group_label_146,,,,,,
2017,,,group_label_146,,,,,,
2018,,,group_label_146,,,,,,
2019,,,group_label_146,,,,,,
2020,,,group_label_146,,,,,,
2021,,,group_label_146,,,,,,
2022,,,group_label_146,,,,,,
2023,,,group_label_146,,,,,,
2024,,,group_label_146,,,,,,1.67
2015,,,Black Sea herring,,,,,,
2016,,,Black Sea herring,,,,,,
2017,,,Black Sea herring,,,,,,
2018,,,Black Sea herring,,,,,,
2019,,,Black Sea herring,,,,,,
2020,,,Black Sea herring,,,,,,
2021,,,Black Sea herring,,,,,,
2022,,,Black Sea herring,,,,,,
2023,,,Black Sea herring,,,,,,
2024,,,Black Sea herring,,,,,,7.81
2015,,,So-iuy mullet (pilengas),,,,,,
2016,,,So-iuy mullet (pilengas),,,,,,
2017,,,So-iuy mullet (pilengas),,,,,,
2018,,,So-iuy mullet (pilengas),,,,,,
2019,,,So-iuy mullet (pilengas),,,,,,
2020,,,So-iuy mullet (pilengas),,,,,,
2021,,,So-iuy mullet (pilengas),,,,,,
2022,,,So-iuy mullet (pilengas),,,,,,
2023,,,So-iuy mullet (pilengas),,,,,,
2024,,,So-iuy mullet (pilengas),,,,,,
2015,,,group_label_147,,,,,,
2016,,,group_label_147,,,,,,
2017,,,group_label_147,,,,,,
2018,,,group_label_147,,,,,,
2019,,,group_label_147,,,,,,
2020,,,group_label_147,,,,,,
2021,,,group_label_147,,,,,,
2022,,,group_label_147,,,,,,
2023,,,group_label_147,,,,,,
2024,,,group_label_147,,,,,,2.78
2015,,,group_label_148,,,,,,
2016,,,group_label_148,,,,,,
2017,,,group_label_148,,,,,,
2018,,,group_label_148,,,,,,
2019,,,group_label_148,,,,,,
2020,,,group_label_148,,,,,,
2021,,,group_label_148,,,,,,
2022,,,group_label_148,,,,,,
2023,,,group_label_148,,,,,,
2024,,,group_label_148,,,,,,14.95
2015,,,group_label_149,,,,,,
2016,,,group_label_149,,,,,,
2017,,,group_label_149,,,,,,
2018,,,group_label_149,,,,,,
2019,,,group_label_149,,,,,,
2020,,,group_label_149,,,,,,
2021,,,group_label_149,,,,,,
2022,,,group_label_149,,,,,,
2023,,,group_label_149,,,,,,
2024,,,group_label_149,,,,,,0.59
2015,,,group_label_150,,,,,,
2016,,,group_label_150,,,,,,
2017,,,group_label_150,,,,,,
2018,,,group_label_150,,,,,,
2019,,,group_label_150,,,,,,
2020,,,group_label_150,,,,,,
2021,,,group_label_150,,,,,,
2022,,,group_label_150,,,,,,
2023,,,group_label_150,,,,,,
2024,,,group_label_150,,,,,,
2015,,,group_label_151,,,,,,
2016,,,group_label_151,,,,,,
2017,,,group_label_151,,,,,,
2018,,,group_label_151,,,,,,
2019,,,group_label_151,,,,,,
2020,,,group_label_151,,,,,,
2021,,,group_label_151,,,,,,
2022,,,group_label_151,,,,,,
2023,,,group_label_151,,,,,,
2024,,,group_label_151,,,,,,3.95
2015,,,group_label_152,,,,,,
2016,,,group_label_152,,,,,,
2017,,,group_label_152,,,,,,
2018,,,group_label_152,,,,,,
2019,,,group_label_152,,,,,,
2020,,,group_label_152,,,,,,
2021,,,group_label_152,,,,,,
2022,,,group_label_152,,,,,,
2023,,,group_label_152,,,,,,
2024,,,group_label_152,,,,,,5.63
2015,,,group_label_153,,,,,,
2016,,,group_label_153,,,,,,
2017,,,group_label_153,,,,,,
2018,,,group_label_153,,,,,,
2019,,,group_label_153,,,,,,
2020,,,group_label_153,,,,,,
2021,,,group_label_153,,,,,,
2022,,,group_label_153,,,,,,
2023,,,group_label_153,,,,,,
2024,,,group_label_153,,,,,,2.98
2015,,,Zander (pike-perch),,,,,,
2016,,,Zander (pike-perch),,,,,,
2017,,,Zander (pike-perch),,,,,,67.66
2018,,,Zander (pike-perch),,,,,,67.92
2019,,,Zander (pike-perch),,,,,,77.7
2020,,,Zander (pike-perch),,,,,,20.04
2021,,,Zander (pike-perch),,,,,,80.69
2022,,,Zander (pike-perch),,,,,,3.29
2023,,,Zander (pike-perch),,,,,,19.82
2024,,,Zander (pike-perch),,,,,,12.21
2015,,,group_label_154,,,,,,
2016,,,group_label_154,,,,,,
2017,,,group_label_154,,,,,,64.73
2018,,,group_label_154,,,,,,75.92
2019,,,group_label_154,,,,,,74.15
2020,,,group_label_154,,,,,,29.82
2021,,,group_label_154,,,,,,69.77
2022,,,group_label_154,,,,,,5.52
2023,,,group_label_154,,,,,,18.14
2024,,,group_label_154,,,,,,11.86
2015,,,Common sprat,,,,,,
2016,,,Common sprat,,,,,,
2017,,,Common sprat,,,,,,
2018,,,Common sprat,,,,,,
2019,,,Common sprat,,,,,,
2020,,,Common sprat,,,,,,
2021,,,Common sprat,,,,,,
2022,,,Common sprat,,,,,,
2023,,,Common sprat,,,,,,
2024,,,Common sprat,,,,,,12.84
2015,,,Anchovy (Black Sea),,,,,,
2016,,,Anchovy (Black Sea),,,,,,
2017,,,Anchovy (Black Sea),,,,,,
2018,,,Anchovy (Black Sea),,,,,,
2019,,,Anchovy (Black Sea),,,,,,
2020,,,Anchovy (Black Sea),,,,,,
2021,,,Anchovy (Black Sea),,,,,,
2022,,,Anchovy (Black Sea),,,,,,
2023,,,Anchovy (Black Sea),,,,,,
2024,,,Anchovy (Black Sea),,,,,,
2015,,,group_label_155,,,,,,
2016,,,group_label_155,,,,,,
2017,,,group_label_155,,,,,,
2018,,,group_label_155,,,,,,
2019,,,group_label_155,,,,,,
2020,,,group_label_155,,,,,,
2021,,,group_label_155,,,,,,
2022,,,group_label_155,,,,,,
2023,,,group_label_155,,,,,,
2024,,,group_label_155,,,,,,
2015,,,group_label_156,,,,,,
2016,,,group_label_156,,,,,,
2017,,,group_label_156,,,,,,
2018,,,group_label_156,,,,,,
2019,,,group_label_156,,,,,,
2020,,,group_label_156,,,,,,
2021,,,group_label_156,,,,,,
2022,,,group_label_156,,,,,,
2023,,,group_label_156,,,,,,
2024,,,group_label_156,,,,,,8.28
2015,,,,group_label_138,,,,,
2016,,,,group_label_138,,,,,
2017,,,,group_label_138,,,,,
2018,,,,group_label_138,,,,,
2019,,,,group_label_138,,,,,
2020,,,,group_label_138,,,,,
2021,,,,group_label_138,,,,,
2022,,,,group_label_138,,,,,
2023,,,,group_label_138,,,,,
2024,,,,group_label_138,,,,,6.8
2015,,,,group_label_139,,,,,
2016,,,,group_label_139,,,,,
2017,,,,group_label_139,,,,,
2018,,,,group_label_139,,,,,
2019,,,,group_label_139,,,,,
2020,,,,group_label_139,,,,,
2021,,,,group_label_139,,,,,
2022,,,,group_label_139,,,,,
2023,,,,group_label_139,,,,,
2024,,,,group_label_139,,,,,38.7
2015,,,,group_label_142,,,,,
2016,,,,group_label_142,,,,,
2017,,,,group_label_142,,,,,
2018,,,,group_label_142,,,,,
2019,,,,group_label_142,,,,,
2020,,,,group_label_142,,,,,
2021,,,,group_label_142,,,,,
