Year,Region,Value
2015,Ukraine,97.7
2016,Ukraine,100.0
2017,Ukraine,98.3
2018,Ukraine,96.1
2019,Ukraine,99.3
2020,Ukraine,97.2
2021,Ukraine,98.2
2022,Ukraine,98.6
2023,Ukraine,97.2
2024,Ukraine,97.2
2015,autonomous_Republic_of_Crimea,
2016,autonomous_Republic_of_Crimea,
2017,autonomous_Republic_of_Crimea,
2018,autonomous_Republic_of_Crimea,
2019,autonomous_Republic_of_Crimea,
2020,autonomous_Republic_of_Crimea,
2021,autonomous_Republic_of_Crimea,
2022,autonomous_Republic_of_Crimea,
2023,autonomous_Republic_of_Crimea,
2024,autonomous_Republic_of_Crimea,
2015,11_reg_Vinnytsya,98.9
2016,11_reg_Vinnytsya,100.0
2017,11_reg_Vinnytsya,98.6
2018,11_reg_Vinnytsya,99.4
2019,11_reg_Vinnytsya,99.8
2020,11_reg_Vinnytsya,97.8
2021,11_reg_Vinnytsya,97.6
2022,11_reg_Vinnytsya,100.0
2023,11_reg_Vinnytsya,100.0
2024,11_reg_Vinnytsya,100.0
2015,12_reg_Volyn,99.3
2016,12_reg_Volyn,100.0
2017,12_reg_Volyn,97.1
2018,12_reg_Volyn,100.0
2019,12_reg_Volyn,100.0
2020,12_reg_Volyn,100.0
2021,12_reg_Volyn,100.0
2022,12_reg_Volyn,100.0
2023,12_reg_Volyn,100.0
2024,12_reg_Volyn,100.0
2015,13_reg_Dnipropetrovsk,100.0
2016,13_reg_Dnipropetrovsk,100.0
2017,13_reg_Dnipropetrovsk,100.0
2018,13_reg_Dnipropetrovsk,100.0
2019,13_reg_Dnipropetrovsk,100.0
2020,13_reg_Dnipropetrovsk,100.0
2021,13_reg_Dnipropetrovsk,100.0
2022,13_reg_Dnipropetrovsk,100.0
2023,13_reg_Dnipropetrovsk,
2024,13_reg_Dnipropetrovsk,50.0
2015,14_reg_Donetsk,100.0
2016,14_reg_Donetsk,100.0
2017,14_reg_Donetsk,100.0
2018,14_reg_Donetsk,100.0
2019,14_reg_Donetsk,100.0
2020,14_reg_Donetsk,100.0
2021,14_reg_Donetsk,100.0
2022,14_reg_Donetsk,100.0
2023,14_reg_Donetsk,100.0
2024,14_reg_Donetsk,100.0
2015,15_reg_Zhytomyr,100.0
2016,15_reg_Zhytomyr,100.0
2017,15_reg_Zhytomyr,99.0
2018,15_reg_Zhytomyr,96.8
2019,15_reg_Zhytomyr,100.0
2020,15_reg_Zhytomyr,100.0
2021,15_reg_Zhytomyr,100.0
2022,15_reg_Zhytomyr,100.0
2023,15_reg_Zhytomyr,100.0
2024,15_reg_Zhytomyr,100.0
2015,16_reg_Zakarpattya,100.0
2016,16_reg_Zakarpattya,100.0
2017,16_reg_Zakarpattya,100.0
2018,16_reg_Zakarpattya,100.0
2019,16_reg_Zakarpattya,100.0
2020,16_reg_Zakarpattya,100.0
2021,16_reg_Zakarpattya,68.8
2022,16_reg_Zakarpattya,100.0
2023,16_reg_Zakarpattya,93.1
2024,16_reg_Zakarpattya,100.0
2015,17_reg_Zaporizhzhya,100.0
2016,17_reg_Zaporizhzhya,100.0
2017,17_reg_Zaporizhzhya,99.0
2018,17_reg_Zaporizhzhya,98.7
2019,17_reg_Zaporizhzhya,100.0
2020,17_reg_Zaporizhzhya,100.0
2021,17_reg_Zaporizhzhya,100.0
2022,17_reg_Zaporizhzhya,100.0
2023,17_reg_Zaporizhzhya,100.0
2024,17_reg_Zaporizhzhya,100.0
2015,18_reg_Ivano-Frankivsk,100.0
2016,18_reg_Ivano-Frankivsk,100.0
2017,18_reg_Ivano-Frankivsk,100.0
2018,18_reg_Ivano-Frankivsk,78.0
2019,18_reg_Ivano-Frankivsk,100.0
2020,18_reg_Ivano-Frankivsk,100.0
2021,18_reg_Ivano-Frankivsk,100.0
2022,18_reg_Ivano-Frankivsk,100.0
2023,18_reg_Ivano-Frankivsk,100.0
2024,18_reg_Ivano-Frankivsk,97.4
2015,19_reg_Kyiv,100.0
2016,19_reg_Kyiv,100.0
2017,19_reg_Kyiv,100.0
2018,19_reg_Kyiv,100.0
2019,19_reg_Kyiv,100.0
2020,19_reg_Kyiv,100.0
2021,19_reg_Kyiv,100.0
2022,19_reg_Kyiv,100.0
2023,19_reg_Kyiv,100.0
2024,19_reg_Kyiv,100.0
2015,20_reg_Kirovohrad,100.0
2016,20_reg_Kirovohrad,100.0
2017,20_reg_Kirovohrad,99.0
2018,20_reg_Kirovohrad,100.0
2019,20_reg_Kirovohrad,100.0
2020,20_reg_Kirovohrad,100.0
2021,20_reg_Kirovohrad,100.0
2022,20_reg_Kirovohrad,100.0
2023,20_reg_Kirovohrad,100.0
2024,20_reg_Kirovohrad,100.0
2015,21_reg_Luhansk,100.0
2016,21_reg_Luhansk,100.0
2017,21_reg_Luhansk,100.0
2018,21_reg_Luhansk,100.0
2019,21_reg_Luhansk,100.0
2020,21_reg_Luhansk,98.9
2021,21_reg_Luhansk,100.0
2022,21_reg_Luhansk,
2023,21_reg_Luhansk,
2024,21_reg_Luhansk,
2015,22_reg_Lviv,98.5
2016,22_reg_Lviv,100.0
2017,22_reg_Lviv,100.0
2018,22_reg_Lviv,75.8
2019,22_reg_Lviv,100.0
2020,22_reg_Lviv,80.0
2021,22_reg_Lviv,100.0
2022,22_reg_Lviv,100.0
2023,22_reg_Lviv,100.0
2024,22_reg_Lviv,100.0
2015,23_reg_Mykolayiv,100.0
2016,23_reg_Mykolayiv,100.0
2017,23_reg_Mykolayiv,100.0
2018,23_reg_Mykolayiv,100.0
2019,23_reg_Mykolayiv,84.6
2020,23_reg_Mykolayiv,100.0
2021,23_reg_Mykolayiv,100.0
2022,23_reg_Mykolayiv,100.0
2023,23_reg_Mykolayiv,100.0
2024,23_reg_Mykolayiv,100.0
2015,24_reg_Odesa,89.4
2016,24_reg_Odesa,100.0
2017,24_reg_Odesa,100.0
2018,24_reg_Odesa,100.0
2019,24_reg_Odesa,100.0
2020,24_reg_Odesa,85.5
2021,24_reg_Odesa,70.9
2022,24_reg_Odesa,72.5
2023,24_reg_Odesa,100.0
2024,24_reg_Odesa,87.5
2015,25_reg_Poltava,89.3
2016,25_reg_Poltava,100.0
2017,25_reg_Poltava,92.8
2018,25_reg_Poltava,94.7
2019,25_reg_Poltava,100.0
2020,25_reg_Poltava,63.6
2021,25_reg_Poltava,100.0
2022,25_reg_Poltava,100.0
2023,25_reg_Poltava,100.0
2024,25_reg_Poltava,87.9
2015,26_reg_Rivne,99.3
2016,26_reg_Rivne,100.0
2017,26_reg_Rivne,100.0
2018,26_reg_Rivne,100.0
2019,26_reg_Rivne,100.0
2020,26_reg_Rivne,100.0
2021,26_reg_Rivne,100.0
2022,26_reg_Rivne,100.0
2023,26_reg_Rivne,100.0
2024,26_reg_Rivne,100.0
2015,27_reg_Sumy,93.0
2016,27_reg_Sumy,100.0
2017,27_reg_Sumy,98.1
2018,27_reg_Sumy,99.1
2019,27_reg_Sumy,99.7
2020,27_reg_Sumy,99.0
2021,27_reg_Sumy,98.2
2022,27_reg_Sumy,100.0
2023,27_reg_Sumy,96.4
2024,27_reg_Sumy,96.5
2015,28_reg_Ternopil,100.0
2016,28_reg_Ternopil,100.0
2017,28_reg_Ternopil,99.0
2018,28_reg_Ternopil,98.6
2019,28_reg_Ternopil,100.0
2020,28_reg_Ternopil,98.9
2021,28_reg_Ternopil,99.0
2022,28_reg_Ternopil,100.0
2023,28_reg_Ternopil,100.0
2024,28_reg_Ternopil,93.3
2015,29_reg_Kharkiv,95.7
2016,29_reg_Kharkiv,100.0
2017,29_reg_Kharkiv,98.8
2018,29_reg_Kharkiv,100.0
2019,29_reg_Kharkiv,100.0
2020,29_reg_Kharkiv,100.0
2021,29_reg_Kharkiv,99.6
2022,29_reg_Kharkiv,100.0
2023,29_reg_Kharkiv,100.0
2024,29_reg_Kharkiv,100.0
2015,30_reg_Kherson,98.1
2016,30_reg_Kherson,100.0
2017,30_reg_Kherson,100.0
2018,30_reg_Kherson,94.4
2019,30_reg_Kherson,100.0
2020,30_reg_Kherson,100.0
2021,30_reg_Kherson,100.0
2022,30_reg_Kherson,
2023,30_reg_Kherson,
2024,30_reg_Kherson,
2015,31_reg_Khmelnytskiy,90.1
2016,31_reg_Khmelnytskiy,100.0
2017,31_reg_Khmelnytskiy,96.1
2018,31_reg_Khmelnytskiy,98.8
2019,31_reg_Khmelnytskiy,96.3
2020,31_reg_Khmelnytskiy,100.0
2021,31_reg_Khmelnytskiy,98.8
2022,31_reg_Khmelnytskiy,89.2
2023,31_reg_Khmelnytskiy,100.0
2024,31_reg_Khmelnytskiy,87.5
2015,32_reg_Cherkasy,100.0
2016,32_reg_Cherkasy,100.0
2017,32_reg_Cherkasy,96.6
2018,32_reg_Cherkasy,99.2
2019,32_reg_Cherkasy,100.0
2020,32_reg_Cherkasy,99.1
2021,32_reg_Cherkasy,99.4
2022,32_reg_Cherkasy,100.0
2023,32_reg_Cherkasy,97.2
2024,32_reg_Cherkasy,96.4
2015,33_reg_Chernivtsi,98.8
2016,33_reg_Chernivtsi,100.0
2017,33_reg_Chernivtsi,97.8
2018,33_reg_Chernivtsi,65.2
2019,33_reg_Chernivtsi,90.4
2020,33_reg_Chernivtsi,100.0
2021,33_reg_Chernivtsi,99.3
2022,33_reg_Chernivtsi,100.0
2023,33_reg_Chernivtsi,71.4
2024,33_reg_Chernivtsi,100.0
2015,34_reg_Chernihiv,96.6
2016,34_reg_Chernihiv,100.0
2017,34_reg_Chernihiv,95.5
2018,34_reg_Chernihiv,89.5
2019,34_reg_Chernihiv,93.6
2020,34_reg_Chernihiv,93.8
2021,34_reg_Chernihiv,94.3
2022,34_reg_Chernihiv,81.5
2023,34_reg_Chernihiv,68.8
2024,34_reg_Chernihiv,86.5
2015,35_reg_Kyiv_city,
2016,35_reg_Kyiv_city,
