Year,Область,Вік,Стать,Статус субʼєкта звернення,"Тип органу, що утворив ЦНАП",Value
2015,,14-18 років,,,,
2015,,19-25 років,,,,
2015,,26-35 років,,,,
2015,,36-45 років,,,,
2015,,46-60 років,,,,
2015,,більше 60 років,,,,
2015,,,жінки,,,
2015,,,Чоловіча,,,
2015,,,,фізична особа,,
2015,,,,фізична особа-підприємець,,
2015,,,,юридична особа,,
2015,,,,,міська рада,
2015,,,,,селищна рада,
2015,,,,,сільська рада,
2015,Україна,,,,,
2015,Автономна Республіка Крим,,,,,
2015,Вінницька,,,,,
2015,Волинська,,,,,
2015,Дніпропетровська,,,,,
2015,Донецька,,,,,
2015,Житомирська,,,,,
2015,Закарпатська,,,,,
2015,Запорізька,,,,,
2015,Івано-Франківська,,,,,
2015,Київська,,,,,
2015,Кіровоградська,,,,,
2015,Луганська,,,,,
2015,Львівська,,,,,
2015,Миколаївська,,,,,
2015,Одеська,,,,,
2015,Полтавська,,,,,
2015,Рівненська,,,,,
2015,Сумська,,,,,
2015,Тернопільська,,,,,
2015,Харківська,,,,,
2015,Херсонська,,,,,
2015,Хмельницька,,,,,
2015,Черкаська,,,,,
2015,Чернівецька,,,,,
2015,Чернігівська,,,,,
2015,м. Київ,,,,,
2015,м. Севастополь,,,,,
2016,,14-18 років,,,,
2016,,19-25 років,,,,
2016,,26-35 років,,,,
2016,,36-45 років,,,,
2016,,46-60 років,,,,
2016,,більше 60 років,,,,
2016,,,жінки,,,
2016,,,Чоловіча,,,
2016,,,,фізична особа,,
2016,,,,фізична особа-підприємець,,
2016,,,,юридична особа,,
2016,,,,,міська рада,
2016,,,,,селищна рада,
2016,,,,,сільська рада,
2016,Україна,,,,,
2016,Автономна Республіка Крим,,,,,
2016,Вінницька,,,,,
2016,Волинська,,,,,
2016,Дніпропетровська,,,,,
2016,Донецька,,,,,
2016,Житомирська,,,,,
2016,Закарпатська,,,,,
2016,Запорізька,,,,,
2016,Івано-Франківська,,,,,
2016,Київська,,,,,
2016,Кіровоградська,,,,,
2016,Луганська,,,,,
2016,Львівська,,,,,
2016,Миколаївська,,,,,
2016,Одеська,,,,,
