Year,Область,Вік,Стать,Тип місцевості проживання,Освіта,Працевлаштованість,Рівень доходу,Ознака переміщення,Value
2015,Україна,,,,,,,,
2016,Україна,,,,,,,,
2017,Україна,,,,,,,,
2018,Україна,,,,,,,,
2019,Україна,,,,,,,,
2020,Україна,,,,,,,,
2021,Україна,,,,,,,,5.1
2022,Україна,,,,,,,,
2023,Україна,,,,,,,,5.5
2024,Україна,,,,,,,,5.2
2015,Автономна Республіка Крим,,,,,,,,
2016,Автономна Республіка Крим,,,,,,,,
2017,Автономна Республіка Крим,,,,,,,,
2018,Автономна Республіка Крим,,,,,,,,
2019,Автономна Республіка Крим,,,,,,,,
2020,Автономна Республіка Крим,,,,,,,,
2021,Автономна Республіка Крим,,,,,,,,
2022,Автономна Республіка Крим,,,,,,,,
2023,Автономна Республіка Крим,,,,,,,,
2024,Автономна Республіка Крим,,,,,,,,
2015,Вінницька,,,,,,,,
2016,Вінницька,,,,,,,,
2017,Вінницька,,,,,,,,
2018,Вінницька,,,,,,,,
2019,Вінницька,,,,,,,,
2020,Вінницька,,,,,,,,
2021,Вінницька,,,,,,,,5.5
2022,Вінницька,,,,,,,,
2023,Вінницька,,,,,,,,5.8
2024,Вінницька,,,,,,,,5.5
2015,Волинська,,,,,,,,
2016,Волинська,,,,,,,,
2017,Волинська,,,,,,,,
2018,Волинська,,,,,,,,
2019,Волинська,,,,,,,,
2020,Волинська,,,,,,,,
2021,Волинська,,,,,,,,6.1
2022,Волинська,,,,,,,,
2023,Волинська,,,,,,,,5.2
2024,Волинська,,,,,,,,5.7
2015,Дніпропетровська,,,,,,,,
2016,Дніпропетровська,,,,,,,,
2017,Дніпропетровська,,,,,,,,
2018,Дніпропетровська,,,,,,,,
2019,Дніпропетровська,,,,,,,,
2020,Дніпропетровська,,,,,,,,
2021,Дніпропетровська,,,,,,,,5.3
2022,Дніпропетровська,,,,,,,,
2023,Дніпропетровська,,,,,,,,6.0
2024,Дніпропетровська,,,,,,,,5.4
2015,Донецька,,,,,,,,
2016,Донецька,,,,,,,,
2017,Донецька,,,,,,,,
2018,Донецька,,,,,,,,
2019,Донецька,,,,,,,,
2020,Донецька,,,,,,,,
2021,Донецька,,,,,,,,4.8
2022,Донецька,,,,,,,,
2023,Донецька,,,,,,,,
2024,Донецька,,,,,,,,
2015,Житомирська,,,,,,,,
2016,Житомирська,,,,,,,,
2017,Житомирська,,,,,,,,
2018,Житомирська,,,,,,,,
2019,Житомирська,,,,,,,,
2020,Житомирська,,,,,,,,
2021,Житомирська,,,,,,,,5.4
2022,Житомирська,,,,,,,,
2023,Житомирська,,,,,,,,5.0
2024,Житомирська,,,,,,,,5.0
2015,Закарпатська,,,,,,,,
