Year,Область,Value
2016,,0.09
2016,Автономна Республіка Крим,
2016,Вінницька,0.26
2016,Волинська,0.0
2016,Дніпропетровська,0.07
2016,Донецька,0.14
2016,Житомирська,0.33
2016,Закарпатська,0.04
2016,Запорізька,0.31
2016,Івано-Франківська,0.22
2016,Київська,0.75
2016,Кіровоградська,0.16
2016,Луганська,0.91
2016,Львівська,0.02
2016,Миколаївська,0.0
2016,Одеська,0.46
2016,Полтавська,0.13
2016,Рівненська,0.06
2016,Сумська,0.47
2016,Тернопільська,0.49
2016,Харківська,0.37
2016,Херсонська,0.07
2016,Хмельницька,0.2
2016,Черкаська,0.54
2016,Чернівецька,0.32
2016,Чернігівська,0.34
2016,м. Київ,0.07
2016,м. Севастополь,
2017,,0.13
2017,Автономна Республіка Крим,
2017,Вінницька,0.35
2017,Волинська,0.06
2017,Дніпропетровська,0.14
2017,Донецька,0.2
2017,Житомирська,0.45
2017,Закарпатська,0.06
2017,Запорізька,0.4
2017,Івано-Франківська,0.32
2017,Київська,0.7
2017,Кіровоградська,0.2
2017,Луганська,1.09
2017,Львівська,0.03
2017,Миколаївська,0.04
2017,Одеська,0.6
2017,Полтавська,0.19
2017,Рівненська,0.1
2017,Сумська,0.39
2017,Тернопільська,0.64
2017,Харківська,0.33
2017,Херсонська,0.11
2017,Хмельницька,0.21
2017,Черкаська,0.75
2017,Чернівецька,0.29
2017,Чернігівська,0.47
2017,м. Київ,0.12
2017,м. Севастополь,
2018,,0.13
2018,Автономна Республіка Крим,
2018,Вінницька,0.36
2018,Волинська,0.04
2018,Дніпропетровська,0.13
2018,Донецька,0.22
2018,Житомирська,0.38
2018,Закарпатська,0.08
2018,Запорізька,0.41
2018,Івано-Франківська,0.32
2018,Київська,0.28
2018,Кіровоградська,0.21
2018,Луганська,1.16
2018,Львівська,0.03
2018,Миколаївська,0.04
2018,Одеська,0.51
2018,Полтавська,0.27
2018,Рівненська,0.09
2018,Сумська,0.45
2018,Тернопільська,0.7
2018,Харківська,0.25
2018,Херсонська,0.13
2018,Хмельницька,0.24
2018,Черкаська,0.81
2018,Чернівецька,0.34
2018,Чернігівська,0.53
2018,м. Київ,0.1
2018,м. Севастополь,
2019,,0.15
2019,Автономна Республіка Крим,
2019,Вінницька,0.48
2019,Волинська,0.07
2019,Дніпропетровська,0.13
2019,Донецька,0.25
2019,Житомирська,0.32
2019,Закарпатська,0.11
2019,Запорізька,0.45
2019,Івано-Франківська,0.3
2019,Київська,0.13
2019,Кіровоградська,0.24
2019,Луганська,1.28
2019,Львівська,0.03
2019,Миколаївська,0.05
2019,Одеська,0.69
2019,Полтавська,0.33
2019,Рівненська,0.11
2019,Сумська,0.48
2019,Тернопільська,0.65
2019,Харківська,0.22
2019,Херсонська,0.14
2019,Хмельницька,0.27
2019,Черкаська,0.71
2019,Чернівецька,0.32
2019,Чернігівська,0.55
2019,м. Київ,0.08
2019,м. Севастополь,
2020,,0.17
2020,Автономна Республіка Крим,
2020,Вінницька,0.44
2020,Волинська,0.07
2020,Дніпропетровська,0.12
2020,Донецька,0.28
2020,Житомирська,0.29
2020,Закарпатська,0.16
2020,Запорізька,0.47
2020,Івано-Франківська,0.35
2020,Київська,0.27
2020,Кіровоградська,0.24
2020,Луганська,1.04
2020,Львівська,0.05
2020,Миколаївська,0.04
2020,Одеська,0.65
2020,Полтавська,0.32
2020,Рівненська,0.11
2020,Сумська,0.62
2020,Тернопільська,0.69
2020,Харківська,0.24
2020,Херсонська,0.14
2020,Хмельницька,0.31
2020,Черкаська,0.62
2020,Чернівецька,0.31
2020,Чернігівська,0.62
2020,м. Київ,0.16
2020,м. Севастополь,
2021,,0.23
2021,Автономна Республіка Крим,
2021,Вінницька,0.54
2021,Волинська,0.13
2021,Дніпропетровська,0.17
2021,Донецька,0.43
2021,Житомирська,0.46
2021,Закарпатська,0.2
2021,Запорізька,0.77
2021,Івано-Франківська,0.57
2021,Київська,0.32
2021,Кіровоградська,0.34
2021,Луганська,1.17
2021,Львівська,0.07
2021,Миколаївська,0.05
2021,Одеська,1.04
2021,Полтавська,0.34
2021,Рівненська,0.19
2021,Сумська,0.75
2021,Тернопільська,1.02
2021,Харківська,0.56
2021,Херсонська,0.2
2021,Хмельницька,0.39
2021,Черкаська,0.72
2021,Чернівецька,0.38
2021,Чернігівська,1.0
2021,м. Київ,0.25
2021,м. Севастополь,
2022,,0.23
2022,Автономна Республіка Крим,
2022,Вінницька,0.44
2022,Волинська,0.06
2022,Дніпропетровська,0.13
2022,Донецька,0.44
2022,Житомирська,0.4
2022,Закарпатська,0.23
2022,Запорізька,0.7
2022,Івано-Франківська,0.54
2022,Київська,0.28
2022,Кіровоградська,0.42
2022,Луганська,0.74
2022,Львівська,0.09
2022,Миколаївська,0.05
2022,Одеська,0.96
2022,Полтавська,0.26
2022,Рівненська,0.18
2022,Сумська,0.68
2022,Тернопільська,0.76
2022,Харківська,0.5
2022,Херсонська,0.17
2022,Хмельницька,0.51
2022,Черкаська,0.62
2022,Чернівецька,0.42
2022,Чернігівська,0.87
2022,м. Київ,0.24
2022,м. Севастополь,
2023,,0.45
2023,Автономна Республіка Крим,
2023,Вінницька,0.43
2023,Волинська,0.46
2023,Дніпропетровська,0.08
2023,Донецька,0.82
2023,Житомирська,0.56
2023,Закарпатська,0.33
2023,Запорізька,0.65
2023,Івано-Франківська,0.45
2023,Київська,0.47
2023,Кіровоградська,0.77
2023,Луганська,0.39
2023,Львівська,0.26
2023,Миколаївська,0.21
2023,Одеська,0.68
2023,Полтавська,0.39
2023,Рівненська,0.33
2023,Сумська,0.62
2023,Тернопільська,1.26
2023,Харківська,0.48
2023,Херсонська,0.32
2023,Хмельницька,0.85
2023,Черкаська,0.49
2023,Чернівецька,0.37
2023,Чернігівська,0.9
2023,м. Київ,0.36
2023,м. Севастополь,
2024,,1.15
2024,Автономна Республіка Крим,
2024,Вінницька,0.86
2024,Волинська,1.34
2024,Дніпропетровська,1.72
2024,Донецька,0.99
2024,Житомирська,1.0
2024,Закарпатська,0.87
2024,Запорізька,1.61
2024,Івано-Франківська,0.72
2024,Київська,0.56
2024,Кіровоградська,1.66
2024,Луганська,0.0
2024,Львівська,1.1
2024,Миколаївська,1.77
2024,Одеська,0.83
2024,Полтавська,1.66
2024,Рівненська,1.34
2024,Сумська,3.11
2024,Тернопільська,1.01
2024,Харківська,1.96
2024,Херсонська,0.07
2024,Хмельницька,1.07
2024,Черкаська,0.94
2024,Чернівецька,0.98
2024,Чернігівська,1.65
2024,м. Київ,0.43
2024,м. Севастополь,
2025,,1.48
2025,Автономна Республіка Крим,
2025,Вінницька,1.32
2025,Волинська,1.83
2025,Дніпропетровська,2.05
2025,Донецька,0.94
2025,Житомирська,1.65
2025,Закарпатська,1.0
2025,Запорізька,1.86
2025,Івано-Франківська,1.06
2025,Київська,0.89
2025,Кіровоградська,2.59
2025,Луганська,0.0
2025,Львівська,1.28
2025,Миколаївська,2.41
2025,Одеська,1.24
2025,Полтавська,2.08
2025,Рівненська,1.85
2025,Сумська,4.0
2025,Тернопільська,1.63
2025,Харківська,2.35
2025,Херсонська,1.36
2025,Хмельницька,1.46
2025,Черкаська,1.41
2025,Чернівецька,1.29
2025,Чернігівська,2.37
2025,м. Київ,0.58
2025,м. Севастополь,
