Year,Sex,Age,Type of residence,Region,Value
2018,,,,11_reg_Vinnytsya,82.13
2018,,,,12_reg_Volyn,84.43
2018,,,,13_reg_Dnipropetrovsk,84.0
2018,,,,14_reg_Donetsk,35.76
2018,,,,15_reg_Zhytomyr,82.88
2018,,,,16_reg_Zakarpattya,83.79
2018,,,,17_reg_Zaporizhzhya,83.25
2018,,,,18_reg_Ivano-Frankivsk,81.7
2018,,,,19_reg_Kyiv,93.51
2018,,,,20_reg_Kirovohrad,82.42
2018,,,,21_reg_Luhansk,24.03
2018,,,,22_reg_Lviv,84.56
2018,,,,23_reg_Mykolayiv,81.81
2018,,,,24_reg_Odesa,84.87
2018,,,,25_reg_Poltava,84.52
2018,,,,26_reg_Rivne,84.86
2018,,,,27_reg_Sumy,82.3
2018,,,,28_reg_Ternopil,80.72
2018,,,,29_reg_Kharkiv,84.26
2018,,,,30_reg_Kherson,82.67
2018,,,,31_reg_Khmelnytskiy,83.56
2018,,,,32_reg_Cherkasy,83.95
2018,,,,33_reg_Chernivtsi,83.14
2018,,,,34_reg_Chernihiv,85.54
2018,,,,Kyiv_city,85.49
2018,,,,city_Sevastopol,
2019,,,,,77.88
2019,girls,,,,78.2
2019,boys,,,,75.95
2019,,aged_6,,,62.44
2019,,aged_7,,,88.57
2019,,aged_8,,,90.38
2019,,aged_9,,,90.26
2019,,aged_10,,,89.42
2019,,aged_11,,,90.55
2019,,aged_12,,,90.25
2019,,aged_13,,,89.34
2019,,aged_14,,,88.97
2019,,aged_15,,,67.45
2019,,aged_16,,,53.72
2019,,aged_17,,,15.64
2019,,,urban,,80.96
2019,,,rural,,69.14
2019,,,,autonomous_Republic_of_Crimea,
2019,,,,11_reg_Vinnytsya,83.29
2019,,,,12_reg_Volyn,85.66
2019,,,,13_reg_Dnipropetrovsk,83.8
2019,,,,14_reg_Donetsk,36.25
2019,,,,15_reg_Zhytomyr,83.78
2019,,,,16_reg_Zakarpattya,84.18
2019,,,,17_reg_Zaporizhzhya,83.64
2019,,,,18_reg_Ivano-Frankivsk,82.56
2019,,,,19_reg_Kyiv,94.3
2019,,,,20_reg_Kirovohrad,83.2
2019,,,,21_reg_Luhansk,24.09
2019,,,,22_reg_Lviv,85.25
2019,,,,23_reg_Mykolayiv,82.33
2019,,,,24_reg_Odesa,85.15
2019,,,,25_reg_Poltava,84.85
2019,,,,26_reg_Rivne,85.94
2019,,,,27_reg_Sumy,83.11
2019,,,,28_reg_Ternopil,81.25
2019,,,,29_reg_Kharkiv,84.32
2019,,,,30_reg_Kherson,83.23
2019,,,,31_reg_Khmelnytskiy,84.34
2019,,,,32_reg_Cherkasy,84.69
2019,,,,33_reg_Chernivtsi,84.42
2019,,,,34_reg_Chernihiv,86.44
2019,,,,Kyiv_city,84.84
2019,,,,city_Sevastopol,
2020,,,,,78.0
2020,girls,,,,78.37
2020,boys,,,,76.09
2020,,aged_6,,,63.68
2020,,aged_7,,,88.9
2020,,aged_8,,,89.29
2020,,aged_9,,,90.1
2020,,aged_10,,,89.77
2020,,aged_11,,,89.15
2020,,aged_12,,,90.21
2020,,aged_13,,,89.94
2020,,aged_14,,,88.55
2020,,aged_15,,,67.17
2020,,aged_16,,,56.16
2020,,aged_17,,,16.44
2020,,,urban,,81.38
2020,,,rural,,68.68
2020,,,,autonomous_Republic_of_Crimea,
2020,,,,11_reg_Vinnytsya,83.77
2020,,,,12_reg_Volyn,85.77
2020,,,,13_reg_Dnipropetrovsk,83.44
2020,,,,14_reg_Donetsk,36.49
2020,,,,15_reg_Zhytomyr,83.88
2020,,,,16_reg_Zakarpattya,83.73
2020,,,,17_reg_Zaporizhzhya,83.56
2020,,,,18_reg_Ivano-Frankivsk,83.03
2020,,,,19_reg_Kyiv,94.55
2020,,,,20_reg_Kirovohrad,82.95
2020,,,,21_reg_Luhansk,23.95
2020,,,,22_reg_Lviv,85.54
2020,,,,23_reg_Mykolayiv,82.28
2020,,,,24_reg_Odesa,84.93
2020,,,,25_reg_Poltava,84.79
2020,,,,26_reg_Rivne,86.32
2020,,,,27_reg_Sumy,83.4
2020,,,,28_reg_Ternopil,81.36
2020,,,,29_reg_Kharkiv,84.72
2020,,,,30_reg_Kherson,83.36
2020,,,,31_reg_Khmelnytskiy,84.81
2020,,,,32_reg_Cherkasy,84.77
2020,,,,33_reg_Chernivtsi,84.56
2020,,,,34_reg_Chernihiv,86.8
2020,,,,Kyiv_city,84.92
2020,,,,city_Sevastopol,
2021,,,,,78.02
2021,girls,,,,78.36
2021,boys,,,,76.2
2021,,aged_6,,,64.88
2021,,aged_7,,,88.35
2021,,aged_8,,,89.94
2021,,aged_9,,,89.46
2021,,aged_10,,,89.95
2021,,aged_11,,,89.44
2021,,aged_12,,,89.17
2021,,aged_13,,,90.05
2021,,aged_14,,,89.16
2021,,aged_15,,,68.07
2021,,aged_16,,,56.28
2021,,aged_17,,,15.83
2021,,,urban,,81.75
2021,,,rural,,68.06
2021,,,,autonomous_Republic_of_Crimea,
2021,,,,11_reg_Vinnytsya,83.78
2021,,,,12_reg_Volyn,85.95
2021,,,,13_reg_Dnipropetrovsk,82.84
2021,,,,14_reg_Donetsk,36.77
2021,,,,15_reg_Zhytomyr,83.42
2021,,,,16_reg_Zakarpattya,83.38
2021,,,,17_reg_Zaporizhzhya,82.93
2021,,,,18_reg_Ivano-Frankivsk,82.84
2021,,,,19_reg_Kyiv,94.11
2021,,,,20_reg_Kirovohrad,82.72
2021,,,,21_reg_Luhansk,24.67
2021,,,,22_reg_Lviv,85.39
2021,,,,23_reg_Mykolayiv,81.51
2021,,,,24_reg_Odesa,84.68
2021,,,,25_reg_Poltava,84.39
2021,,,,26_reg_Rivne,86.36
2021,,,,27_reg_Sumy,83.3
2021,,,,28_reg_Ternopil,81.15
2021,,,,29_reg_Kharkiv,84.59
2021,,,,30_reg_Kherson,82.78
2021,,,,31_reg_Khmelnytskiy,84.44
2021,,,,32_reg_Cherkasy,84.55
2021,,,,33_reg_Chernivtsi,84.36
2021,,,,34_reg_Chernihiv,86.38
2021,,,,Kyiv_city,85.63
2021,,,,city_Sevastopol,
2022,,,,,78.22
2022,girls,,,,78.54
2022,boys,,,,76.43
2022,,aged_6,,,67.32
2022,,aged_7,,,90.36
2022,,aged_8,,,89.33
2022,,aged_9,,,89.86
2022,,aged_10,,,89.14
2022,,aged_11,,,89.72
2022,,aged_12,,,89.3
2022,,aged_13,,,88.57
2022,,aged_14,,,89.37
2022,,aged_15,,,67.69
2022,,aged_16,,,56.82
2022,,aged_17,,,16.61
2022,,,urban,,82.69
2022,,,rural,,66.8
2022,,,,autonomous_Republic_of_Crimea,
2022,,,,11_reg_Vinnytsya,83.19
2022,,,,12_reg_Volyn,86.02
2022,,,,13_reg_Dnipropetrovsk,82.18
2022,,,,14_reg_Donetsk,37.87
2022,,,,15_reg_Zhytomyr,82.78
2022,,,,16_reg_Zakarpattya,82.85
2022,,,,17_reg_Zaporizhzhya,81.82
2022,,,,18_reg_Ivano-Frankivsk,82.44
2022,,,,19_reg_Kyiv,93.85
2022,,,,20_reg_Kirovohrad,82.16
2022,,,,21_reg_Luhansk,25.95
2022,,,,22_reg_Lviv,85.09
2022,,,,23_reg_Mykolayiv,81.39
2022,,,,24_reg_Odesa,84.76
2022,,,,25_reg_Poltava,83.98
2022,,,,26_reg_Rivne,86.09
2022,,,,27_reg_Sumy,82.79
2022,,,,28_reg_Ternopil,80.48
2022,,,,29_reg_Kharkiv,84.39
2022,,,,30_reg_Kherson,82.33
2022,,,,31_reg_Khmelnytskiy,83.92
2022,,,,32_reg_Cherkasy,83.99
2022,,,,33_reg_Chernivtsi,83.81
2022,,,,34_reg_Chernihiv,86.0
2022,,,,Kyiv_city,86.43
2022,,,,city_Sevastopol,
2023,,,,,
2023,girls,,,,
2023,boys,,,,
2023,,aged_6,,,
2023,,aged_7,,,
2023,,aged_8,,,
2023,,aged_9,,,
2023,,aged_10,,,
2023,,aged_11,,,
2023,,aged_12,,,
2023,,aged_13,,,
2023,,aged_14,,,
2023,,aged_15,,,
2023,,aged_16,,,
2023,,aged_17,,,
2023,,,urban,,
2023,,,rural,,
2023,,,,autonomous_Republic_of_Crimea,
2023,,,,11_reg_Vinnytsya,
2023,,,,12_reg_Volyn,
2023,,,,13_reg_Dnipropetrovsk,
2023,,,,14_reg_Donetsk,
2023,,,,15_reg_Zhytomyr,
2023,,,,16_reg_Zakarpattya,
2023,,,,17_reg_Zaporizhzhya,
2023,,,,18_reg_Ivano-Frankivsk,
2023,,,,19_reg_Kyiv,
2023,,,,20_reg_Kirovohrad,
2023,,,,21_reg_Luhansk,
2023,,,,22_reg_Lviv,
2023,,,,23_reg_Mykolayiv,
2023,,,,24_reg_Odesa,
2023,,,,25_reg_Poltava,
2023,,,,26_reg_Rivne,
2023,,,,27_reg_Sumy,
2023,,,,28_reg_Ternopil,
2023,,,,29_reg_Kharkiv,
2023,,,,30_reg_Kherson,
2023,,,,31_reg_Khmelnytskiy,
2023,,,,32_reg_Cherkasy,
2023,,,,33_reg_Chernivtsi,
2023,,,,34_reg_Chernihiv,
2023,,,,Kyiv_city,
2023,,,,city_Sevastopol,
2024,,,,,
2024,girls,,,,
2024,boys,,,,
2024,,aged_6,,,
2024,,aged_7,,,
2024,,aged_8,,,
2024,,aged_9,,,
2024,,aged_10,,,
2024,,aged_11,,,
2024,,aged_12,,,
2024,,aged_13,,,
2024,,aged_14,,,
2024,,aged_15,,,
2024,,aged_16,,,
2024,,aged_17,,,
2024,,,urban,,
2024,,,rural,,
2024,,,,autonomous_Republic_of_Crimea,
2024,,,,11_reg_Vinnytsya,
2024,,,,12_reg_Volyn,
2024,,,,13_reg_Dnipropetrovsk,
2024,,,,14_reg_Donetsk,
2024,,,,15_reg_Zhytomyr,
2024,,,,16_reg_Zakarpattya,
2024,,,,17_reg_Zaporizhzhya,
2024,,,,18_reg_Ivano-Frankivsk,
2024,,,,19_reg_Kyiv,
2024,,,,20_reg_Kirovohrad,
2024,,,,21_reg_Luhansk,
2024,,,,22_reg_Lviv,
2024,,,,23_reg_Mykolayiv,
2024,,,,24_reg_Odesa,
2024,,,,25_reg_Poltava,
2024,,,,26_reg_Rivne,
2024,,,,27_reg_Sumy,
2024,,,,28_reg_Ternopil,
2024,,,,29_reg_Kharkiv,
2024,,,,30_reg_Kherson,
2024,,,,31_reg_Khmelnytskiy,
2024,,,,32_reg_Cherkasy,
2024,,,,33_reg_Chernivtsi,
2024,,,,34_reg_Chernihiv,
2024,,,,Kyiv_city,
2024,,,,city_Sevastopol,
