Year,Type of residence,Region,Value
2015,,Ukraine,14.4
2015,urban,Ukraine,18.5
2015,rural,Ukraine,6.7
2015,,autonomous_Republic_of_Crimea,
2015,,11_reg_Vinnytsya,18.1
2015,,12_reg_Volyn,12.2
2015,,12_reg_Volyn,12.2
2015,,13_reg_Dnipropetrovsk,19.0
2015,,14_reg_Donetsk,
2015,,15_reg_Zhytomyr,15.6
2015,,16_reg_Zakarpattya,12.7
2015,,17_reg_Zaporizhzhya,16.6
2015,,18_reg_Ivano-Frankivsk,14.5
2015,,19_reg_Kyiv,16.3
2015,,20_reg_Kirovohrad,17.1
2015,,21_reg_Luhansk,
2015,,22_reg_Lviv,13.7
2015,,23_reg_Mykolayiv,17.9
2015,,24_reg_Odesa,16.8
2015,,25_reg_Poltava,15.9
2015,,26_reg_Rivne,13.8
2015,,27_reg_Sumy,14.6
2015,,28_reg_Ternopil,14.2
2015,,29_reg_Kharkiv,15.4
2015,,30_reg_Kherson,18.6
2015,,31_reg_Khmelnytskiy,16.1
2015,,32_reg_Cherkasy,15.8
2015,,33_reg_Chernivtsi,14.9
2015,,34_reg_Chernihiv,14.1
2015,,35_reg_Kyiv_city,9.6
2015,,city_Sevastopol,
2016,,Ukraine,15.3
2016,urban,Ukraine,19.7
2016,rural,Ukraine,7.2
2016,,autonomous_Republic_of_Crimea,
2016,,11_reg_Vinnytsya,18.7
2016,,12_reg_Volyn,12.3
2016,,12_reg_Volyn,12.3
2016,,13_reg_Dnipropetrovsk,19.6
2016,,14_reg_Donetsk,
2016,,15_reg_Zhytomyr,16.5
2016,,16_reg_Zakarpattya,13.1
2016,,17_reg_Zaporizhzhya,17.0
2016,,18_reg_Ivano-Frankivsk,15.4
2016,,19_reg_Kyiv,17.4
2016,,20_reg_Kirovohrad,17.8
2016,,21_reg_Luhansk,
2016,,22_reg_Lviv,14.3
2016,,23_reg_Mykolayiv,18.6
2016,,24_reg_Odesa,17.5
2016,,25_reg_Poltava,16.7
2016,,26_reg_Rivne,14.4
2016,,27_reg_Sumy,15.3
2016,,28_reg_Ternopil,14.9
2016,,29_reg_Kharkiv,16.1
2016,,30_reg_Kherson,19.4
2016,,31_reg_Khmelnytskiy,16.9
2016,,32_reg_Cherkasy,16.6
2016,,33_reg_Chernivtsi,15.7
2016,,34_reg_Chernihiv,14.9
2016,,35_reg_Kyiv_city,10.1
2016,,city_Sevastopol,
2017,,Ukraine,16.0
2017,urban,Ukraine,20.6
2017,rural,Ukraine,7.6
2017,,autonomous_Republic_of_Crimea,
2017,,11_reg_Vinnytsya,20.7
2017,,12_reg_Volyn,13.1
2017,,12_reg_Volyn,13.1
2017,,13_reg_Dnipropetrovsk,20.5
2017,,14_reg_Donetsk,
2017,,15_reg_Zhytomyr,16.7
2017,,16_reg_Zakarpattya,14.2
2017,,17_reg_Zaporizhzhya,17.8
2017,,18_reg_Ivano-Frankivsk,15.8
2017,,19_reg_Kyiv,18.0
2017,,20_reg_Kirovohrad,18.7
2017,,21_reg_Luhansk,
2017,,22_reg_Lviv,14.7
2017,,23_reg_Mykolayiv,19.5
2017,,24_reg_Odesa,18.2
2017,,25_reg_Poltava,17.3
2017,,26_reg_Rivne,15.1
2017,,27_reg_Sumy,16.0
2017,,28_reg_Ternopil,15.6
2017,,29_reg_Kharkiv,16.9
2017,,30_reg_Kherson,20.3
2017,,31_reg_Khmelnytskiy,17.7
2017,,32_reg_Cherkasy,17.3
2017,,33_reg_Chernivtsi,16.4
2017,,34_reg_Chernihiv,15.6
2017,,35_reg_Kyiv_city,10.6
2017,,city_Sevastopol,
2018,,Ukraine,16.9
2018,urban,Ukraine,21.7
2018,rural,Ukraine,8.0
2018,,autonomous_Republic_of_Crimea,
2018,,11_reg_Vinnytsya,22.7
2018,,12_reg_Volyn,13.6
2018,,12_reg_Volyn,13.6
2018,,13_reg_Dnipropetrovsk,21.0
2018,,14_reg_Donetsk,
2018,,15_reg_Zhytomyr,18.4
2018,,16_reg_Zakarpattya,14.8
2018,,17_reg_Zaporizhzhya,19.1
2018,,18_reg_Ivano-Frankivsk,17.2
2018,,19_reg_Kyiv,19.3
2018,,20_reg_Kirovohrad,20.2
2018,,21_reg_Luhansk,
2018,,22_reg_Lviv,15.8
2018,,23_reg_Mykolayiv,20.7
2018,,24_reg_Odesa,19.4
2018,,25_reg_Poltava,18.6
2018,,26_reg_Rivne,16.3
2018,,27_reg_Sumy,17.2
2018,,28_reg_Ternopil,16.8
2018,,29_reg_Kharkiv,18.2
2018,,30_reg_Kherson,21.5
2018,,31_reg_Khmelnytskiy,18.9
2018,,32_reg_Cherkasy,18.5
2018,,33_reg_Chernivtsi,17.6
2018,,34_reg_Chernihiv,16.8
2018,,35_reg_Kyiv_city,11.4
2018,,city_Sevastopol,
2019,,Ukraine,17.9
2019,urban,Ukraine,23.0
2019,rural,Ukraine,8.4
2019,,autonomous_Republic_of_Crimea,
2019,,11_reg_Vinnytsya,22.9
2019,,12_reg_Volyn,14.2
2019,,12_reg_Volyn,14.2
2019,,13_reg_Dnipropetrovsk,21.3
2019,,14_reg_Donetsk,
2019,,15_reg_Zhytomyr,18.8
2019,,16_reg_Zakarpattya,15.7
2019,,17_reg_Zaporizhzhya,20.4
2019,,18_reg_Ivano-Frankivsk,17.7
2019,,19_reg_Kyiv,20.4
2019,,20_reg_Kirovohrad,21.0
2019,,21_reg_Luhansk,
2019,,22_reg_Lviv,16.4
2019,,23_reg_Mykolayiv,21.6
2019,,24_reg_Odesa,20.3
2019,,25_reg_Poltava,19.2
2019,,26_reg_Rivne,17.0
2019,,27_reg_Sumy,17.9
2019,,28_reg_Ternopil,17.4
2019,,29_reg_Kharkiv,19.1
2019,,30_reg_Kherson,22.4
2019,,31_reg_Khmelnytskiy,19.7
2019,,32_reg_Cherkasy,19.4
2019,,33_reg_Chernivtsi,18.5
2019,,34_reg_Chernihiv,17.7
2019,,35_reg_Kyiv_city,12.0
2019,,city_Sevastopol,12.0
2020,,Ukraine,16.3
2020,urban,Ukraine,21.1
2020,rural,Ukraine,7.6
2020,,autonomous_Republic_of_Crimea,
2020,,11_reg_Vinnytsya,21.4
2020,,12_reg_Volyn,12.3
2020,,12_reg_Volyn,12.3
