Year,Sex,Age,Value
2015,,,304.1
2016,,,285.8
2017,,,269.4
2018,,,255.0
2019,,,245.8
2020,,,240.7
2021,,,243.8
2022,,,230.5
2023,,,225.2
2024,,,214.4
2015,females,,117.0
2016,females,,110.6
2017,females,,103.7
2018,females,,97.0
2019,females,,92.7
2020,females,,92.0
2021,females,,93.5
2022,females,,85.3
2023,females,,82.2
2024,females,,80.7
2015,males,,187.1
2016,males,,175.2
2017,males,,165.7
2018,males,,158.0
2019,males,,153.1
2020,males,,148.7
2021,males,,150.3
2022,males,,145.2
2023,males,,143.0
2024,males,,133.7
2015,,age_14_30,299.1
2016,,age_14_30,280.4
2017,,age_14_30,262.1
2018,,age_14_30,245.4
2019,,age_14_30,235.2
2020,,age_14_30,229.7
2021,,age_14_30,232.3
2022,,age_14_30,218.1
2023,,age_14_30,208.2
2024,,age_14_30,195.3
2015,,age_30_plus,5.0
2016,,age_30_plus,5.4
2017,,age_30_plus,7.3
2018,,age_30_plus,9.6
2019,,age_30_plus,10.6
2020,,age_30_plus,11.0
2021,,age_30_plus,11.5
2022,,age_30_plus,12.4
2023,,age_30_plus,17.0
2024,,age_30_plus,19.1
