Year,Age,Sex,Value
2015,15-64 years,,9.9
2016,15-64 years,,9.7
2017,15-64 years,,9.4
2018,15-64 years,,9.4
2019,15-64 years,,8.7
2020,15-64 years,,9.0
2021,15-64 years,,9.4
2022,15-64 years,,
2023,15-64 years,,
2024,15-64 years,,
2015,15-64 years,women,9.5
2016,15-64 years,women,9.2
2017,15-64 years,women,8.9
2018,15-64 years,women,8.8
2019,15-64 years,women,8.1
2020,15-64 years,women,8.5
2021,15-64 years,women,8.7
2022,15-64 years,women,
2023,15-64 years,women,
2024,15-64 years,women,
2015,15-64 years,men,10.3
2016,15-64 years,men,10.2
2017,15-64 years,men,10.0
2018,15-64 years,men,10.0
2019,15-64 years,men,9.2
2020,15-64 years,men,9.6
2021,15-64 years,men,10.1
2022,15-64 years,men,
2023,15-64 years,men,
2024,15-64 years,men,
2015,15-24 years,,55.9
2016,15-24 years,,56.5
2017,15-24 years,,57.6
2018,15-24 years,,59.4
2019,15-24 years,,55.5
2020,15-24 years,,60.0
2021,15-24 years,,62.1
2022,15-24 years,,
2023,15-24 years,,
2024,15-24 years,,
2015,15-24 years,women,56.5
2016,15-24 years,women,56.3
2017,15-24 years,women,57.6
2018,15-24 years,women,59.4
2019,15-24 years,women,55.2
2020,15-24 years,women,60.2
2021,15-24 years,women,60.9
2022,15-24 years,women,
2023,15-24 years,women,
2024,15-24 years,women,
2015,15-24 years,men,55.3
2016,15-24 years,men,56.7
2017,15-24 years,men,57.6
2018,15-24 years,men,59.4
2019,15-24 years,men,55.8
2020,15-24 years,men,59.8
2021,15-24 years,men,63.1
2022,15-24 years,men,
2023,15-24 years,men,
2024,15-24 years,men,
2015,25-64 years,,0.8
2016,25-64 years,,0.9
2017,25-64 years,,0.8
2018,25-64 years,,0.8
2019,25-64 years,,0.7
2020,25-64 years,,0.5
2021,25-64 years,,0.5
2022,25-64 years,,
2023,25-64 years,,
2024,25-64 years,,
2015,25-64 years,women,0.9
2016,25-64 years,women,0.9
2017,25-64 years,women,0.8
2018,25-64 years,women,0.7
2019,25-64 years,women,0.7
2020,25-64 years,women,0.4
2021,25-64 years,women,0.4
2022,25-64 years,women,
2023,25-64 years,women,
2024,25-64 years,women,
2015,25-64 years,men,0.7
2016,25-64 years,men,0.8
2017,25-64 years,men,0.8
2018,25-64 years,men,0.9
2019,25-64 years,men,0.7
2020,25-64 years,men,0.5
2021,25-64 years,men,0.5
2022,25-64 years,men,
2023,25-64 years,men,
2024,25-64 years,men,
