Year,Sex,Type of residence,Households,"For reference: the legally established minimum subsistence level per month on average per person, UAH",Value
2015,,,,,8.9
2016,,,,,8.5
2017,,,,,8.0
2018,,,,,6.5
2019,,,,,1.0
2020,,,,,1.6
2021,,,,,1.7
2022,,,,,
2023,,,,,
2024,,,,,
2015,women,,,,8.9
2016,women,,,,8.1
2017,women,,,,7.9
2018,women,,,,6.4
2019,women,,,,0.9
2020,women,,,,1.7
2021,women,,,,1.7
2022,women,,,,
2023,women,,,,
2024,women,,,,
2015,men,,,,8.9
2016,men,,,,8.9
2017,men,,,,8.2
2018,men,,,,6.7
2019,men,,,,1.2
2020,men,,,,1.6
2021,men,,,,1.7
2022,men,,,,
2023,men,,,,
2024,men,,,,
2015,,urban,,,6.8
2016,,urban,,,6.7
2017,,urban,,,5.8
2018,,urban,,,4.2
2019,,urban,,,0.7
2020,,urban,,,1.4
2021,,urban,,,1.4
2022,,urban,,,
2023,,urban,,,
2024,,urban,,,
2015,,rural,,,12.8
2016,,rural,,,11.9
2017,,rural,,,12.4
2018,,rural,,,11.0
2019,,rural,,,1.6
2020,,rural,,,2.1
2021,,rural,,,2.2
2022,,rural,,,
2023,,rural,,,
2024,,rural,,,
2015,,,households with children,,12.2
2016,,,households with children,,10.8
2017,,,households with children,,10.1
2018,,,households with children,,8.2
2019,,,households with children,,1.1
2020,,,households with children,,2.0
2021,,,households with children,,2.0
2022,,,households with children,,
2023,,,households with children,,
2024,,,households with children,,
2015,,,households without children,,5.0
2016,,,households without children,,5.8
2017,,,households without children,,5.6
2018,,,households without children,,4.6
2019,,,households without children,,0.9
2020,,,households without children,,1.3
2021,,,households without children,,1.3
2022,,,households without children,,
2023,,,households without children,,
2024,,,households without children,,
2015,,,,1227.0,
2016,,,,1388.0,
2017,,,,1604.0,
2018,,,,1745.0,
2019,,,,1902.0,
2020,,,,2078.0,
2021,,,,2250.0,
