Year,Sex,Type of residence,by type of educational institution,by socioeconomic status,Subject,Value
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
2023,women,,,,,19.02
2024,women,,,,,22.76
2023,men,,,,,16.17
2024,men,,,,,18.49
2023,,urban,,,,28.35
2024,,urban,,,,31.7
2023,,rural,,,,6.84
2024,,rural,,,,10.15
2023,,,lyceum,,,18.46
2024,,,lyceum,,,20.75
2023,,,gymnasium,,,4.75
2024,,,gymnasium,,,9.94
2023,,,general secondary educational institutions (GSEI),,,4.56
2024,,,general secondary educational institutions (GSEI),,,4.95
2023,,,others,,,7.42
2024,,,others,,,6.21
2023,,,,participants who have printed books and other materials needed for learning,,12.4
2024,,,,participants who have printed books and other materials needed for learning,,15.87
2023,,,,having your own space (room or workspace),,15.18
2024,,,,having your own space (room or workspace),,19.39
2023,,,,,mathematics 6th grade,28.0
2024,,,,,mathematics 6th grade,34.98
2023,,,,,mathematics 8th grade,45.0
2024,,,,,mathematics 8th grade,41.55
2023,,,,,Ukrainian language 6th grade,34.0
2024,,,,,Ukrainian language 6th grade,40.9
2023,,,,,Ukrainian language 8th grade,37.0
2024,,,,,Ukrainian language 8th grade,50.66
