Year,Age,Sex,Type of residence,Households,Value
2015,,,,,9.1
2016,,,,,7.7
2017,,,,,6.9
2018,,,,,4.5
2019,,,,,4.8
2020,,,,,5.7
2021,,,,,3.9
2022,,,,,
2023,,,,,
2024,,,,,
2015,up to 18 years,,,,12.6
2016,up to 18 years,,,,10.4
2017,up to 18 years,,,,9.2
2018,up to 18 years,,,,6.3
2019,up to 18 years,,,,6.8
2020,up to 18 years,,,,6.7
2021,up to 18 years,,,,5.0
2022,up to 18 years,,,,
2023,up to 18 years,,,,
2024,up to 18 years,,,,
2015,18-34 years,,,,9.8
2016,18-34 years,,,,7.8
2017,18-34 years,,,,7.1
2018,18-34 years,,,,5.5
2019,18-34 years,,,,4.3
2020,18-34 years,,,,11.2
2021,18-34 years,,,,3.5
2022,18-34 years,,,,
2023,18-34 years,,,,
2024,18-34 years,,,,
2015,35-59 years,,,,7.7
2016,35-59 years,,,,6.8
2017,35-59 years,,,,6.0
2018,35-59 years,,,,3.8
2019,35-59 years,,,,4.4
2020,35-59 years,,,,7.6
2021,35-59 years,,,,3.8
2022,35-59 years,,,,
2023,35-59 years,,,,
2024,35-59 years,,,,
2015,60 years and older,,,,7.2
2016,60 years and older,,,,6.6
2017,60 years and older,,,,5.8
2018,60 years and older,,,,2.7
2019,60 years and older,,,,4.1
2020,60 years and older,,,,5.6
2021,60 years and older,,,,3.8
2022,60 years and older,,,,
2023,60 years and older,,,,
2024,60 years and older,,,,
2015,,women,,,9.1
2016,,women,,,7.4
2017,,women,,,6.8
2018,,women,,,4.3
2019,,women,,,4.6
2020,,women,,,6.2
2021,,women,,,3.9
2022,,women,,,
2023,,women,,,
2024,,women,,,
2015,,men,,,9.1
2016,,men,,,8.0
2017,,men,,,7.0
2018,,men,,,4.6
2019,,men,,,4.9
2020,,men,,,5.2
2021,,men,,,3.9
2022,,men,,,
2023,,men,,,
2024,,men,,,
2015,,,urban,,7.1
2016,,,urban,,5.8
2017,,,urban,,5.0
2018,,,urban,,3.0
2019,,,urban,,3.9
2020,,,urban,,5.0
2021,,,urban,,3.4
2022,,,urban,,
2023,,,urban,,
2024,,,urban,,
2015,,,rural,,13.0
2016,,,rural,,11.4
2017,,,rural,,10.5
2018,,,rural,,7.3
2019,,,rural,,6.5
2020,,,rural,,7.2
2021,,,rural,,5.0
2022,,,rural,,
2023,,,rural,,
2024,,,rural,,
2015,,,,households with children,12.5
2016,,,,households with children,9.8
2017,,,,households with children,8.8
2018,,,,households with children,5.7
2019,,,,households with children,6.2
2020,,,,households with children,6.9
2021,,,,households with children,4.8
2022,,,,households with children,
2023,,,,households with children,
2024,,,,households with children,
2015,,,,households without children,5.1
2016,,,,households without children,5.2
2017,,,,households without children,4.6
2018,,,,households without children,3.1
2019,,,,households without children,3.0
2020,,,,households without children,4.3
2021,,,,households without children,3.0
2022,,,,households without children,
2023,,,,households without children,
2024,,,,households without children,
