Year,Region,Sex,Age,Type of residence,Value
2015,Ukraine,,,,77.69
2016,Ukraine,,,,77.21
2017,Ukraine,,,,77.39
2018,Ukraine,,,,77.37
2019,Ukraine,,,,77.88
2020,Ukraine,,,,78.0
2021,Ukraine,,,,78.02
2022,Ukraine,,,,78.22
2023,Ukraine,,,,
2015,Vinnytsya,,,,80.76
2016,Vinnytsya,,,,81.01
2017,Vinnytsya,,,,81.61
2018,Vinnytsya,,,,82.13
2019,Vinnytsya,,,,83.29
2020,Vinnytsya,,,,83.77
2021,Vinnytsya,,,,83.78
2022,Vinnytsya,,,,83.19
2023,Vinnytsya,,,,
2015,Volyn,,,,83.63
2016,Volyn,,,,83.97
2017,Volyn,,,,84.1
2018,Volyn,,,,84.43
2019,Volyn,,,,85.66
2020,Volyn,,,,85.77
2021,Volyn,,,,85.95
2022,Volyn,,,,86.02
2023,Volyn,,,,
2015,Dnipropetrovsk,,,,85.1
2016,Dnipropetrovsk,,,,84.82
2017,Dnipropetrovsk,,,,84.65
2018,Dnipropetrovsk,,,,84.0
2019,Dnipropetrovsk,,,,83.8
2020,Dnipropetrovsk,,,,83.44
2021,Dnipropetrovsk,,,,82.84
2022,Dnipropetrovsk,,,,82.18
2023,Dnipropetrovsk,,,,
2015,Donetsk,,,,37.95
2016,Donetsk,,,,35.2
2017,Donetsk,,,,35.29
2018,Donetsk,,,,35.76
2019,Donetsk,,,,36.25
2020,Donetsk,,,,36.49
2021,Donetsk,,,,36.77
2022,Donetsk,,,,37.87
2023,Donetsk,,,,
2015,Zhytomyr,,,,83.21
2016,Zhytomyr,,,,83.18
2017,Zhytomyr,,,,83.21
2018,Zhytomyr,,,,82.88
2019,Zhytomyr,,,,83.78
2020,Zhytomyr,,,,83.88
2021,Zhytomyr,,,,83.42
2022,Zhytomyr,,,,82.78
2023,Zhytomyr,,,,
2015,Zakarpattya,,,,85.17
2016,Zakarpattya,,,,85.12
2017,Zakarpattya,,,,84.84
2018,Zakarpattya,,,,83.79
2019,Zakarpattya,,,,84.18
2020,Zakarpattya,,,,83.73
2021,Zakarpattya,,,,83.38
2022,Zakarpattya,,,,82.85
2023,Zakarpattya,,,,
2015,Zaporizhzhya,,,,85.52
2016,Zaporizhzhya,,,,84.28
2017,Zaporizhzhya,,,,83.91
2018,Zaporizhzhya,,,,83.25
2019,Zaporizhzhya,,,,83.64
2020,Zaporizhzhya,,,,83.56
2021,Zaporizhzhya,,,,82.93
2022,Zaporizhzhya,,,,81.82
2023,Zaporizhzhya,,,,
2015,Ivano-Frankivsk,,,,81.27
2016,Ivano-Frankivsk,,,,81.41
2017,Ivano-Frankivsk,,,,81.87
2018,Ivano-Frankivsk,,,,81.7
2019,Ivano-Frankivsk,,,,82.56
2020,Ivano-Frankivsk,,,,83.03
2021,Ivano-Frankivsk,,,,82.84
