Year,Види економічної діяльності,Організаційно-правові форми господарювання,Область,Value
2016,,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,28.93
2021,,,,29.15
2022,,,,29.3
2023,,,,29.2
2024,,,,29.2
2025,,,,29.6
2016,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,
2017,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,
2018,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,
2019,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,
2020,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,
2021,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,
2022,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,20.1
2023,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,20.0
2024,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,20.0
2025,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,20.4
2016,Вирощування рису,,,
2017,Вирощування рису,,,
2018,Вирощування рису,,,
2019,Вирощування рису,,,
2020,Вирощування рису,,,
2021,Вирощування рису,,,
2022,Вирощування рису,,,11.4
2023,Вирощування рису,,,11.4
2024,Вирощування рису,,,10.0
2025,Вирощування рису,,,9.5
2016,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,
2017,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,
2018,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,
2019,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,
2020,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,
2021,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,
2022,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,21.5
2023,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,21.6
2024,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,21.7
2025,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,21.6
2016,Вирощування цукрової тростини,,,
2017,Вирощування цукрової тростини,,,
2018,Вирощування цукрової тростини,,,
2019,Вирощування цукрової тростини,,,
2020,Вирощування цукрової тростини,,,
2021,Вирощування цукрової тростини,,,
2022,Вирощування цукрової тростини,,,14.3
2023,Вирощування цукрової тростини,,,12.5
2024,Вирощування цукрової тростини,,,12.5
2025,Вирощування цукрової тростини,,,22.2
2016,Вирощування тютюну,,,
2017,Вирощування тютюну,,,
2018,Вирощування тютюну,,,
2019,Вирощування тютюну,,,
2020,Вирощування тютюну,,,
2021,Вирощування тютюну,,,
2022,Вирощування тютюну,,,9.1
2023,Вирощування тютюну,,,8.7
2024,Вирощування тютюну,,,8.0
2025,Вирощування тютюну,,,7.1
2016,Вирощування прядивних культур,,,
2017,Вирощування прядивних культур,,,
2018,Вирощування прядивних культур,,,
2019,Вирощування прядивних культур,,,
2020,Вирощування прядивних культур,,,
2021,Вирощування прядивних культур,,,
2022,Вирощування прядивних культур,,,15.4
2023,Вирощування прядивних культур,,,17.9
2024,Вирощування прядивних культур,,,16.1
2025,Вирощування прядивних культур,,,17.8
2016,Вирощування інших однорічних і дворічних культур,,,
2017,Вирощування інших однорічних і дворічних культур,,,
2018,Вирощування інших однорічних і дворічних культур,,,
2019,Вирощування інших однорічних і дворічних культур,,,
2020,Вирощування інших однорічних і дворічних культур,,,
2021,Вирощування інших однорічних і дворічних культур,,,
2022,Вирощування інших однорічних і дворічних культур,,,25.1
2023,Вирощування інших однорічних і дворічних культур,,,24.9
2024,Вирощування інших однорічних і дворічних культур,,,25.0
2025,Вирощування інших однорічних і дворічних культур,,,26.9
2016,Вирощування винограду,,,
2017,Вирощування винограду,,,
2018,Вирощування винограду,,,
2019,Вирощування винограду,,,
2020,Вирощування винограду,,,
2021,Вирощування винограду,,,
2022,Вирощування винограду,,,20.7
2023,Вирощування винограду,,,20.8
2024,Вирощування винограду,,,21.3
2025,Вирощування винограду,,,24.9
2016,Вирощування зерняткових і кісточкових фруктів,,,
2017,Вирощування зерняткових і кісточкових фруктів,,,
2018,Вирощування зерняткових і кісточкових фруктів,,,
2019,Вирощування зерняткових і кісточкових фруктів,,,
2020,Вирощування зерняткових і кісточкових фруктів,,,
2021,Вирощування зерняткових і кісточкових фруктів,,,
2022,Вирощування зерняткових і кісточкових фруктів,,,22.4
2023,Вирощування зерняткових і кісточкових фруктів,,,22.3
2024,Вирощування зерняткових і кісточкових фруктів,,,22.6
2025,Вирощування зерняткових і кісточкових фруктів,,,24.7
2016,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,
2017,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,
2018,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,
2019,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,
2020,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,
2021,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,
2022,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,21.0
2023,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,22.0
2024,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,22.7
2025,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,23.7
2016,Вирощування культур для виробництва напоїв,,,
2017,Вирощування культур для виробництва напоїв,,,
2018,Вирощування культур для виробництва напоїв,,,
2019,Вирощування культур для виробництва напоїв,,,
2020,Вирощування культур для виробництва напоїв,,,
2021,Вирощування культур для виробництва напоїв,,,
2022,Вирощування культур для виробництва напоїв,,,33.3
2023,Вирощування культур для виробництва напоїв,,,33.3
2024,Вирощування культур для виробництва напоїв,,,33.3
2025,Вирощування культур для виробництва напоїв,,,33.3
2016,"Вирощування пряних, ароматичних і лікарських культур",,,
2017,"Вирощування пряних, ароматичних і лікарських культур",,,
2018,"Вирощування пряних, ароматичних і лікарських культур",,,
2019,"Вирощування пряних, ароматичних і лікарських культур",,,
2020,"Вирощування пряних, ароматичних і лікарських культур",,,
2021,"Вирощування пряних, ароматичних і лікарських культур",,,
2022,"Вирощування пряних, ароматичних і лікарських культур",,,24.8
2023,"Вирощування пряних, ароматичних і лікарських культур",,,26.2
2024,"Вирощування пряних, ароматичних і лікарських культур",,,26.0
2025,"Вирощування пряних, ароматичних і лікарських культур",,,24.3
2016,Вирощування інших багаторічних культур,,,
2017,Вирощування інших багаторічних культур,,,
2018,Вирощування інших багаторічних культур,,,
2019,Вирощування інших багаторічних культур,,,
2020,Вирощування інших багаторічних культур,,,
2021,Вирощування інших багаторічних культур,,,
2022,Вирощування інших багаторічних культур,,,23.0
2023,Вирощування інших багаторічних культур,,,25.3
2024,Вирощування інших багаторічних культур,,,21.9
2025,Вирощування інших багаторічних культур,,,23.3
2016,Відтворення рослин,,,
2017,Відтворення рослин,,,
2018,Відтворення рослин,,,
2019,Відтворення рослин,,,
2020,Відтворення рослин,,,
2021,Відтворення рослин,,,
2022,Відтворення рослин,,,35.3
2023,Відтворення рослин,,,35.2
2024,Відтворення рослин,,,35.1
2025,Відтворення рослин,,,35.1
2016,Розведення великої рогатої худоби молочних порід,,,
2017,Розведення великої рогатої худоби молочних порід,,,
2018,Розведення великої рогатої худоби молочних порід,,,
2019,Розведення великої рогатої худоби молочних порід,,,
2020,Розведення великої рогатої худоби молочних порід,,,
2021,Розведення великої рогатої худоби молочних порід,,,
2022,Розведення великої рогатої худоби молочних порід,,,21.5
2023,Розведення великої рогатої худоби молочних порід,,,21.4
2024,Розведення великої рогатої худоби молочних порід,,,22.2
2025,Розведення великої рогатої худоби молочних порід,,,23.1
2016,Розведення іншої великої рогатої худоби та буйволів,,,
2017,Розведення іншої великої рогатої худоби та буйволів,,,
2018,Розведення іншої великої рогатої худоби та буйволів,,,
2019,Розведення іншої великої рогатої худоби та буйволів,,,
2020,Розведення іншої великої рогатої худоби та буйволів,,,
2021,Розведення іншої великої рогатої худоби та буйволів,,,
2022,Розведення іншої великої рогатої худоби та буйволів,,,19.3
2023,Розведення іншої великої рогатої худоби та буйволів,,,19.6
2024,Розведення іншої великої рогатої худоби та буйволів,,,17.6
2025,Розведення іншої великої рогатої худоби та буйволів,,,20.4
2016,Розведення коней та інших тварин родини конячих,,,
2017,Розведення коней та інших тварин родини конячих,,,
2018,Розведення коней та інших тварин родини конячих,,,
2019,Розведення коней та інших тварин родини конячих,,,
2020,Розведення коней та інших тварин родини конячих,,,
2021,Розведення коней та інших тварин родини конячих,,,
2022,Розведення коней та інших тварин родини конячих,,,35.9
2023,Розведення коней та інших тварин родини конячих,,,38.3
2024,Розведення коней та інших тварин родини конячих,,,38.6
2025,Розведення коней та інших тварин родини конячих,,,39.5
2016,Розведення верблюдів та інших тварин родини верблюдячих,,,
2017,Розведення верблюдів та інших тварин родини верблюдячих,,,
2018,Розведення верблюдів та інших тварин родини верблюдячих,,,
2019,Розведення верблюдів та інших тварин родини верблюдячих,,,
2020,Розведення верблюдів та інших тварин родини верблюдячих,,,
2021,Розведення верблюдів та інших тварин родини верблюдячих,,,
