Year,Age,Sex,Type of residence,Households,Reason of disability,Value
2015,,,,,,43.4
2016,,,,,,44.2
2017,,,,,,45.2
2018,,,,,,46.4
2019,,,,,,47.9
2020,,,,,,49.8
2021,,,,,,52.5
2022,,,,,,53.9
2023,,,,,,53.6
2024,,,,,,52.3
2015,age_18,,,,,82.1
2016,age_18,,,,,82.0
2017,age_18,,,,,80.0
2018,age_18,,,,,80.0
2019,age_18,,,,,81.3
2020,age_18,,,,,82.0
2021,age_18,,,,,82.3
2022,age_18,,,,,82.8
2023,age_18,,,,,83.1
2024,age_18,,,,,83.8
2015,age_18_34,,,,,86.7
2016,age_18_34,,,,,87.1
2017,age_18_34,,,,,86.6
2018,age_18_34,,,,,86.4
2019,age_18_34,,,,,86.7
2020,age_18_34,,,,,87.4
2021,age_18_34,,,,,88.4
2022,age_18_34,,,,,88.2
2023,age_18_34,,,,,86.0
2024,age_18_34,,,,,83.7
2015,age_35_59,,,,,73.1
2016,age_35_59,,,,,72.8
2017,age_35_59,,,,,72.4
2018,age_35_59,,,,,72.2
2019,age_35_59,,,,,71.9
2020,age_35_59,,,,,74.2
2021,age_35_59,,,,,73.6
2022,age_35_59,,,,,72.3
2023,age_35_59,,,,,67.7
2024,age_35_59,,,,,64.5
2015,age_60,,,,,37.9
2016,age_60,,,,,38.2
2017,age_60,,,,,38.7
2018,age_60,,,,,39.3
2019,age_60,,,,,40.0
2020,age_60,,,,,40.7
2021,age_60,,,,,41.5
2022,age_60,,,,,42.4
2023,age_60,,,,,44.0
2024,age_60,,,,,46.0
2015,,females,,,,68.5
2016,,females,,,,68.7
2017,,females,,,,68.7
2018,,females,,,,68.9
2019,,females,,,,69.4
2020,,females,,,,70.2
2021,,females,,,,71.4
2022,,females,,,,71.9
2023,,females,,,,70.9
2024,,females,,,,70.4
2015,,males,,,,59.9
2016,,males,,,,60.1
2017,,males,,,,60.2
2018,,males,,,,60.7
2019,,males,,,,61.4
2020,,males,,,,62.7
2021,,males,,,,64.4
2022,,males,,,,65.0
2023,,males,,,,62.5
2024,,males,,,,60.1
2015,,,urban,,,63.1
2016,,,urban,,,63.4
2017,,,urban,,,63.8
2018,,,urban,,,64.4
2019,,,urban,,,65.2
2020,,,urban,,,66.5
2021,,,urban,,,68.5
2022,,,urban,,,69.3
2023,,,urban,,,68.3
2024,,,urban,,,68.0
2015,,,rural,,,76.2
2016,,,rural,,,76.3
2017,,,rural,,,76.5
2018,,,rural,,,76.8
2019,,,rural,,,77.3
2020,,,rural,,,78.0
2021,,,rural,,,79.2
2022,,,rural,,,79.5
2023,,,rural,,,77.7
2024,,,rural,,,76.7
2015,,,,hh_ch,,99.9
2016,,,,hh_ch,,99.9
2017,,,,hh_ch,,99.9
2018,,,,hh_ch,,99.9
2019,,,,hh_ch,,99.9
2020,,,,hh_ch,,99.9
2021,,,,hh_ch,,99.9
2022,,,,hh_ch,,99.9
2023,,,,hh_ch,,99.9
2024,,,,hh_ch,,100.0
2015,,,,hh_ch_0,,42.5
2016,,,,hh_ch_0,,43.3
2017,,,,hh_ch_0,,44.0
2018,,,,hh_ch_0,,44.9
2019,,,,hh_ch_0,,46.0
2020,,,,hh_ch_0,,47.5
2021,,,,hh_ch_0,,49.6
2022,,,,hh_ch_0,,50.8
2023,,,,hh_ch_0,,50.7
2024,,,,hh_ch_0,,50.9
2015,,,,,war_actions,60.5
2016,,,,,war_actions,61.0
2017,,,,,war_actions,61.8
2018,,,,,war_actions,62.0
2019,,,,,war_actions,62.7
2020,,,,,war_actions,63.4
2021,,,,,war_actions,63.4
2022,,,,,war_actions,63.1
2023,,,,,war_actions,39.3
2024,,,,,war_actions,38.3
2015,,,,,since_childhood,90.0
2016,,,,,since_childhood,90.1
2017,,,,,since_childhood,89.6
2018,,,,,since_childhood,89.3
2019,,,,,since_childhood,89.4
2020,,,,,since_childhood,89.5
2021,,,,,since_childhood,89.6
2022,,,,,since_childhood,89.7
2023,,,,,since_childhood,89.8
2024,,,,,since_childhood,90.3
