Year,Область,Value
2015,,
2016,,
2017,,
2018,,
2019,,
2020,Україна,1.7
2021,Україна,1.8
2022,Україна,1.9
2023,Україна,1.8
2024,Україна,1.7
2020,Вінницька,0.5
2021,Вінницька,0.6
2022,Вінницька,0.8
2023,Вінницька,1.0
2024,Вінницька,1.0
2020,Волинська,0.8
2021,Волинська,0.9
2022,Волинська,0.9
2023,Волинська,0.8
2024,Волинська,0.8
2020,Дніпропетровська,1.5
2021,Дніпропетровська,2.8
2022,Дніпропетровська,1.6
2023,Дніпропетровська,1.5
2024,Дніпропетровська,1.8
2020,Донецька,3.2
2021,Донецька,3.3
2022,Донецька,3.3
2023,Донецька,3.3
2024,Донецька,2.6
2020,Житомирська,0.6
2021,Житомирська,0.7
2022,Житомирська,1.2
2023,Житомирська,1.2
2024,Житомирська,1.0
2020,Закарпатська,0.7
2021,Закарпатська,0.8
2022,Закарпатська,1.1
2023,Закарпатська,1.2
2024,Закарпатська,0.3
2020,Запорізька,1.4
2021,Запорізька,1.5
2022,Запорізька,1.7
2023,Запорізька,1.5
2024,Запорізька,2.9
2020,Івано-Франківська,1.0
2021,Івано-Франківська,1.0
2022,Івано-Франківська,1.4
2023,Івано-Франківська,1.4
2024,Івано-Франківська,1.5
2020,Київська,1.2
2021,Київська,1.4
2022,Київська,2.2
2023,Київська,2.2
2024,Київська,1.5
2020,Кіровоградська,1.3
2021,Кіровоградська,1.4
2022,Кіровоградська,1.5
2023,Кіровоградська,1.8
2024,Кіровоградська,1.4
2020,Луганська,2.2
2021,Луганська,2.3
2022,Луганська,0.01
2023,Луганська,0.1
2020,Львівська,0.9
2021,Львівська,0.9
2022,Львівська,0.8
2023,Львівська,0.0
2024,Львівська,0.4
2020,Миколаївська,1.6
2021,Миколаївська,1.4
2022,Миколаївська,1.4
2023,Миколаївська,1.6
2024,Миколаївська,1.6
2020,Одеська,2.7
2021,Одеська,2.7
2022,Одеська,2.9
2023,Одеська,2.7
2024,Одеська,4.4
2020,Полтавська,1.0
2021,Полтавська,1.1
2022,Полтавська,1.3
2023,Полтавська,1.4
2024,Полтавська,2.1
2020,Рівненська,0.7
2021,Рівненська,0.9
2022,Рівненська,1.5
2023,Рівненська,2.0
2024,Рівненська,2.4
2020,Сумська,0.9
2021,Сумська,1.0
2022,Сумська,1.2
2023,Сумська,1.4
2024,Сумська,0.7
2020,Тернопільська,2.3
2021,Тернопільська,1.9
2022,Тернопільська,2.3
2023,Тернопільська,2.1
2024,Тернопільська,2.1
2020,Харківська,1.8
2021,Харківська,2.1
2022,Харківська,2.1
2023,Харківська,2.4
2024,Харківська,2.3
2020,Херсонська,1.5
2021,Херсонська,1.7
2023,Херсонська,0.8
2024,Херсонська,1.4
2020,Хмельницька,1.0
2021,Хмельницька,0.9
2022,Хмельницька,0.7
2023,Хмельницька,1.7
2024,Хмельницька,1.5
2020,Черкаська,1.1
2021,Черкаська,1.2
2022,Черкаська,1.4
2023,Черкаська,1.7
2024,Черкаська,0.5
2020,Чернівецька,1.8
2021,Чернівецька,2.0
2022,Чернівецька,2.8
2023,Чернівецька,2.8
2024,Чернівецька,3.3
2020,Чернігівська,0.9
2021,Чернігівська,0.8
2022,Чернігівська,0.9
2023,Чернігівська,1.1
2024,Чернігівська,1.3
2020,місто Київ,4.7
2020,Автономна Республіка Крим,
2020,м. Севастополь,
2021,місто Київ,4.7
2021,Автономна Республіка Крим,
2021,м. Севастополь,
2022,місто Київ,4.8
2022,Автономна Республіка Крим,
2022,м. Севастополь,
2023,місто Київ,3.9
2023,Автономна Республіка Крим,
2023,м. Севастополь,
2024,місто Київ,3.8
2024,Автономна Республіка Крим,
2024,м. Севастополь,
