Year,Тип населення,Місцевість проживання,Вікові групи,Value
2015,сільське населення,,,3.0
2015,міське населення,,,92.0
2016,сільське населення,,,2.0
2016,міське населення,,,69.3
2017,сільське населення,,,2.9
2017,міське населення,,,66.3
2018,сільське населення,,,2.9
2018,міське населення,,,69.6
2019,сільське населення,,,3.4
2019,міське населення,,,67.3
2020,сільське населення,,,5.3
2020,міське населення,,,71.7
2021,сільське населення,,,5.3
2021,міське населення,,,73.7
2022,сільське населення,,,3.3
2022,міське населення,,,76.0
2023,сільське населення,,,3.6
2023,міське населення,,,76.7
2015,міське населення,,,92.0
2015,,міська,,69.1
2016,,міська,,69.2
2017,,міська,,69.2
2018,,міська,,69.3
2019,,міська,,69.4
2020,,міська,,69.5
2021,,міська,,69.6
2022,,міська,,69.7
2023,,,,
2015,,сільська,,30.9
2016,,сільська,,30.8
2017,,сільська,,30.8
2018,,сільська,,30.7
2019,,сільська,,30.6
2020,,сільська,,30.5
2021,,сільська,,30.4
2022,,сільська,,30.3
2023,,,,
2015,міське населення,,вікові групи,
2016,міське населення,,вікові групи,
2017,міське населення,,вікові групи,
2018,міське населення,,вікові групи,
2019,міське населення,,вікові групи,
2020,міське населення,,вікові групи,
2021,міське населення,,вікові групи,
2022,міське населення,,вікові групи,
2023,міське населення,,вікові групи,
2015,сільське населення,,вікові групи,
2016,сільське населення,,вікові групи,
2017,сільське населення,,вікові групи,
2018,сільське населення,,вікові групи,
2019,сільське населення,,вікові групи,
2020,сільське населення,,вікові групи,
2021,сільське населення,,вікові групи,
2022,сільське населення,,вікові групи,
2023,сільське населення,,вікові групи,
