Year,Type of economic activity,By river basins,Region,Value
2018,group_label_306,,,
2018,group_label_307,,,
2018,group_label_270,,,
2018,group_label_308,,,
2018,group_label_271,,,
2018,group_label_309,,,
2018,group_label_318,,,
2018,household_activities,,,
2018,,dnipro_river_basin_area,,636.3
2018,,dniester_river_basin_area,,11.66
2018,,danube_river_basin_area,,7.111
2018,,southern_bug_river_basin_area,,26.03
2018,,don_river_basin_area,,46.99
2018,,vistula_river_basin_area,,36.12
2018,,crimea_river_basin_area,,
2018,,black_sea_river_basin_area,,12.25
2018,,azov_river_basin_area,,175.5
2018,,,autonomous_Republic_of_Crimea,
2018,,,11_reg_Vinnytsya,0.988
2018,,,12_reg_Volyn,0.428
2018,,,13_reg_Dnipropetrovsk,233.9
2018,,,14_reg_Donetsk,185.6
2018,,,15_reg_Zhytomyr,2.066
2018,,,16_reg_Zakarpattya,3.567
2018,,,17_reg_Zaporizhzhya,65.95
2018,,,18_reg_Ivano-Frankivsk,0.56
2018,,,19_reg_Kyiv,2.317
2018,,,20_reg_Kirovohrad,3.319
2018,,,21_reg_Luhansk,17.94
2018,,,22_reg_Lviv,42.01
2018,,,23_reg_Mykolayiv,21.22
2018,,,24_reg_Odesa,14.91
2018,,,25_reg_Poltava,2.174
2018,,,26_reg_Rivne,4.449
2018,,,27_reg_Sumy,23.11
2018,,,28_reg_Ternopil,2.554
2018,,,29_reg_Kharkiv,14.07
2018,,,30_reg_Kherson,2.106
2018,,,31_reg_Khmelnytskiy,1.001
2018,,,32_reg_Cherkasy,7.171
2018,,,33_reg_Chernivtsi,1.89
2018,,,34_reg_Chernihiv,15.57
2018,,,Kyiv_city,283.3
2018,,,city_Sevastopol,
2019,,,,737.2
2019,group_label_317,,,
2019,mining_and_quarrying,,,
2019,manufacturing,,,
2019,57_energy,,,
2019,58_water_supply,,,
2019,7_constr,,,
2019,group_label_301,,,
2019,transportation_and_storage_post_and_courier_services,,,
2019,group_label_302,,,
2019,group_label_303,,,
2019,group_label_304,,,
2019,group_label_305,,,
2019,group_label_306,,,
2019,group_label_307,,,
2019,group_label_270,,,
2019,group_label_308,,,
2019,group_label_271,,,
2019,group_label_309,,,
2019,group_label_318,,,
2019,household_activities,,,
2019,,dnipro_river_basin_area,,546.5
2019,,dniester_river_basin_area,,10.31
2019,,danube_river_basin_area,,36.53
2019,,southern_bug_river_basin_area,,21.59
2019,,don_river_basin_area,,46.31
2019,,vistula_river_basin_area,,39.85
2019,,crimea_river_basin_area,,
2019,,black_sea_river_basin_area,,1.939
2019,,azov_river_basin_area,,34.2
2019,,,autonomous_Republic_of_Crimea,
2019,,,11_reg_Vinnytsya,0.672
2019,,,12_reg_Volyn,0.472
2019,,,13_reg_Dnipropetrovsk,200.0
2019,,,14_reg_Donetsk,45.33
2019,,,15_reg_Zhytomyr,1.894
2019,,,16_reg_Zakarpattya,2.63
2019,,,17_reg_Zaporizhzhya,11.04
2019,,,18_reg_Ivano-Frankivsk,0.604
2019,,,19_reg_Kyiv,2.284
2019,,,20_reg_Kirovohrad,3.024
2019,,,21_reg_Luhansk,15.64
2019,,,22_reg_Lviv,45.43
2019,,,23_reg_Mykolayiv,19.66
2019,,,24_reg_Odesa,36.21
2019,,,25_reg_Poltava,1.974
2019,,,26_reg_Rivne,4.631
2019,,,27_reg_Sumy,21.23
2019,,,28_reg_Ternopil,2.371
2019,,,29_reg_Kharkiv,14.73
2019,,,30_reg_Kherson,0.639
2019,,,31_reg_Khmelnytskiy,1.046
2019,,,32_reg_Cherkasy,2.854
2019,,,33_reg_Chernivtsi,1.366
2019,,,34_reg_Chernihiv,14.1
2019,,,Kyiv_city,287.4
2019,,,city_Sevastopol,
2020,,,,518.122
2020,group_label_317,,,24.581
2020,mining_and_quarrying,,,77.591
2020,manufacturing,,,25.261
2020,57_energy,,,4.292
2020,58_water_supply,,,380.58
2020,7_constr,,,2.406
2020,group_label_301,,,0.056
2020,transportation_and_storage_post_and_courier_services,,,0.541
2020,group_label_302,,,0.023
2020,group_label_303,,,
2020,group_label_304,,,
2020,group_label_305,,,0.227
2020,group_label_306,,,0.008
2020,group_label_307,,,0.719
2020,group_label_270,,,1.114
2020,group_label_308,,,0.254
2020,group_label_271,,,0.457
2020,group_label_309,,,0.013
2020,group_label_318,,,
2020,household_activities,,,
2020,,dnipro_river_basin_area,,227.896
2020,,dniester_river_basin_area,,9.528
2020,,danube_river_basin_area,,25.829
2020,,southern_bug_river_basin_area,,24.759
2020,,don_river_basin_area,,90.946
2020,,vistula_river_basin_area,,118.086
2020,,crimea_river_basin_area,,
2020,,black_sea_river_basin_area,,3.179
2020,,azov_river_basin_area,,17.899
2020,,,autonomous_Republic_of_Crimea,
2020,,,11_reg_Vinnytsya,0.133
2020,,,12_reg_Volyn,0.423
2020,,,13_reg_Dnipropetrovsk,127.731
2020,,,14_reg_Donetsk,76.398
2020,,,15_reg_Zhytomyr,1.903
2020,,,16_reg_Zakarpattya,3.532
2020,,,17_reg_Zaporizhzhya,11.597
2020,,,18_reg_Ivano-Frankivsk,1.34
2020,,,19_reg_Kyiv,2.202
2020,,,20_reg_Kirovohrad,3.624
2020,,,21_reg_Luhansk,33.797
2020,,,22_reg_Lviv,123.15
2020,,,23_reg_Mykolayiv,20.69
2020,,,24_reg_Odesa,24.329
2020,,,25_reg_Poltava,2.02
2020,,,26_reg_Rivne,14.983
2020,,,27_reg_Sumy,19.889
2020,,,28_reg_Ternopil,2.067
2020,,,29_reg_Kharkiv,12.547
2020,,,30_reg_Kherson,2.525
2020,,,31_reg_Khmelnytskiy,1.077
2020,,,32_reg_Cherkasy,3.203
2020,,,33_reg_Chernivtsi,1.697
2020,,,34_reg_Chernihiv,10.777
2020,,,Kyiv_city,16.488
2020,,,city_Sevastopol,
2021,,,,543.093
2021,group_label_317,,,35.331
2021,mining_and_quarrying,,,100.205
2021,manufacturing,,,16.478
2021,57_energy,,,3.023
2021,58_water_supply,,,381.066
2021,7_constr,,,2.484
2021,group_label_301,,,0.057
2021,transportation_and_storage_post_and_courier_services,,,1.443
2021,group_label_302,,,0.074
2021,group_label_303,,,
2021,group_label_304,,,
2021,group_label_305,,,0.147
2021,group_label_306,,,0.007
2021,group_label_307,,,1.346
2021,group_label_270,,,0.691
2021,group_label_308,,,0.254
2021,group_label_271,,,0.465
2021,group_label_309,,,0.016
2021,group_label_318,,,0.006
2021,household_activities,,,
2021,,dnipro_river_basin_area,,256.592
2021,,dniester_river_basin_area,,10.8
2021,,danube_river_basin_area,,33.597
2021,,southern_bug_river_basin_area,,25.468
2021,,don_river_basin_area,,69.206
2021,,vistula_river_basin_area,,114.225
2021,,crimea_river_basin_area,,
2021,,black_sea_river_basin_area,,3.311
2021,,azov_river_basin_area,,29.894
2021,,,autonomous_Republic_of_Crimea,
2021,,,11_reg_Vinnytsya,0.814
2021,,,12_reg_Volyn,0.485
2021,,,13_reg_Dnipropetrovsk,120.326
2021,,,14_reg_Donetsk,90.022
2021,,,15_reg_Zhytomyr,2.109
2021,,,16_reg_Zakarpattya,3.877
2021,,,17_reg_Zaporizhzhya,7.116
2021,,,18_reg_Ivano-Frankivsk,1.307
2021,,,19_reg_Kyiv,1.165
2021,,,20_reg_Kirovohrad,16.045
2021,,,21_reg_Luhansk,21.229
2021,,,22_reg_Lviv,119.826
2021,,,23_reg_Mykolayiv,20.241
2021,,,24_reg_Odesa,33.084
2021,,,25_reg_Poltava,24.806
2021,,,26_reg_Rivne,8.25
2021,,,27_reg_Sumy,18.51
2021,,,28_reg_Ternopil,2.173
2021,,,29_reg_Kharkiv,5.367
2021,,,30_reg_Kherson,8.838
2021,,,31_reg_Khmelnytskiy,1.229
2021,,,32_reg_Cherkasy,4.134
2021,,,33_reg_Chernivtsi,1.376
2021,,,34_reg_Chernihiv,14.506
2021,,,Kyiv_city,16.259
2021,,,city_Sevastopol,
2022,,,,374.027
2022,group_label_317,,,14.242
2022,mining_and_quarrying,,,77.409
2022,manufacturing,,,9.363
2022,57_energy,,,0.215
2022,58_water_supply,,,269.743
2022,7_constr,,,0.568
2022,group_label_301,,,0.074
2022,transportation_and_storage_post_and_courier_services,,,0.466
2022,group_label_302,,,0.046
2022,group_label_303,,,
2022,group_label_304,,,
2022,group_label_305,,,0.135
2022,group_label_306,,,0.023
2022,group_label_307,,,0.512
2022,group_label_270,,,0.62
2022,group_label_308,,,0.271
2022,group_label_271,,,0.319
2022,group_label_309,,,0.021
2022,group_label_318,,,
2022,household_activities,,,
2022,,dnipro_river_basin_area,,210.212
2022,,dniester_river_basin_area,,8.011
2022,,danube_river_basin_area,,6.437
2022,,southern_bug_river_basin_area,,18.077
2022,,don_river_basin_area,,20.585
2022,,vistula_river_basin_area,,109.285
2022,,crimea_river_basin_area,,
2022,,black_sea_river_basin_area,,1.42
2022,,azov_river_basin_area,,
2022,,,autonomous_Republic_of_Crimea,
2022,,,11_reg_Vinnytsya,0.52
2022,,,12_reg_Volyn,
2022,,,13_reg_Dnipropetrovsk,110.678
2022,,,14_reg_Donetsk,36.886
2022,,,15_reg_Zhytomyr,1.289
2022,,,16_reg_Zakarpattya,3.733
2022,,,17_reg_Zaporizhzhya,1.093
2022,,,18_reg_Ivano-Frankivsk,0.198
2022,,,19_reg_Kyiv,1.677
2022,,,20_reg_Kirovohrad,17.298
2022,,,21_reg_Luhansk,
2022,,,22_reg_Lviv,113.858
2022,,,23_reg_Mykolayiv,13.286
2022,,,24_reg_Odesa,4.74
2022,,,25_reg_Poltava,23.321
2022,,,26_reg_Rivne,4.127
2022,,,27_reg_Sumy,14.838
2022,,,28_reg_Ternopil,2.074
2022,,,29_reg_Kharkiv,3.322
2022,,,30_reg_Kherson,
2022,,,31_reg_Khmelnytskiy,0.394
2022,,,32_reg_Cherkasy,3.668
2022,,,33_reg_Chernivtsi,1.061
2022,,,34_reg_Chernihiv,0.742
2022,,,Kyiv_city,15.228
2022,,,city_Sevastopol,
2023,,,,375.647
2023,group_label_317,,,19.374
2023,mining_and_quarrying,,,50.179
2023,manufacturing,,,10.576
2023,57_energy,,,3.029
2023,58_water_supply,,,287.62
2023,7_constr,,,0.006
2023,group_label_301,,,0.07
2023,transportation_and_storage_post_and_courier_services,,,1.092
2023,group_label_302,,,0.044
2023,group_label_303,,,0.004
2023,group_label_304,,,
2023,group_label_305,,,0.149
2023,group_label_306,,,0.241
2023,group_label_307,,,1.861
2023,group_label_270,,,0.65
2023,group_label_308,,,0.308
2023,group_label_271,,,0.352
2023,group_label_309,,,0.093
2023,group_label_318,,,
2023,household_activities,,,
2023,,dnipro_river_basin_area,,192.537
2023,,dniester_river_basin_area,,9.434
2023,,danube_river_basin_area,,17.854
2023,,southern_bug_river_basin_area,,19.324
2023,,don_river_basin_area,,22.07
2023,,vistula_river_basin_area,,112.923
2023,,crimea_river_basin_area,,
2023,,black_sea_river_basin_area,,1.505
2023,,azov_river_basin_area,,
2023,,,autonomous_Republic_of_Crimea,
2023,,,11_reg_Vinnytsya,0.423
2023,,,12_reg_Volyn,0.046
2023,,,13_reg_Dnipropetrovsk,106.636
2023,,,14_reg_Donetsk,33.315
2023,,,15_reg_Zhytomyr,1.301
2023,,,16_reg_Zakarpattya,5.907
2023,,,17_reg_Zaporizhzhya,1.285
2023,,,18_reg_Ivano-Frankivsk,1.121
2023,,,19_reg_Kyiv,0.699
2023,,,20_reg_Kirovohrad,16.289
2023,,,21_reg_Luhansk,
2023,,,22_reg_Lviv,118.51
2023,,,23_reg_Mykolayiv,14.643
2023,,,24_reg_Odesa,13.548
2023,,,25_reg_Poltava,15.643
2023,,,26_reg_Rivne,7.576
2023,,,27_reg_Sumy,13.904
2023,,,28_reg_Ternopil,1.667
2023,,,29_reg_Kharkiv,3.852
2023,,,30_reg_Kherson,
2023,,,31_reg_Khmelnytskiy,0.586
2023,,,32_reg_Cherkasy,3.566
2023,,,33_reg_Chernivtsi,1.551
2023,,,34_reg_Chernihiv,0.648
2023,,,Kyiv_city,12.932
2023,,,city_Sevastopol,
2024,,,,328.621
2024,group_label_317,,,19.501
2024,mining_and_quarrying,,,32.478
2024,manufacturing,,,7.769
2024,57_energy,,,1.2
2024,58_water_supply,,,264.191
2024,7_constr,,,0.04
2024,group_label_301,,,0.041
2024,transportation_and_storage_post_and_courier_services,,,1.282
2024,group_label_302,,,0.072
2024,group_label_303,,,0.004
2024,group_label_304,,,
2024,group_label_305,,,0.124
2024,group_label_306,,,0.091
2024,group_label_307,,,0.446
2024,group_label_270,,,0.597
2024,group_label_308,,,0.261
2024,group_label_271,,,0.435
2024,group_label_309,,,0.09
2024,group_label_318,,,
2024,household_activities,,,
2024,,dnipro_river_basin_area,,169.643
2024,,dniester_river_basin_area,,8.419
2024,,danube_river_basin_area,,12.136
2024,,southern_bug_river_basin_area,,21.518
2024,,don_river_basin_area,,8.038
2024,,vistula_river_basin_area,,107.12
2024,,crimea_river_basin_area,,
2024,,black_sea_river_basin_area,,1.748
2024,,azov_river_basin_area,,
2024,,,autonomous_Republic_of_Crimea,
2024,,,11_reg_Vinnytsya,0.551
2024,,,12_reg_Volyn,
2024,,,13_reg_Dnipropetrovsk,106.493
2024,,,14_reg_Donetsk,9.433
2024,,,15_reg_Zhytomyr,2.024
2024,,,16_reg_Zakarpattya,3.611
2024,,,17_reg_Zaporizhzhya,0.206
2024,,,18_reg_Ivano-Frankivsk,0.501
2024,,,19_reg_Kyiv,1.19
2024,,,20_reg_Kirovohrad,16.944
2024,,,21_reg_Luhansk,
2024,,,22_reg_Lviv,112.256
2024,,,23_reg_Mykolayiv,16.732
2024,,,24_reg_Odesa,10.262
2024,,,25_reg_Poltava,6.811
2024,,,26_reg_Rivne,2.925
2024,,,27_reg_Sumy,13.974
2024,,,28_reg_Ternopil,1.651
2024,,,29_reg_Kharkiv,3.875
2024,,,30_reg_Kherson,
2024,,,31_reg_Khmelnytskiy,0.462
2024,,,32_reg_Cherkasy,3.483
2024,,,33_reg_Chernivtsi,1.716
2024,,,34_reg_Chernihiv,1.161
2024,,,Kyiv_city,12.361
2024,,,city_Sevastopol,
2025,,,,223.061
2025,group_label_317,,,19.167
2025,mining_and_quarrying,,,30.76
2025,manufacturing,,,9.503
2025,57_energy,,,1.188
2025,58_water_supply,,,158.797
2025,7_constr,,,0.036
2025,group_label_301,,,0.048
2025,transportation_and_storage_post_and_courier_services,,,1.33
2025,group_label_302,,,0.088
2025,group_label_303,,,0.004
2025,group_label_304,,,
2025,group_label_305,,,0.056
2025,group_label_306,,,0.034
2025,group_label_307,,,0.532
2025,group_label_270,,,0.529
2025,group_label_308,,,0.283
2025,group_label_271,,,0.516
2025,group_label_309,,,0.123
2025,group_label_318,,,0.069
2025,household_activities,,,
2025,,dnipro_river_basin_area,,153.247
2025,,dniester_river_basin_area,,7.669
2025,,danube_river_basin_area,,22.705
2025,,southern_bug_river_basin_area,,25.32
2025,,don_river_basin_area,,6.59
2025,,vistula_river_basin_area,,4.48
2025,,crimea_river_basin_area,,
2025,,black_sea_river_basin_area,,3.05
2025,,azov_river_basin_area,,
2025,,,autonomous_Republic_of_Crimea,
2025,,,11_reg_Vinnytsya,0.019
2025,,,12_reg_Volyn,
2025,,,13_reg_Dnipropetrovsk,93.995
2025,,,14_reg_Donetsk,7.326
2025,,,15_reg_Zhytomyr,3.084
2025,,,16_reg_Zakarpattya,3.949
2025,,,17_reg_Zaporizhzhya,0.193
2025,,,18_reg_Ivano-Frankivsk,0.528
2025,,,19_reg_Kyiv,0.015
2025,,,20_reg_Kirovohrad,13.468
2025,,,21_reg_Luhansk,
2025,,,22_reg_Lviv,9.128
2025,,,23_reg_Mykolayiv,18.079
2025,,,24_reg_Odesa,18.012
2025,,,25_reg_Poltava,7.327
2025,,,26_reg_Rivne,3.726
2025,,,27_reg_Sumy,14.264
2025,,,28_reg_Ternopil,1.736
2025,,,29_reg_Kharkiv,3.853
2025,,,30_reg_Kherson,
2025,,,31_reg_Khmelnytskiy,0.939
2025,,,32_reg_Cherkasy,5.339
2025,,,33_reg_Chernivtsi,5.046
2025,,,34_reg_Chernihiv,0.964
2025,,,Kyiv_city,12.072
2025,,,city_Sevastopol,
